jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Sr. Technical Recruiter,Network Objects Inc,Hyderabad/Secunderabad,6-10years,500000 - 750000 INR,"The Sr. Technical Recruiter will be responsible for full life cycle recruiting, we want you to own it! To be successful in the role,you will have an extensive technical background gained in an SAP or similar environment and have a proven track record",ItStaffing|TechnicalRecruiter|SapRecruiter|
HR Intern @ Females (Temporary Work From home),eAnswer Network India Private Limited,Bengaluru/Bangalore,0-1years,Not Specified,We are looking for an HR Intern to perform various administrative tasks and support our HR department’s daily activities.,HrExecutive|HRIntern|HrRecruiter|
US Market Software Sales Executive,Network Objects Inc,Hyderabad/Secunderabad,2-5years,Not Specified,"We are looking for an experienced, passionate and motivated Sales Executive to join our sales team! As our Sales Executive your main responsibility will be to drive our business success by implementing a strong and sustainable sales strategy.",USSOFTWARESALES|
Sr. UX/UI Developer,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                   |                  Exp:8+ Yrs |                  Location: Hyderabad(Work from Office) |                  Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
Sr. UX/UI Developer,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                  |                 Exp:8+ Yrs |                 Location: Hyderabad(Work from Office) |                 Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
8+ Yrs_UX/UI Developer,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                 |                Exp:8+ Yrs |                Location: Hyderabad(Work from Office) |                Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
Senior_UX/UI Developer,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,"We are looking for Highly Creative and Passionate Designers , who have strong hands on Adobe Photoshop , Adobe Illustrator , Adobe after effects, Dreamweaver, Wordpress , Flash , etc. |               |              Exp:8+ Yrs |              Location: Hyderabad(Work from Office) |              Type:C2H |","""Adobe""|""Aftereffects""|""UX""|""UI""|""UserExperience""|""UXDesign""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
Sr. UX Developer_Immediate,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,"We are looking for Highly Creative and Passionate Designers , who have strong hands on Adobe Photoshop , Adobe Illustrator , Adobe after effects, Dreamweaver, Wordpress , Flash , etc. |                |               Exp:8+ Yrs |               Location: Hyderabad(Work from Office) |               Type:C2H |","""Adobe""|""Aftereffects""|""UX""|""UI""|""UserExperience""|""UXDesign""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|"
UX/UI Developer with Adobe After Effects_8+ Yrs,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,"We are looking for Highly Creative and Passionate Designers , who have strong hands on Adobe Photoshop , Adobe Illustrator , Adobe after effects, Dreamweaver, Wordpress , Flash , etc. |               |              Exp:8+ Yrs |              Location: Hyderabad(Work from Office) |              Type:C2H |","""Adobe""|""Aftereffects""|""UX""|""UI""|""UserExperience""|""UXDesign""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|"
Sr. UX Developer_Immediate,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,"We are looking for Highly Creative and Passionate Designers , who have strong hands on Adobe Photoshop , Adobe Illustrator , Adobe after effects, Dreamweaver, Wordpress , Flash , etc. |              |             Exp:8+ Yrs |             Location: Hyderabad(Work from Office) |             Type:C2H |","""Adobe""|""Aftereffects""|""UX""|""UI""|""UserExperience""|""UXDesign""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|"
UX/UI Developer & knowledge on Adobe after effects_8+ Yrs,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,"We are looking for Highly Creative and Passionate Designers , who have strong hands on Adobe Photoshop , Adobe Illustrator , Adobe after effects, Dreamweaver, Wordpress , Flash , etc. |              |             Exp:8+ Yrs |             Location: Hyderabad(Work from Office) |             Type:C2H |","""Adobe""|""Aftereffects""|""UX""|""UI""|""UserExperience""|""UXDesign""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|"
Senior_UX/UI Developer,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                    |                   Exp:8+ Yrs |                   Location: Hyderabad(Work from Office) |                   Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
8+ Yrs_UX/UI Developer_ Immediate Joiner,Ai-Logic Neural Network Pvt Ltd.,Hyderabad/Secunderabad,7-10years,Not Specified,We are looking for Highly Creative and Passionate UX/UI Developers |                  |                 Exp:8+ Yrs |                 Location: Hyderabad(Work from Office) |                 Immediate to join |,"""Aftereffects""|""UX""|""UI""|""UserExperience""|""HTML""|""Jquery""|""CSS""|""Javascript""|""bootstrap""|""angular""|"
