jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Staff Nursing,2COMS Consulting Private Limited,Hyderabad/Secunderabad,1-2years,15000 - 18000 INR,"Job Description:Ensuring patients’ endorsement, carrying out tasks assigned by ward in-charge.• Monitoring vital signs, conducting ongoing assessments of patients and updating patient records/case sheets.• Planning and providing basic care acco",
Staff Nurses Nurse  Nursing  Healthcare  Nursing,Planet One,UnitedArabEmirates,2-10years,Not Specified,We are hiring for Nurses for Dubai Location - Apply now !!!,Nurses|OperatingTheatreNurse|AnaestheticNurse|DiplomaNurses|MentalHealthNurse|HeadNurse|RegisteredNurse|Ot|
"Nursing Tutor/ Nursing Lecturer in Amethi, Uttar Pradesh",Future Nursing Staff Global Consultancy Services LLP,Faizabad,0-1years,210000 - 240000 INR,Need B.Sc Nursing and M.Sc Nursing(Pediatric Nursing) Freshers for a reputed college of nursing in Uttar Pradesh near Amethi.,NursingTutor|NursingLecturer|B.ScNursing|M.ScNursing|
Nursing Tutor in Haryana,Future Nursing Staff Global Consultancy Services LLP,Sirsa|Fatehabad,0-2years,120000 - 280000 INR,Need B.Sc Nursing and M.Sc Nursing(Psychiatry Nursing) Freshers for a reputed college of nursing in Haryana near Sirsa and Fatehabad.,NursingTutor|B.ScNursing|M.ScNursing|
Nursing Requirement For Maldives,Freelancer Sulochana,Maldives,2-7years,860000 - 1080000 INR,"Dear Candidates, |       Currently we have job offer for following potions |        |       Nursing Requirement |       Designation Nurse |        |       Number Required    40",Nurses|Ielts|OET|
"Assistant Professor, Nursing Tutor in Reputed Nursing College Of Kanpur in Uttar Pradesh",Future Nursing Staff Global Consultancy Services LLP,Kanpur,3-5years,240000 - 450000 INR,"Urgent Vacancy To Fill the Vacant Post Of Assistant Professor, Nursing Tutor in Reputed Nursing College Of Kanpur, Uttar Pradesh",AssistantProfessor|NursingTutor|NursingSubjects|NursingFaculty|
Lecturer in Reputed Nursing College Of Punjab,Future Nursing Staff Global Consultancy Services LLP,Ferozepur,1-4years,120000 - 360000 INR,Urgent Vacancy to Fill the Vacant Post of Lecturer in Reputed Nursing College Of Punjab,NursingTutor|NursingLecturer|NursingSubjects|NursingFaculty|
Nursing Tutor and Lecturer in reputed Colleges of Nursing in Karnataka,Future Nursing Staff Global Consultancy Services LLP,Bengaluru/Bangalore|Mysore,0-3years,140000 - 300000 INR,Need B.Sc Nursing and Post B.Sc Nursing Candidates with experience of 0-3 years. |    Need M.Sc Nursing Candidates with 0-3 years of experience. |,NeedB.ScNursingandPostB.ScNursingCandidateswithexperienceof0-3years|NeedM.ScNursingCandidateswith0-3yearsofexperience|
Nurses  Staff Nurses Nursing male nurses  Healthcare,Planet One,UnitedArabEmirates,2-10years,Not Specified,|  Urgent Hiring for Nurses for Dubai Location- Apply Now !! |,Nurse|StaffNurse|Gnm|Malenurse|Registerednurse|Headnurse|
Lecturer in Reputed Nursing College Of Rajasthan,Future Nursing Staff Global Consultancy Services LLP,Ganganagar,0-5years,260000 - 360000 INR,"Urgent Vacancy To Fill The Vacant Post Of Lecturer In Reputed Nursing College Of Sri Ganganagar, Rajasthan",NursingLecturer|NursingSubjects|NursingFaculty|
