jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Stores Officer,Jobs Rider,Sonipat/Sonepat|Solan,1-5years,140000 - 430000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss sushma -7289963579",StoresOfficer|
Safety Officer/ Engineer,Pyome Infra Solutions Private Limited,Ahmedabad|Allahabad/Prayagraj,1-4years,100000 - 250000 INR,Looking for safety officer with 1-4 yrs experience for PAN India locations with B.Tech/B.E in Mechanical or Electrical Diploma in Health & Safety Engineer (NEBOSH/IOSH) |,SafetyOfficer/Engineer|
HSE Officer,Jobs Rider,Bikaner|Remote,1-5years,180000 - 260000 INR,To work with one of our client (Third Party Pay roll)..PAN India Location..,BECivil|BeMechanical|BEElectricalwithdiplomainIndustrialSafety|
Stores Officer,Yashodhara Management And Company,Udaipur|Una,1-6years,140000 - 630000 INR,"Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss sushma -7289963579 , great opportunity for freshers and",StoreIncharge|StoreKeeper|StoreManager|StoreExecutive|StoreAssistant|
Production Officer,Jobs Rider,Mumbai|MumbaiCity|NaviMumbai|Thane,0-3years,250000 - 450000 INR,"Urgent job Vacancy for Production Officer, Required BSc/Msc Candidate |  Fresher and exp candidate. salary depend on the interview. |  more detail call on 8411955806 / 9168943910",ProductionOfficer|
Stores Officer,Jobs Rider,Visakhapatnam|Warangal,1-6years,140000 - 509999 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss Pooja  -7838637963",StoreIncharge|StoreManager|StoreExecutive|StoreAssistant|
Store Incharge,2COMS Consulting Private Limited,Sitapur|Sivakasi,1-5years,130000 - 450000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss sushma -7289963579",StoresOfficer|
Officer Commercial,2COMS Consulting Private Limited,Mumbai,1-8years,20000 - 50000 INR,"Vendor Management -Co-ordination with vendors on procurement of goods and servicesrequired for Marketing initiatives aligning Commercial and brandhierarchyNegotiation with vendors, AgreementsEnsuring timely & accurately raising of POsTimely pay",Invoicing|PurchaseOrder|vendormanagement|etc|SAP|
Business Officer,Cloud Visa Immigration LLP,Hyderabad/Secunderabad,0-1years,Not Specified,"Hiring Fresher B.SC/B.Pharm Graduates in a Renowned Pharmaceutical Company !!Designation : Business OfficerJob Role:  * Visiting doctors and pharmacists on a daily basis.  * Offering, promoting and presenting of pharmaceutical products.  *",BusinessOfficer|
Medical Representative Required  In Canada | Gulf | Germany,Orissa Doot Private Limited,Canada|Gulf,2-7years,4000000 - 6000000 INR,"The Medical Representative’s responsibilities include persuading potential customers to purchase company medications, identifying prospective business opportunities for the company, and providing the relevant departments with customer feedback.",MedicalRepresentative|Mr|Medicalrep|PharmaSales|BusinessExecutive|Territorybusinessmanager|Fieldsalesofficer|PSR|
Sales Officer,Jobs Rider,OtherIndia,0-4years,Not Specified,Opening for Sales officer  in Bhubaneswar Location,SalesOfficer|Marketing|Bdm|Sales|
Stores Officer,Incube Placements,Ballia|Banswara,1-5years,150000 - 540000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss Pooja  -7838637963",StoresOfficer|
Sales Officer,JDC Recruitment Services,Bellary|Jaipur,0-3years,Not Specified,sales officer,SalesOfficer|Marketing|Selling|Sales|
Safety Officer,Tracks & Towers Infratech Private Limited,Bengaluru/Bangalore|Mumbai,4-9years,409999 - 600000 INR,"Support the development of OHS policies and programs |   Advise and instruct on various safety-related topics (noise levels, use of machinery etc.) |   Conduct risk assessment and enforce preventative measures",SafetyEngineer|SafetyManager|IndustrialSafety|SafetyExecutive|SafetyOfficer|SafetySupervisor|
Executive Officer,Osworld Technology,Cuttack,1-3years,20000 - 20000 INR,"He should be good at MS Office, PowerPoint presentations, Excel Spread sheets, Drafting of Emails, official letters to the Client Etc; His job involves at the Site location in Odisha.",GoodatMSOffice|
Bank Relationship Officer,Space Consultancy,Bhubaneswar,0-3years,Not Specified,Looking for Bank Relationship Officer,BankingOperations|Freshers|BusinessRelationships|BankingDomain|
Chief Operating Officer,3 Minds ESolutions Private Limited,Delhi,8-18years,3550000 - 4550000 INR,Chief Operating Office for a leading chain of hospitals. All hospital heads will report to him and must be willing to travel extensively.,Healthcare|HealthcareOperations.|
Information Security Officer,2COMS Consulting Private Limited,Chennai|Mumbai|MumbaiCity|NaviMumbai|Thane,5-15years,Not Specified,REMOTE POSITION FOR INFORMATION SECURITY,INFOSEC|INFOSEC|InformationSecurity|InformationSecurity|informationsecurityconsultancy|Azure|
