jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Senior ASP.Net WEB Developer for Fresher as well as Experience,Career Mantra Management Services,Mumbai|Pune,0-2years,130000 - 240000 INR,Creative knowledge in Designing Should be young self-motivated. |  Must be an excellent & creative team-player with strong time management Contribute to different projects either independently with your team. good communication & must be disciplined.,Web|Oops|Net|Asp|Net|SQLServer|
Sr. Java developers,C P Careers Private Limited,Chennai|Noida,6-10years,800000 - 1600000 INR,Sr. Java developers |   |  Skills: |  Core Java |  Spring |  Hibernate |  OOPS |  Collection |  Multithreading |  Database |   |  Exp: 6-10 Yrs |  Salary Range: maximum 16 Lac,Collection|Core|Java|Spring|Hibernate|Oops|Multithreading|Database|
Senior PHP Laravel  Developer,Cynosure Corporate Solutions,Chennai,4-7years,Not Specified,PHP / Laravel developer is an IT professional specialized in developing web applications using Laravel Framework within PHP programming language.,Backend|Oops|Api|Laravel|
Software Engineer / Senior Software Engineer,Mindteck (India) Limited,Bengaluru/Bangalore,4-6years,Not Specified,"Excellent Python knowledge (OOPS concepts is must). Strong knowledge on NVMe, SSD",MNME|ssd|Python|Oops|
Drupal Developer,OSI Digital Private Limited,Hyderabad/Secunderabad,4-6years,750000 - 1450000 INR,"Experience developing web solutions in Drupal 8 and PHP implementations in a LAMP environment • Ability to architect enterprise Drupal solutions including data, display, and information architecture. Experience in GIT, SSO, Acquia Cloud, Drush.",Drupal|Php|Oops|
Software Engineer,HR Factor,Bengaluru/Bangalore,1-3years,900000 - 1600000 INR,"B.E. / B.Tech from a top university in India in one of the following departments (i) Computer Science, (ii) Information Sciences, (iii) Electrical Engineering, (iv) Electronics – or equivalent. |   1 to 3 years of experience with an undergrad CGPA >= 8.0",Python|Oops|Saas|
Software Engineer - .NET/ ASP..NET/ ANGULAR 2+,Staffing Solutions,Bengaluru/Bangalore|Pune,1-8years,100000 - 800000 INR,"Mandatory Skills:  .NET, .NET 5.X, C# 5.0, ASP.NET,  MVC, ASP.NET Web Forms,OOPS, ANGULAR 2+",.NET|OopsConcept|Oops|C#|C#.net|Angular|Asp.Net|
Senior Laravel Developer,Anglara Digital Solutions,Ahmedabad|Remote,2-5years,300000 - 500000 INR,"We are looking for a talented Laravel developer who can start immediately. Salary hike, WFH, friendly work environment, and work on challenging projects are some of the highlights. Excited hope on.",livewire|Php|Oops|Laravel|VueJs|React|Angular|Github|
SAP EWM Technical Consultant,Gyansys Infotech Private Limited,Remote,5-10years,Not Specified,SAP EWM Technical Consultant Conduct solution architecting workshops with the business managers. Create detailed solution documentation and presentations and implement the solution using the standard solutions in SAP. |,BRFplus|PostProcessingFramework|Ewm|AbapOops|Cif|Idocs|
OPENINGS FOR  DEVELOPMENT ENGINEER (R&D) FRESHER AS WELL AS EXPERIENCE,Career Mantra Management Services,Mumbai|Pune|NaviMumbai,0-2years,120000 - 240000 INR,"In this role , you have the opportunity to build up and lead R&D teams in pune for Electricals Engineering, Mechanical Engineering Sustaining and value engineering activities.",CAD|HLD&LLD|Cam|COM|Oops|Ooad|Mfc|
