jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Openshift - Kubernetes,Kbridge Consulting Services Private Limited,Bengaluru/Bangalore|Pune,3-10years,Not Specified,"Open Shift, Kubernetes",Openshift|Kubernetes|
DevOps Engineer with Openshift,Aurumdata Solutions India Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,7-15years,Not Specified,"Openshift Container Platform  |  Linux skills  |  Kubernetes (preferably certified)  |  Ansible (for configuration management and automation)  |  Jenkins  |  Terraform  |  Docker |  CI/CD |  Jira, Git/Gitlab |  Golang (for alerting, monitoring and logging requirements)  |  Python",Openshift|Kubernetes|Docker|Ansible|Terraform|Jenkins|Linux|JIRA|Git|
Integration Architect: Hybrid Integration,Best infosystems Ltd,Bengaluru/Bangalore,10-15years,Not Specified,"Overall 10+ years of experience with 2+ years of Cloud platform experience (Preferably AWS, OpenShift)",HybridIntegration|IntegrationArchitect|AWS|Openshift|Cloud|
Integration Architect: Hybrid Integration,Best infosystems Ltd,Bengaluru/Bangalore,10-15years,Not Specified,"Overall 10+ years of experience with 2+ years of Cloud platform experience (Preferably AWS, OpenShift)",HybridIntegration|IntegrationArchitect|AWS|Openshift|Cloud|
3Scale Developer - remote option - 5 + yrs,Thiran Traction Infotech,Bengaluru/Bangalore,5-10years,Not Specified,"Job Description: 3 Scale developer |  Minimum of 5 years of experience working on microservices Architecture on Openshift, Docker, Kubernetes, Spring Boot, Swagger, Apache Kafka(Basic Familiarity), API gateway, and Security |  Knowledge in Service Oriented",Openshift|Docker|Kubernetes|SpringBoot|Apache|RESTful|Jboss|
Devops,URS Systems Private Limited,Bengaluru/Bangalore,4-7years,Not Specified,Openshift |  ·         Jenkins |  ·         Veracode |  BitBucket,Veracode|Openshift|Jenkins|Bitbucket|
Openshift Administratror,Arccaa Analytics And IT Solutions LLP,Hyderabad/Secunderabad,5-8years,810000 - 1500000 INR,"	Background on Linux administration , virtualization , storage , networking and security Manage the container platform Azure RedHat OpenShift Container",OpenshiftAdmin|
Openshift Infrastructure Architect,Arccaa Analytics And IT Solutions LLP,Bengaluru/Bangalore|Chennai,8-12years,Not Specified,•	Note : OpenShift Design (HLD/ LLD) experience is must for SA positions. |   |  Detailed Job Description: |  	System Integration and Verification of Ericsson CLOUD NFVI solution in Telco Core network. |,OpenshiftInfrastructureArchitect|
"Devops Engineer with OpenShift, Kubernetes",Aurumdata Solutions India Private Limited,Bengaluru/Bangalore,7-15years,Not Specified,"7+ years of solid hands-on experience building, maintaining, and scaling PaaS and container-hosting platform |  Skills required : OpenShift, Kubernetes, Docker, Ansible, Terraform, Jenkins, Linux, JIRA, GIT etc. ( Strong in Kubernetes) |",Openshift|Kubernetes|Docker|Ansible|Terraform|Jenkins|Linux|JIRA|Git|
Site Reliability Engineer / Cloud Engineer with OpenShift,Aurumdata Solutions India Private Limited,Bengaluru/Bangalore,7-15years,Not Specified,"•	7+ years of solid hands-on experience building, maintaining, and scaling PaaS and container-hosting platform |  •	Skills required : OpenShift, Kubernetes, Docker, Ansible, Terraform, Jenkins, Linux, JIRA, GIT etc. |",Openshift|Kubernetes|Docker|Ansible|Terraform|Jenkins|Linux|JIRA|Git|
"Perl CGI Developer - Thirdware, Chennai",Thirdware Solutions Limited,Chennai,3-10years,Not Specified,Hiring Perl CGI Developer for our assignment in Chennai,PerlCGIDeveloper|OpenShiftcontainer|CI/CD|UNIX|Dockers|Git|Agile|
DevSecOps Consultant,Applied Materials,Bengaluru/Bangalore,4-7years,Not Specified,Minimum 5 years of Relevant Experience in DevSecOps.,DevSecOps|FullStacktools|AKS|EKS|GKE|ECS|Packer|AnsibleTower|Chef|Agile|Scrum|UnitTest|Kubernetes|Openshift|Terraform|Puppet|
RHOpenshift Specialist,Transtrack Aeroservices Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,".   Familiar with industry standards such as ETSI, 3GPP, Open stack, Open shift, CNCF, ONF, ODL, OCP and others.",etsi|Openshift|CNCF|ONF|ODL|OPNFV|ONAP|Cloudify|Kubernetesdeployments|Puppetscripting|3gpp|OpenStack|Ocp|OpenStack|Openshift|Docker|LinuxOs|shellscripting|Ansible|
