jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Technical Operating Systems Call Rina,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,1-6years,Not Specified,"PC Maintenance, repair, and client facing experience (very important). Advanced manual malware removal skills",MCP|Windows|Mcsa|PcMaintenance|DesktopManagement|MacOs|
Patch Management Adminstrator,Continuum Managed Solutions LLP,Pune|MumbaiCity,3-8years,400000 - 750000 INR,"The role of a Patch Management Level 2 is to provide security and compliance patching for various network environments.  The role requires a high level of customer contact; communication skills, professionalism and meet customer expectations",Patching|WindowsDesktopOperatingSystems|PatchManagement|PatchingSecurity|WindowsServer|
"Troubleshooting Of Laptops, Desktops, Operating Systems",White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,1-6years,Not Specified,"PC Maintenance, repair, and client facing experience (very important)",MCP|Windows|Mcsa|PcMaintenance|DesktopManagement|MacOs|
System Administrator,SnapHunt Pte Ltd,Pune,1-4years,Not Specified,"System and application administration including web hosted environments, mobile platforms, and development and test environments.",Hardware|SystemAdministrator|WindowsServer|Linux|CloudServices|SoftwareSupport|OperatingSystems|WebTechnologies|TechnicalDocumentation|
Tech Support Openings in Ggn/ Pune || Salary Upto 35K||(CALL-8766285530),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-10years,300000 - 500000 INR,TECHNICAL SUPPORT US VOICE CALL LIPIKA- 8766285530 |,TechSupportVoice|ActiveDirectory|ServiceDesk|ItHelpdesk|Dns|SystemAdministration|WindowsAdministration|GroupPolicy|Windows|Fsmo|DHCP|OperatingSystems|TechnicalHelpdesk|TechnicalSupportVoice|ExchangeAdministration|ServiceDeskAnalyst|
Technical Support Engineer- International Voice Process(CALL-8766285530),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-10years,300000 - 500000 INR,Desg- Technical Support Engineer |  Comp- TOP BPO |  Loc- Gurgaon/ Pune |  Skills- 1yr exp in Technical Support in International Voice Process |  Must have good Knowledge on Servers/ Windows/ AD/ DNS/ DHCP/ Troubleshooting |  CTC Upto: 5LPA |  24/7 Shifts |   |  8766285530,ApplicationSoftware|Installation|Troubleshooting|Networking|Configuration|MsExchange|Windows|TechSupport|Fsmo|OperatingSystems|ExchangeServer|TechnicalSupport|TechnicalSupportVoice|SystemInstallation|Bootstrap|Ccnp|
OT Technician Required In Germany / Canada,Proximity Immigration Private Limited,Germany|Kuwait,1-6years,580000 - 810000 INR,Minimum 1+ years of relevant experience  - MUST |   Must have good knowledge of English  - MUST |   Age: Must be below 40.,OtAssistance|OperationsManager|MedicalRepresentative|MediaPlanning|MedicalRepresentative|Territorybusinessmanager|BusinessExecutive|PharmaSales|Medicalrep|Fieldsalesofficer|OperatingSystems|OperationExecutive|
Network Admin Engineer - CCNP/Palo Alto Firewall,Jobs Expert Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,4-8years,320000 - 680000 INR,"HI, WE ARE HIRING INTERESTED PERSON PLEASE APPLY",CommunicationProtocols|CiscoFirewalls|Troubleshooting|Installation|Repair|Maintenance|Service|Hardware|NetworkInfrastructure|FortigateFirewall|NetworkSecurity|PaloAltoFirewall|Ccnp|OperatingSystems|Configuration|Desktop|
"Technical Support, Enterprise Support, Server Support",P & I Management Consultants,Delhi|Gurgaon/Gurugram,1-10years,300000 - 580000 INR,"Technical Support, Enterprise Support, Server Support |   |  Must have experience in International Technical Voice process |   |  CTC - 5.8 lpa + lucratives incentives |   |  Call@ Sam - 9999300435",Enterprisesupport|ActiveDirectory|Ads|AD|doraprocess|Harwaresupport|TechnicalSupport|OperatingSystems|SystemAdministration|WindowsAdministration|Windowsadmin|ExchangeServer|MsExchange|Fsmo|Raid|UserCreation|ApplicationSupport|TcpIp|
Asst. Manager IT/ERP Ludhiana (BCA/MCA 5y exp ERP Coordinator to maintain/support running Software),Aditi Staffing India Private Limited,Ludhiana,4-8years,300000 - 450000 INR,"Asst. Manager IT/ERP Ludhiana,BCA/MCA-5y exp as ERP Coordinator to maintain/support running Software and manage servers installed at Ludhiana & Himachal Office,AMC for hardware and discuss new software development/RC with Gurgaon Support partners.",ERPCoordinator|Mm|HardwareKnowledge|TroubleshootingSkills|ErpFunctional|ServerManagement|ServerOperatingSystems|
