jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Operations Executive,Novomed Incorporation Private Limited,Mumbai|MumbaiCity,1-6years,Not Specified,Operations and Logistics Executive - familiar with Tally ERP,LogisticsExecutive|LogisticsCoordinator|SupplyChainExecutive|InsideSales|OperationsExecutive|
Manager - International HR Operations,MBWorld Exim Private Limited,MumbaiCity,12-22years,Not Specified,"- Handle entire HR Ops for international employees, including but not restricted to : |  - Employee joining formalities |  - On-boarding formalities. |  - Employee engagement |  - Query resolution - Phone / Mail |  - Compensation processing and management",HrOperations|TeamManagerOperations|HumanResourceOperations|HRSharedServices|
Operations Head,2COMS Consulting Private Limited,Chennai,15-25years,Not Specified,Head of parts distribution business with substantial exposure in auto parts distribution.,OperationsHead|SalesHead|
Operations Executive,Career Development Management,Pune,1-2years,180000 - 250000 INR,"To help with all E-commerce operations, Online/Offline order processing, fulfilment, and warehousing of the company",E-commerceOperations|Executive|OnlinePortal|Fmcg|hands-one-commerce|
SME - Cloud Operations,Aspire Group of Services,Pune,4-10years,800000 - 1600000 INR,"Job Purpose:Responsible for operations and maintenance of the Cloud and Enterprise application platform• Troubleshooting fault, configuration, performance, user access, and security related Cloud and Enterprise application platform issues reported",•Troubleshootingfault|useraccess|andsecurityrelatedCloud|Configuration|Performance|
"Data Entry - Operations,Relationship Manager, Operations Manager",The Right Connection,Durgapur|Hooghly,Fresher,Not Specified,Fresher Recruitment Notice',BasicComputerKnowledge|
HR Manager - Operations & Commercial,FIS Global Business Solutions India Private Limited,Delhi|Hyderabad/Secunderabad,10-15years,1250000 - 1850000 INR,Urgent recruitment,SalesHR|Compensation|HumanResourceManagement|HRMHRManagement|HRGeneralistManagement|HRManagerManagement|RecruitmentManagement|HRDManagement|Recruitment|TalentAcquisition|Staffing|Hiring|Resourcing|HumanResource|ItRecruiter|ExitIntervie|
Opening for Banking Executive(fresher),Sahuwala Cylinders Private Limited,Lucknow|Varanasi,0-1years,Not Specified,Demonstrating/ Presenting/ Introducing/ Selling banking products of the client. |   New client acquisition,Backend|
3PL Operations - Assistant Manager,Aspire Group of Services,Thane,5-7years,Not Specified,Job Description |  We are hiring for an experienced logistics and operations professional preferably from pharma and healthcare industry.,"""3PL""|""Logistics""|""operations""|""vendormanagement""|"
BACK OFFICE OPERATIONS EXECUTIVE,Nandini Shridhar Shetty (Proprietor of Durga Caterers),Mumbai,3-5years,Not Specified,|                                  |                              |                                  |,
Mainframe Batch & Console Operations,Azure Knowledge Corporation Private Limited,Bengaluru/Bangalore|Pune,2-6years,Not Specified,"Responsible for mainframe systems and batch monitoring using scheduling tools like Control-M, TWS/OPC, Zeke, CA7. Maintains computer-related hardware and other operations area peripheral equipment.   Provides Level 1/ 2/3 support for client-facing sy",Mainframe|JCL|CICS|Tws|Netview|Mq|Ims|CICS|
VICE PRESIDENT – OPERATIONS,Layer5 India Consulting Private Limited,Visakhapatnam,15-25years,2400000 - 4000000 INR,"Hiring Operations Vice President for SAHUWALA CYLINDERS (P) LTD, Visakhapatnam location. Looking for candidates with 15 to 25 years of Experience.",P&Lresponsibilities|operations|Interview|hire|Train|Mentor|performanceupdates|productionTarget|qualityTarget|Profitability|
Investment Banking Operations,Kored Infratech Private Limited,Coimbatore,Fresher,229999 - 430000 INR,"This investment banking job description was inspired by the responsibilities outlined by a list of investment banks including Goldman Sachs, Morgan Stanley, Credit Suisse, UBS, and Barclays. To ensure you have the skills required for the job, check o",M.Com|Mba|Bba|BA|B.Com|Businessanalyst|
Back Office Operations,Shalitin Immigrations LLP,Lucknow,0-1years,160000 - 260000 INR,Job Location :- Lucknow  |   |  Age Limit :- 18 to 35 |   |  Fresher male and female can also apply,DataEntry|Backend|Operations|BackOffice|Kpo|
Operation Head in Industrial canteen with Minimum 10 years of experience  Facility Manager,Peopleplease Consulting,Hosur|Nagpur,10-15years,Not Specified,"Industrial Canteen Management, |  Checklist Preparation  |  Training Module Preparation  |  Monthly Planning of working schedule",OperationsManager|OperationsHead|genralmanager|
Sr. Project Manager (Opening across India),Primitive Galaxy Corporation,Ahmedabad|Bengaluru/Bangalore,5-15years,Not Specified,"Applicant must be from Market Research industry only, Should have experience of Face to Face and online studies,    Experience in US market MUST, Ready to work in US shift, Work from home flexibility",Sr.ProjectManager|ProjectManager|DeliveryManager|SeniorProjectManager|
Operations Coordinator,My Corporate Jobs,Bengaluru/Bangalore,5-12years,Not Specified,"We are hiring a Customer Service & Operations Coordinator to help us continue to grow while delivering a world-class service experience to our customers. If you are ambitious, dedicated, and have a knack for customer service.",CorporateCommunication|CustomerService|Operations|BussinessAnalyst|IncidentManagement|QualityAssurance|
Operations Manager,IPS Vantage Tech Services Private Limited,Hyderabad/Secunderabad,5-8years,600000 - 700000 INR,"Experience - Telecommunications (Passive Infra) |  Managing Operations & Maintenance (Tamil Nadu, Karnataka & Telangana)  |  Installations & Commissioning of various Telecom equipment's |  Communication Skills  |  Good Skills - Excel & Power Point Presentation",OperationsManager|
healthcare manager vacancies in Gulf & Canada,Aspire Group of Services,Canada|Gulf,2-7years,2710000 - 5310000 INR,We are looking for an experienced Hospital Administration Manager to run our medical facility. |,HealthClubManager|HealthAdministration|HospitalAdministration|HealthcareRiskManagement|HealthcareQualityManagement|HealthcareProductsMarketing|HealthcareOperations|HospitalAdministration|HospitalsConsulting|
Executive / Senior Executive - HR Operations - APAC/Australasia,Imarticus Learning Private Limited,Mumbai,3-8years,Not Specified,|                                  |,
