jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Opening For BPO Lead/Delivery Manager US Process,IPS Vantage Tech Services Private Limited,Bengaluru/Bangalore,8-15years,Not Specified,Role - BPO Lead/Delivery Manager |    |   Education - Graduate |    |   Location - Bangalore (US Process) |    |   Notice Period - 1month,BpoNonVoice|USShift|UsProcess|LeanManagement|BpoOperations|TAT|ManagerSales|Slas|
Assistant Manager or Sr. Service Engineer,Team Management Services,Bhopal|Patna,4-10years,Not Specified,End to End Responsible for Project Activity.,AssistantManager|AsstManager|DeputyManager|SeniorManager|
Manager - International HR Operations,Azure Knowledge Corporation Private Limited,MumbaiCity,12-22years,Not Specified,"- Handle entire HR Ops for international employees, including but not restricted to : |  - Employee joining formalities |  - On-boarding formalities. |  - Employee engagement |  - Query resolution - Phone / Mail |  - Compensation processing and management",HrOperations|TeamManagerOperations|HumanResourceOperations|HRSharedServices|
Sr. Project Manager (Opening across India),Nandini Shridhar Shetty (Proprietor of Durga Caterers),Ahmedabad|Bengaluru/Bangalore,5-15years,Not Specified,"Applicant must be from Market Research industry only, Should have experience of Face to Face and online studies,    Experience in US market MUST, Ready to work in US shift, Work from home flexibility",Sr.ProjectManager|ProjectManager|DeliveryManager|SeniorProjectManager|
Operation Head in Industrial canteen with Minimum 10 years of experience  Facility Manager,Career Development Management,Hosur|Nagpur,10-15years,Not Specified,"Industrial Canteen Management, |  Checklist Preparation  |  Training Module Preparation  |  Monthly Planning of working schedule",OperationsManager|OperationsHead|genralmanager|
"Data Entry - Operations,Relationship Manager, Operations Manager",Shalitin Immigrations LLP,Durgapur|Hooghly,Fresher,Not Specified,Fresher Recruitment Notice',BasicComputerKnowledge|
healthcare manager vacancies in Gulf & Canada,Kored Infratech Private Limited,Canada|Gulf,2-7years,2710000 - 5310000 INR,We are looking for an experienced Hospital Administration Manager to run our medical facility. |,HealthClubManager|HealthAdministration|HospitalAdministration|HealthcareRiskManagement|HealthcareQualityManagement|HealthcareProductsMarketing|HealthcareOperations|HospitalAdministration|HospitalsConsulting|
Operations Manager,SDL Multilingual Solutions Private Limited,Hyderabad/Secunderabad,5-8years,600000 - 700000 INR,"Experience - Telecommunications (Passive Infra) |  Managing Operations & Maintenance (Tamil Nadu, Karnataka & Telangana)  |  Installations & Commissioning of various Telecom equipment's |  Communication Skills  |  Good Skills - Excel & Power Point Presentation",OperationsManager|
3PL Operations - Assistant Manager,HDFC Life Insurance,Thane,5-7years,Not Specified,Job Description |  We are hiring for an experienced logistics and operations professional preferably from pharma and healthcare industry.,"""3PL""|""Logistics""|""operations""|""vendormanagement""|"
Project Manager / Senior Project Manager at RWS Group,Diraa HR Services,MumbaiCity|NaviMumbai,5-15years,Not Specified,"To manage all assigned projects in the most efficient manner possible in order to ensure client retention, satisfaction and ultimately repeat revenue growth.",Sr.projectmanager|Pmp|ProjectManager|ProgramManager|
Manager Call centre management - Policy Loans,Diraa HR Services,Mumbai,7-12years,Not Specified,Looking for Manager Call centre management - Policy Loans,OutboundCallCentreHandling|ContactCenterManagement|OutboundSales|CallCenterManagement|
openings for BANKING OPERATION ROLE,2COMS Consulting Private Limited,Coimbatore,0-4years,Not Specified,we are hiring candidtaes for banking operation role(no sales and marketing),BankingOperation|bankofficer|OperationsManagement|OperationsManager|OperationsHead|OPSManager|
HR Manager - Operations & Commercial,GA Solutions Private Limited,Delhi|Hyderabad/Secunderabad,10-15years,1250000 - 1850000 INR,Urgent recruitment,SalesHR|Compensation|HumanResourceManagement|HRMHRManagement|HRGeneralistManagement|HRManagerManagement|RecruitmentManagement|HRDManagement|Recruitment|TalentAcquisition|Staffing|Hiring|Resourcing|HumanResource|ItRecruiter|ExitIntervie|
immediate job opening for banking sector,Aspire Holidays,Coimbatore,0-5years,220000 - 660000 INR,we have opening is there in banking operation role interested peoples walk in drive at my location,BankingOperations|
SME - Cloud Operations,Vinfinity Immigration LLP,Pune,4-10years,800000 - 1600000 INR,"Job Purpose:Responsible for operations and maintenance of the Cloud and Enterprise application platform• Troubleshooting fault, configuration, performance, user access, and security related Cloud and Enterprise application platform issues reported",•Troubleshootingfault|useraccess|andsecurityrelatedCloud|Configuration|Performance|
manager,EMVEE Information Technologies Private Limited,Kolkata,0-5years,200000 - 350000 INR,"Overseas Admission process, Taking mock interviews, counselling students and preparing them for VISA interviews",MAEnglish|
Part Time Work@Home Data Entry Work / Home Based Work earn upto 6k weekly,Aspire Group of Services,Bengaluru/Bangalore|Chennai,0-3years,Not Specified,"Urgently required Data Entry Operator,computer Operator |  Computer / Laptop Or Android Phone Is Compulsory . |  Basic Computer Knowledge. |  Freshers are Welcome |  No Target |  Age Limit 18 to 45 |  No Work Pressure |   |  Part Time Jobs |  What’s app-- |  9870451895",DataEntry|Dataentryoperator/freshers|housewifes|graduate/postgraduate/ba/bca/bba/bcom/mba/mca/mtech/workingprofession/IT/nurses|ComputerOperator|
Assistant Manager Required In Abroad,EMVEE Information Technologies Private Limited,Canada|NewZealand,2-9years,5030000 - 6020000 INR,Apply now - Urgent hiring!,AssistantManager|DeputyManager|GeneralManager|OperationsManager|TeamManager|AM|Seniormanager|TeamManager|
Ecommerce Operations Specialists,EMVEE Information Technologies Private Limited,Gurgaon/Gurugram|Hyderabad/Secunderabad,2-12years,Not Specified,Looking for   Ecommerce Operations Specialists |,EcommerceOperationsSpecialists|
Operations  - Banking Sector,Angel And Genie,Lucknow,0-1years,130000 - 200000 INR,A bank operations manager is an individual who carries out administrative and accounting duties in a financial institution by organizing and coordinating banking services.,OperationsManager|OperationsExecutive|
