jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
ORACLE DBA,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,8-15years,1800000 - 2500000 INR,∙ Experience in working with a large scale enterprise client |  ∙ Experience in the production support environment |  ∙ Excellent communication skills and have experience in taking On-Call support |  handling P1/Sev1 tickets. |  ∙ Experience in managing,Design|Develop|RHEL/CentOS|OracleCloud.|Rman|AWS|Azure|Backups|PL/SQL|UNIX|Asm|Rac|
Oracle Apps DBA,Freelancer Deepika D Bidri,Bengaluru/Bangalore|Pune,4-10years,Not Specified,Oracle Apps DBA with overall 4-10yrs of Relevant exp. Should have worked extensively on Upgradation from Any Version to 12.2.2 onwards |  Loc: Pune / Bangalore /Mumbai/Noida/Hyderabad/Chennai,OracleAppsDataBaseAdministrator|OracleAppsDataBaseAdministratorConsultant|ApplicationDBA|OracleAppsDba|OracleApplicationDba|OracleDba|
Oracle DBA Dba Database Administrator,JDC Recruitment Services,Ahmedabad|Bengaluru/Bangalore,4-8years,500000 - 600000 INR,Deep knowledge of infrastructure landscapes including underlying infrastructure concepts  |  Preferred on OCP certification in Oracle 11g & 12c  |  Should be well versed on Database migration methodologies.  |,SAPOSM|ERPOSM|SAP11G|ERP11G|SQLSERVER11G|UNIX11G|RDBMS11G|Oracle|Sql|SybaseOSM|SQLOSMm|SqlServerOsm|UnixOsm|RDBMSOSM|Db2Osm|SQL11G|Sybase11G|10g|
Oracle DBA for Bahrain,Vinirma Consulting Private Limited,Bahrain,3-7years,Not Specified,Urgent hiring for Oracle DBA for Bahrain. Oracle DBA with experience in Java programming.,Java.|OracleDba|
Oracle DBA Consultant,Siera IT Services Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,Not Specified,Urgent Requirement For ORACLE DBA Consultant @ Client Location. |   |,GoldenGate|OracleDba|
Oracle DBA,Renovision Automation Services Private Limited,Mumbai,1-10years,Not Specified,Expertise in Oracle DBA- Monitoring and Support,OracleDatabase|OracleDba|Rman|Grid|
Oracle Apps Dba,Orcapod Consulting Services Private Limited,Bengaluru/Bangalore,4-7years,Not Specified,•	Experience of following is mandatory: |  - DBA Support of Oracle E-Business Suite R 12.2  |  - Oracle Application Server 9i and/or 10g |  - Oracle Weblogic server  |  - Oracle Database 10 and/or 11g |  •	Experience of Linux and RAC is highly desirable. |,ApplicationDBA|OracleAppsDba|OracleApplicationDba|
Oracle DBA,Enormous IT Services Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,6-13years,Not Specified,Oracle DBA's with 6+ years of experience for Bangalore & Hyderabad,oci|OracleDba|GoldenGate|Rman|Cloud|
Oracle DBA - Technical Lead,Best infosystems Ltd,Bengaluru/Bangalore,7-10years,Not Specified,Looking for Oracle DBA - Technical Lead,DATABASEAUTOMATIONDatabaseadministrator|AnalystProgrammer|OracleDatabase|Database|
TECHNICAL SPECIALIST - ORACLE DBA,Best infosystems Ltd,Hyderabad/Secunderabad,7-12years,Not Specified,Minimum 7 years Database admin at mission critical web-service company with high availability. |,OracleDba|OracleDatabase|OracleDatabaseAdministrator|AWS|Oracle|MsSqlServer|
