jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Urgent hiring for Pharmacist & Lab Assistant,Incube Placements,Chennai|Hyderabad/Secunderabad,0-1years,250000 - 400000 INR,"As a Pharmacist, you will be responsible for ensuring the right and appropriate medication prescriptions. In addition, you will be responsible for different functions through collaborative drug therapy management and for providing patient care.",Goodorganizingskills|Integrityandcompassion|DegreeinPharmacy/Pharmacology|Validlicencetopracticetheprofession|
"Urgent Hiring for Ground Staff, Air ticketing and Cabin Crew in Airline.",Space Consultancy,Chennai|Kolkata,0-2years,Not Specified,"We are hiring staff for 3 job profile - Ground Staff, Air ticketing and Cabin crew...",CommunicationskillsPlanning|OrganizingResponsibility|Teamwork|Problem-solvingskills|Interpersonal|abilitiesFlexibility|SoftSkills|ManagementSkills|Professional|
Staff Nurse,Cloud Visa Immigration LLP,Mumbai,0-3years,Not Specified,We are looking for a caring and compassionate 'Staff Nurse' who will be responsible to plan and provide medical and nursing care to patients who are suffering from chronic or acute physical ill-health.,Assessing|planning|Organizing|Icu|Ward|Ot|
Jr. Sales Officer,Shalitin Immigrations LLP,Mumbai,2-3years,Not Specified,§ MDO / Jr. Sales Officer- handling the sales of two–three major districts having experience of minimum 2-3 years. Achieving the target given by the company. |  § Taking care of Primary & Secondary Sales for the Territory Assigned. |,TakingcareofPrimary&SecondarySalesfortheTerritoryAssigned|TakingcareofBTL/ATL–Marketingactivities|OrganizingthePainters/Contractormeetsasperrequirements.|
Marketing Assistant,Mpr India Technologies,Bengaluru/Bangalore,2-3years,229999 - 330000 INR,"•	Maintaining websites and looking at data analytics. |  •	Organizing events and product exhibitions. |  •	Conducting market research and analysis to evaluate trends, brand awareness and competition ventures |",MarketingExecutive|Businessdevelopment|Marketing|
Sales Manager required in canada,Cloud Visa Immigration LLP,Canada|NewZealand,3-8years,6000000 - 7000000 INR,call & whats app to Pooja-9311529770 |   |  Sales Manager who will be responsible for supervising and organizing our sales team.,AssistantSalesManager|BusinessDevelopmentManager|SalesManager|SalesDevelopmentManager|
"Logistics Manager reqd. for Canada, Australia",Cloud Visa Immigration LLP,Australia|Canada,2-8years,5530000 - 7050000 INR,We are looking for a reliable Logistics Manager to be responsible for the overall supply chain management. Logistics Manager responsibilities include organizing and monitoring storage and distribution of goods.,SupplyChainManagement|WarehouseManager|SupplyPlanning|ProcurementManager|DemandForecasting|PurchaseManager|Purchase|Sourcing|MaterialsManager|ProcurementHead|TransportManager|LogisticsManager|
Agency Development Manager @ max life insurance company limited,Aspire Group of Services,Bengaluru/Bangalore|Mangalore,1-10years,200000 - 450000 INR,"Agency Development Manager, Recruitment of Agents and generate Business,team management,event management,organizing Activities,",AgencyManager|AssistantSalesManager|BusinessDevelopmentManager|UnitManager|SalesManager|SalesDevelopmentManager|
Retail and Wholesale Trade Managers Required In Abroad,Disha Recruitment Services,Canada,2-7years,5000000 - 6000000 INR,Call & what's app to Pooja-9311529770 |    |   Retail Manager responsibilities include: Organizing all store operations and allocating responsibilities to personnel. Supervising and guiding staff towards maximum performance.,wholesaler|RetailExecutive|Retailing|RetailManager|RetailStoreManager|
"Retail and Wholesale Trade Managers To Be Placed in Canada, Australia",Diraa HR Services,Canada,2-7years,5000000 - 6000000 INR,Call & what's app to Pooja-9311529770 |   |  Retail Manager responsibilities include: Organizing all store operations and allocating responsibilities to personnel. Supervising and guiding staff towards maximum performance.,wholesaler|RetailExecutive|Retailing|RetailManager|RetailStoreManager|
Operations  - Banking Sector,Aspire Group of Services,Lucknow,0-1years,130000 - 200000 INR,A bank operations manager is an individual who carries out administrative and accounting duties in a financial institution by organizing and coordinating banking services.,OperationsManager|OperationsExecutive|
Client Relationship Executive,Aspire Group of Services,Bengaluru/Bangalore,2-5years,240000 - 300000 INR,Responsibilities |  - Taking appointments and organizing meetings. |  - Ability to work independently |  - Mailing and follow up with clients & Vendors |  - Attending meetings with clients as and when needed,ClientRelationship|ClientRelation|ClientServicing|ClientManagement|ClientRelationshipManager|AccountManagement|
Company Secretary,Aspire Group of Services,Mumbai,10-15years,Not Specified,"To ensure that a company's administration is running smoothly, particularly with regard to the company's compliance with statutory and regulatory requirements. Company Secretary is a critical department to organizing board meetings, writing Board min",CompanySecretary|
"Immediate job opening for civil site supervisor, civil planning, civil quantity survivor",Quess IT Staffing (Formerly known as Magna Infotech),Chennai|Coimbatore,0-5years,Not Specified,"A site engineer is part of the site management team, and takes some of the responsibility for security, health and safety, and organizing and supervising materials and people. The role also involves levelling and surveying a site,",SiteEngineer|SiteSupervisor|CivilEngineer|SiteIncharge|CivilSiteEngineer|SiteManager|ConstructionEngineer|ProjectEngineer|
Office Assistant  Job Only For Female In Lucknow,UV Career,Lucknow,0-1years,120000 - 260000 INR,Organizing travel by booking accommodations and reservations needs as required. |  Coordinating events as necessary.,OfficeAssistant|
Area Sales Manager - LUCKNOW,E Edge Technology,Lucknow,0-1years,180000 - 280000 INR,Required Candidate profile |   |  Knowledge: Excellent knowledge and understanding of food industry |   |  Knowledge of products and information on market and competition |   |  Skills: |   |  Planning and organizing skills |   |  Strong Interpersonal skills |   |  Presentation skills,AssistantSalesManager|MarketingManager|BusinessDevelopmentManager|UnitManager|AgencyManager|SalesManager|SalesDevelopmentManager|
Operation Manager & Branch Operation Executive,Freelancer - Purushottam Munjajirao Dhutraj,Allahabad/Prayagraj|Lucknow,0-5years,160000 - 270000 INR,critical thinking and problem-solving skills |   |  planning and organizing |   |  decision-making |   |  communication skills |   |  Influencing and leading.,BranchBanking|operationalsupport|Helpdesk|HeadFinance|
Technical Recruiter/ Sourcer,Freelancer - Purushottam Munjajirao Dhutraj,Bengaluru/Bangalore|Gurgaon/Gurugram,2-4years,Not Specified,"We are looking for a Sourcing Specialist whose responsibilities include searching social networks and portfolio sites to identify potential candidates, sending recruiting emails, and organizing an effective employee referral system.",ITSourcingexperience|
