jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Fresher BPO Agents,Silaris Informations Private Limited,Noida,0-5years,Not Specified,"We are looking for a Call Center Representative that will be the liaison between our company and its current and potential customers. The successful candidate will be able to accept ownership for effectively solving customer issues, complaints.",CorporateCommunication|EnglishLanguage|Agents|CustomerSupport|CustomerSupportExecutive|CustomerService|CustomerCareExecutive|CustomerCare|TechnicalSupport|
Senior Software Engineer - progress 4GL/ open edge ABL/ Progress ABL,Sunquest Information Systems (India) Private Limited,Kolkata,5-10years,Not Specified,"Senior Software Developer takes ownership and responsibility for working towards delivering reliable software, writing immaculate code and delivering projects on time and budget.","""seniorsoftwaredeveloper""|""progress4GL""|"
LAMP STACK SENIOR DEVELOPMENT ENGINEER,Simplilearn Solutions Private Limited,Bengaluru/Bangalore,3-8years,Not Specified,"Working as a Senior Software Engineer   Should be able to take complete ownership & accountability   Contribution in solutioning for any given problem statement   Design, develop, modify, implement and support software components anywhere in the",PhpLamp|
Accountant Assistant Manager Assistant Accountant,Onpassive,Pune,1-10years,190000 - 360000 INR,"DEAR CANDIDATE WE HAVE ARGENT REQUIREMENT FOR ACCOUNTANT,ASSISTANT MANAGER |  Independent Accountant Adviser with complete ownership of sale,Operations and allied branch functions |  Interested candidate visit to my office and send the resume |  HR 7066472312",Accountant|Accountassistant|AccountsExecutive|AccountsManager|Tally|SeniorAccountant|
Immediate Requirement for Ui|Ux Designer & Developers,Akken Technologies Private Limited,Hyderabad/Secunderabad,5-8years,600000 - 1100000 INR,Maintain ownership of the product vision and roadmap and improving the product development process. Lead the team in expanding mastery of the business goals of each design request and pushing back on stakeholders with innovative UX/UI proposals.,AsAUI/UXdesignerand/orleadinacross-functionalUI/UXteam|dedicatedtothecompleteUI/UXdesignanddevelopmentlifecycleofseveralsuccessfullylauncheddesktopandmobileapplications.|
Sr. UI Developer,Best infosystems Ltd,Hyderabad/Secunderabad,5-10years,Not Specified,We are looking for creative and enthusiastic Sr. UI Developer to join our product development team. He / She should be able to take ownership of all aspects of user interface development to meet business requirements across platforms.,UIDeveloper|WebDeveloper|Photoshop|CSS|Javascript|HTML|AJAX|Dreamweaver|
SFCC Backend Developers and Leads – Salesforce Commerce Cloud,Best infosystems Ltd,Gurgaon/Gurugram|Hyderabad/Secunderabad,4-9years,Not Specified,Take ownership of team deliverables and provide estimates for a given task or module. |,SFCCBackendDevelopers|SalesforceCommerceCloud|Controller|Pipelines|StorefrontReferenceArchitecture|Javascript|
SFCC Backend Developers and Leads – Salesforce Commerce Cloud,Freelancer - Purushottam Munjajirao Dhutraj,Pune,4-9years,Not Specified,Take ownership of team deliverables and provide estimates for a given task or module. |,SFCCBackendDevelopers|SalesforceCommerceCloud|Controller|Pipelines|StorefrontReferenceArchitecture|Javascript|
Customer Service Manager  Customer Support  Customer Support Executive  Customer Care Officer,Bct Consulting Private Limited,Hyderabad/Secunderabad|Mumbai,3-13years,1530000 - 3450000 INR,Taking ownership of customers issues and following problems through to resolution,CustomerServiceManager|CustomerSupportExecutive|Customersupportrepresentative|CustomerServiceRepresentative|CustomerCareOfficer|CustomerServiceRepresentative|Customercareexecutive|CustomerServiceExecutive|Cu|TechnicalSupportExecutive|
Urgently Looking  for Recruitment Specialist (WFH),Plaza Premium Lounge Management Limited,Bengaluru/Bangalore|Chennai,0-5years,Not Specified,"Handle the entire recruitment cycle and sourcing candidates of suitable caliber from various sources like Job Portals, Postings, Walk-ins, Social Media and Internal or External References.",Recruiter|Recruitment|Staffing|
Software Support Specialist- SQL- Gurgaon,Carepro Global,Gurgaon/Gurugram|Mumbai,2-4years,500000 - 850000 INR,Willing to work in shifts,CommunicationSkills|WrittenCommunication|SoftwareSupport|Sql|Oracle|Pl-sql|SQLserver|Sybase|RDBMS|Vba|C#|
Director of Technology Management,Adal Immigrations LLP,Bengaluru/Bangalore,10-15years,Not Specified,"The Director of Technology Management will be a strategic partner with business sharing ownership of business strategy and business value, connecting regional needs and relevancy as the inputs for global strategy.",TechnologyInfrastructure|
Clinical Operations Manager/Lead,Quench Techno Valley,Bengaluru/Bangalore|Gurgaon/Gurugram,1-4years,Not Specified,"Ownership (Clinical Services) for the assigned project/s |  -	Single Point of Contact - Clinical Services for the assigned project/s |  -	Coordinate with Business Success, Pathways, Product, Data Analytics, Clinical Performance and other teams for implemen",Mha|Mbbs|Bds|Bams|Bpt|
Quality Manager Required in Dubai/Canada/Australia,Sampark,Australia|Canada,2-7years,2000000 - 5000000 INR,"This role s pivotal responsibility would be to lead Quality initiatives across the SD organization, taking up complete end-to-end ownership of Quality Management, right from understanding Business pain-points to showcasing the continuous improvement.",QualityControl|SixSigma|QualityManager|QualityAssurance|QualityEngineer|QualityHead|QaManager|
Sr.Java Developer,Lns Infotech,Bengaluru/Bangalore,3-8years,Not Specified,Defines site objectives by analyzing user requirements; envisioning system features and functionality. |  Designs and develops user interfaces to internet/intranet applications by setting expectations and features priorities throughout development life,Javadeveloper|
Field Sales Executive,InfoPro Solutions Pvt Ltd,Mumbai|Lucknow,1-3years,Not Specified,"We are looking for Sales Experts who drives sales through engagement of customers, suggestive selling, and sharing product knowledge.",Insurance|GeneralInsurance|autoinsurance|AgencySales|carinsurance|FieldSales|
Sr. Tech Lead ROR for US based S/w Product development Company,MONALISA MANPOWER MANAGEMENT LLP,Pune|Chandigarh,12-15years,Not Specified,Our clients are looking to fill up the position of Sr. Tech Lead-ROR for their offices in Mohali and Pune.,CodingskillsonRubyOnRails|Exposuretomultiplecodinglanguages|Exp.withSDLC|Exp.withVue/Angular/Elm|/react|MongoDB'PostgreSQL|
Immediate Requirement for React.js Developer,MONALISA MANPOWER MANAGEMENT LLP,Bengaluru/Bangalore|Pune,4-8years,Not Specified,"Immediate Requirement for React.js Developer with one of our client they are focused on digital technologies and big data analytics headquartered in Santa Clara, California. Branches in United States, Canada, United Kingdom and India.",react.jsdeveloper|react.js|
Sales Engineering,SnapHunt Pte Ltd,Bengaluru/Bangalore,2-5years,180000 - 320000 INR,  Take ownership of the revenue growth strategy in sales territories assigned. |      Work experience in the renewable energy industry or educational background in renewable energy is highly desirable. |,1)experienceintechnicalsales|B2BMarketing.|
Sales Engineering,SnapHunt Pte Ltd,Bengaluru/Bangalore,2-5years,180000 - 320000 INR,  Take ownership of the revenue growth strategy in sales territories assigned. |    Work experience in the renewable energy industry or educational background in renewable energy is highly desirable. |,1)experienceintechnicalsales|B2BMarketing.|
Procurement Executive,MONALISA MANPOWER MANAGEMENT LLP,Ludhiana,1-5years,120000 - 180000 INR,Reducing the number of suppliers and ensuring the cross-functional total cost of ownership supplier offer selection. Analysing categories of spend to determine potential opportunities regarding cost optimisation.,Buying|Garments/Textiles|Purchase|NegotiationSkills|Sourcing|Procurement|CustomerService|OrderFulfillment|InfluencingSkills|MultiTasking|
Production Manager,7S Consulting Services,Faridabad,8-16years,Not Specified,"You will be managing the facility with a strong sense of ownership, supervising the work of all staff and creating a culture based on Lean Operating Principles. |    |",ProductionPlanning|Manufacturing|ProductionManagement|ProcurementPlanning|SalesManagement|ProductionOperator|Kaizen|MarketingExecutive|VendorManagement|QualityControl|
