jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Back Office Executive,Shree Home Appliances and Services Private Limited,Pune,1-3years,120000 - 150000 INR,"SAP Bussiness One Module Knowledge. Good knowledge of MS Office. Purchase Order, Invoices, call registration, call closing data updation.",BackOfficeExecutive|DataEntryOperator|BackOfficeOperations|
Delivery Executive,Shree Home Appliances and Services Private Limited,Pune,1-2years,120000 - 150000 INR,"Delivery Work, Washing Machine and Refrigeration parts, powder",DeliveryWork|
Business Development Manager - Work From Home Setup,Work Better Training Private Limited,Mumbai|MumbaiCity|NaviMumbai,4-7years,Not Specified,"Dear Candidate,  |   |  We are looking for a Sr. Business Development Manager to join the team. |   |  5 –7 years of relevant |  experience in a similar role with |  proven sales record preferably in  |  a Corporate or Institutional |  training firm. |",businessdevelopment|B2b|Corporate|Sales|SalesAndMarketing|
Business Development Executive - Work From Home Setup,Work Better Training Private Limited,Mumbai|Pune|MumbaiCity|NaviMumbai,1-4years,250000 - 500000 INR,"Dear Candidate,  |   |  We are looking out for Business Development Executives to be a part of the team. |   |   |  1 – 3 years of relevant experience |  in a similar role with proven sales record |  preferably in a Corporate or |  Institutional training firm |",Bde|Sales|B2b|corporatesales|
Elevator TECHNICIAN JOB SAUDI ARAB,Al Hamza Work Abroad Private Limited,SaudiArabia,4-5years,750000 - 950000 INR,LIFT TECHNICIAN / ELEVATOR TECHNICIAN REQUIRED IN SAUDI ARABIA |   CONTACT WITH PASSPORT -  |   2 YEARS CONTRACT JOB  |   4-5 YEARS EXPERIENCE REQUIRED |   ACCOMMODATION PROVIDE BY COMPANY  |    |   CONTACT WITH PASSPORT / EXPERIENCE HOLDERS |    |   BY AL HAMZA PVT LTD IN DELHI,Elevator|LiftTechnician|
FAMILY DRIVER JOB IN QATAR,Al Hamza Work Abroad Private Limited,Jaipur|Aurangabad,0-2years,110000 - 330000 INR,LIGHT DRIVER JOB IN QATAR,Drivers|
SAUDI ARABIA FAMILY DRIVER VISA /PASSPORT REQUIRED,Al Hamza Work Abroad Private Limited,Jaipur|Kannur,0-2years,Not Specified,URGENT REQUIREMENT FAMILY DRIVER VISA/GOOD SALARY,Driver|
JCB OPERATOR JOB IN SAUDI,Al Hamza Work Abroad Private Limited,Chennai|Hyderabad/Secunderabad,0-3years,20000 - 240000 INR,URGENT HIRING FOR JCB OPERATOR SAUDI ARABIA  |  SECTOR ( DAMMAM),JCBOperator|
FAMILY DRIVER JOB IN SAUDI /PASSPORT,Al Hamza Work Abroad Private Limited,Bengaluru/Bangalore|Ajmer,0-1years,10000 - 229999 INR,FAMILY DRIVER JOB HIRING,Driver|
House Driver job in Saudi Arabia,Al Hamza Work Abroad Private Limited,Chennai|Hyderabad/Secunderabad,0-2years,210000 - 330000 INR,"HIRING START FOR HOUSE DRIVER JOB IN QATAR |  GOOD SALARY WITH FOOD ACCOMMODATION PROVIDE |  DOCUMENTS REQUIRED :- PASSPORT ,LICENCE ,CV,PASSPORT SIZE PHOTO |   |   |   |   |   |",HOUSEDRIVER|
