jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Research Scientist-Pathology,Golden Opportunities Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,5-8 years as a veterinary pathologist in Indian toxicology CROs.,ResearchScientist|toxicology|Pathology|ClinicalPathology|Histopathology|Provantis|SENDpathology|DataEntry|
MJR4513A - Pathologist - ( MD / DNB ) - Near Bangalore,Sehat Health Community Services Private Limited,Bengaluru/Bangalore,0-2years,960000 - 1200000 INR,Job Role: Associate Consultant / Consultant |   |  Experience:  0 - 2 Years |   |  Salary:  80 K/Mo -  1.0 L/Mo; negotiable,Pathologist|Pathology|ConsultantPathologist|Consultant|AssociateConsultant|
"Job opportunity for a Lab Manager in Whitefield, Bangalore",Convate Consultancy Services Private Limited,Bengaluru/Bangalore,1-5years,Not Specified,"Hi Doctor, |   |  Greetings from the Convate! |   |  We do have an urgent job requirement for LAB MANAGER for a very renowned and corporate diagnostic lab center in WHITEFIELD, BANGALORE. |",Pathology|Pathologist|Microbiology|Microbiologist|RTPCR|rt-pcr|rtpcr|
Pathologist Job opening in Karnataka location - Tumkur,Convate Consultancy Services Private Limited,Tumkur,0-3years,Not Specified,"Greetings from Convate…!   |   |  We are the largest Healthcare Recruitment Consulting Firm in India, which is focused on hiring Doctors and Paramedics for 50 clients in India.",Pathologist|Pathology|
Medical Oncologist Doctor (SZ),Space Consultancy,Guwahati,1-11years,1310000 - 3340000 INR,Medical Oncologist Doctor For Guwahati.,Compassion|sensitivity|Empathy|cancer|Pathology|Biology|radiationphysics|Pharmacology|systemiccancertherapies|Resilience|
Field Lab Technican,I Skills Solutions,Bengaluru/Bangalore|Hyderabad/Secunderabad,1-2years,50000 - 150000 INR,"Looking for Graduates / Diploma holders in Medical Laboratory Technology with 1-2 years of experience working in Hospitals, Pathology labs. |   |  The job involves testing corporate employees using the HealthCubed device.   |   |  Demonstrate the usage of device",FieldLab|LabAssistance|LabTechnician|LabAssistant|LaboratoryTechnician|Laboratory|Pathologist|Pathology|Testing|
"Medical Coding Jobs - Critical Care, Physician Assistant & Optometry Fresher Grads Ct: 8428080909",I Skills Solutions,Coimbatore|Vellore,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                              |                                             Job Description: |                                              |                                             Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Jobs - Optometry, Anesthesia, Cardiac, Dialysis, OT Fresher Graduates",I Skills Solutions,Coimbatore|Trichy,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                         |                                        Job Description: |                                         |                                        Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Jobs Microbiology, Biotechnology, Bio-med, Biochemistry Ct: HR Gomathy",I Skills Solutions,Coimbatore|Namakkal,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                             |                                            Job Description: |                                             |                                            Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Openings For Nurse, Pharmacist, GNM Nurse - Day Shift /Fresher Grads",I Skills Solutions,Madurai|Trichy,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                             |                                            Job Description: |                                             |                                            Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Job(Fresher UG/PG) Pharm,Lifescience,BE(biotech & biomedical)",I Skills Solutions,Chennai|Krishnagiri,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                         |                                        Job Description: |                                         |                                        Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Jobs - Biotechnology, Biomedical, Biochemistry Freshers Ct: 8428080909",I Skills Solutions,Trichy|Krishnagiri,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                 |                                Job Description: |                                 |                                Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical coding jobs - Zoology, Adv Zoology, Microbiology, MLT Freshers Ct : 8428080909",I Skills Solutions,Erode|Madurai,0-3years,220000 - 440000 INR,"Position : Medical Coder |                           |                          Job Description: |                           |                          Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Hiring Microbiology, Biochemistry, Biotechnology, Biomedical- Medical Coder Job",I Skills Solutions,Chennai|Coimbatore,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                           |                                          Job Description: |                                           |                                          Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
Openings For Biochemistry & Zoology Graduates - Medical Coding Jobs,I Skills Solutions,Chennai|Coimbatore,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                      |                                     Job Description: |                                      |                                     Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coder Jobs For Physiotherapist, Bpt/mpt, Physiotherapy,Physio Freshers",I Skills Solutions,Chennai|Coimbatore,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                  |                                 Job Description: |                                  |                                 Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
