jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Web Designer  / Wordpress Developer / Photoshop,Yew Technologies,Surat,0-2years,Not Specified,We are looking for Creative Website Designers having Good knowledge of Designing of Responsive Layout Web sites based on HTML5 CSS3.,Photoshop|WordPressPlugin|WebDesigner|Wordpress|WordpressDeveloper|WordpressCms|
UI / UX Designer - InVision/Illustrator/Photoshop,DRPU Software Pvt. Ltd.,Bengaluru/Bangalore|Hyderabad/Secunderabad,2-6years,300000 - 850000 INR,"We are looking for an experienced and talented UI designer to design and shape unique, user-centric products and experiences. The ideal candidate will have experience working in agile teams, with developers, UX designers and copywriters.",UserExperienceDesigner|Photoshop|UxDesigner|WebDesigner|Javascript|Flash|Dreamweaver|Xml|HTML|CSS|Js|
UI / UX Designer - InVision/Illustrator/Photoshop,SliceMyPage,Bengaluru/Bangalore|Hyderabad/Secunderabad,2-7years,440000 - 850000 INR,"We are looking for an experienced and talented UI designer to design and shape unique, user-centric products and experiences. The ideal candidate will have experience working in agile teams, with developers, UX designers and copywriters.",UserExperienceDesigner|
Fresher Graphic Designer Adobe Photoshop Graphics Designing Freshers Job Delhi NCR,Peopleplease Consulting,Delhi|Noida,0-1years,150000 - 480000 INR,"Hiring Freshers! We are Looking for creative Graphic Designers having good knowledge of Adobe Photoshop Designing for Websites & web portals, Designing Apps GUI & icons etc, Designing Banners Promos & Ads etc for Social Media, Print Media & website.",Freshers|GraphicDesigner|GraphicsDesigning|AdobePhotoshop|AdobeIllustrator|AdobeIndesign|
Front End Developer,ASquare Groups,Lucknow,0-3years,120000 - 300000 INR,"We are looking  for the position of Front End Developer who is  responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for maximum efficiency, and maintaining brand consistency across all web pages",Photoshop|HTML|CSS|Javascript|Bootstrap|WebDesigner|
DTP Operator,Parul University,MumbaiCity,2-10years,110000 - 150000 INR,"-Pagemaker, Coreldraw & Photoshop |  -Akruti Software and good typing speed in Marathi, Hindi |  -2 to 3 years experience in DTP  |  -Location - Fort, Mumbai",Pagemaker|CorelDraw|Photoshop|Coraldraw|Akruti|AdobePhotoshop|
Graphic designer,Image Online Pvt Ltd,Chennai,1-2years,Not Specified,One year experience female graphic designer wanted for Ecommerce industry,Photoshop|Illustrator|CorelDraw|Indesign|Flash|
Graphic Designer,Parul University,Vadodara,2-4years,200000 - 350000 INR,Conceptualize visuals based on requirements,GraphicDesigner|Graphic|Photoshop|Visualiser|Designer|Creative|
Creative Web Designer - Photoshop,Global Technologies,MumbaiCity,3-5years,Not Specified,"Immediate Opening for Creative Web Designer - Photoshop at Mulund,Mumbai. |   |",CREATIVEWEBDESIGNER|Photoshop|DESIGNINGPHOTOSHOP|EMAILERDESIGNING|FACEBOOKPOSTDESIGNING|GOOGLEADWORDSBANNERDESIGNING|WebDesigning|WebDesigner|
Illustrator,Scope Telecom Private Limited,Vadodara,0-5years,300000 - 600000 INR,We are looking for a talented Illustrator to create original elements and enviornment for animated videos.,Drawings|Sketches|AdobeIllustrator|AdobePhotoshop|
UX Designer,Ultra Media & Entertainment Private Limited,Bengaluru/Bangalore,3-10years,Not Specified,"3+ years of experience in web/interactive design & graphic design |  Solid knowledge of design fundamentals such as composition, color, layout, and typography |  Appreciation for art, design, and user experience and a passion for diving into new content an",Sketch|Photoshop|XD|Ux|Wireframe|Invision|Usability|UserInterface|
Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) Work from Home,Shakun Sharma (Proprietor Of FM Industry),Delhi|Gurgaon/Gurugram,0-5years,Not Specified,Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) - Work from Home,Photoshop|Illustrator|Indesign|CorelDraw|Freehand|Pagesmaker|Flash|Dreamweaver|
Web Designing and Development,Akken Technologies Private Limited,Ambala|Panchkula,0-1years,Not Specified,"Write well designed, testable, efficient code by using best software development practices |  Create website layout/user interface by using standard HTML/CSS practices |  Integrate data from various back-end services and databases |  Gather",Photoshop|Photoshop|HTML|Dreamweaver|CSS|WebDesigner|Js|Javascript|Flash|Xml|
VFX Artist : Entertainment Industry,Redefined Corp,Mumbai|MumbaiCity|NaviMumbai|Thane,2-8years,Not Specified,Urgent Opening for VFX artist : Entertainment Industry with Ultra Media and Entertainment,VFXArtist|digitalphotography|Photoshop|PhotoshopArtist|MotionGraphics|MotionGraphicDesigner|VideoEditing|VideoEditor|animation|
Floral Designer (Work From Home),Enigmasoft Technologies Private Limited,Bengaluru/Bangalore,0-1years,250000 - 380000 INR,Urgent Hiring For Floral Designer  |  Freshers Can Also Apply,FloralDesigner|GraphicDesigner|CorelDraw|Pagemaker|Illustrator|Photoshop|Coraldraw|AdobePhotoshop|
Sr. UI Developer,2COMS Consulting Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,We are looking for creative and enthusiastic Sr. UI Developer to join our product development team. He / She should be able to take ownership of all aspects of user interface development to meet business requirements across platforms.,UIDeveloper|WebDeveloper|Photoshop|CSS|Javascript|HTML|AJAX|Dreamweaver|
UI Developer,Hire Zone Solution,Chennai,4-8years,Not Specified,"DEMONSTRABLE SKILL LEVEL |   |  • Java Coding Best Practices Expert |   |  • Angular 5 or above, JavaScript Expert |   |  • Java Performance Expert EXPERIENCE > 8 years ▪ Understanding of data structures, algorithms, and their performance |   |  ▪ Experience in working with",Photoshop|HTML|Javascript|CSS|Jquery|AdobePhotoshop|
Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) Work from Home,Adal Immigrations LLP,Delhi|Gurgaon/Gurugram,0-5years,Not Specified,Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) - Work from Home,Photoshop|Illustrator|Indesign|CorelDraw|Freehand|Pagesmaker|Flash|Dreamweaver|
VLSI -  Architect,Hi Tides Consulting,Goa,2-5years,Not Specified,Hiring for Goa Location,Autocad|Rhino|SketchupandPhotoshop|buildingcodes|understandingofconstructiontechnologies&detailing|
Digital Marketing Executive,Pinnacle HRM,Kolkata,1-4years,Not Specified,"Need someone who is experienced for 1-3 years into PHP, HTML, Photoshop & designing. Any graduate.",Design|Photoshop|PHPprogrammer|HTML|
