jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
MJR4568 - Assistant Professor - Physiology (MD / DNB) - Near Bangalore,Sehat Health Community Services Private Limited,Bengaluru/Bangalore,0-3years,720000 - 840000 INR,Job Role: Assistant Professor |   |  Experience:  0 - 3 Years |   |  Salary:  60 K/Mo - 70 K/Mo |   |  Nature of Duty: Academic & Clinical |  Accommodation: Accommodation Provided,Physiology|MDPhysiology|DNBPhysiology|AssistantProfessorPhysiology|AssistantProfessor|
Assistant Professor /Physiology/Pediatrics/Bangalore,Angel And Genie,Bengaluru/Bangalore,5-10years,Not Specified,Assistant Professor /Physiology/Pediatrics/Bangalore (Varthur Hobli off Sarjapur Road)/Eligibility: Minimum 5 years teaching exp. post MPT/PhD preferred..,Physiology|Pediatrics|ProfessorPhysiology|ProfessorPediatrics|
"Medical Coding Jobs For Physiotherapist, Physiotherapy, BPT, MPT & Dentist, BDS, MDS Freshers",Achievers Spot,Chennai|Kovilpatti,0-2years,350000 - 400000 INR,Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments)Codes using ICD-10 CM and CPT code books. Healthcare including Medical Coding and Billi,MedicalCoding|MedicalCoder|MedicalBilling|ICD-10CM|CPTcodebooks|Anatomy|Physiology|Physiotherapy|Bpt|MPT&Dentist|Bds|MDS|Physiotherapist|
"Medical Coding Jobs - Critical Care, Physician Assistant & Optometry Fresher Grads Ct: 8428080909",I Skills Solutions,Coimbatore|Vellore,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                              |                                             Job Description: |                                              |                                             Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Jobs - Optometry, Anesthesia, Cardiac, Dialysis, OT Fresher Graduates",I Skills Solutions,Coimbatore|Trichy,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                         |                                        Job Description: |                                         |                                        Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Jobs Microbiology, Biotechnology, Bio-med, Biochemistry Ct: HR Gomathy",I Skills Solutions,Coimbatore|Namakkal,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                             |                                            Job Description: |                                             |                                            Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Openings For Nurse, Pharmacist, GNM Nurse - Day Shift /Fresher Grads",I Skills Solutions,Madurai|Trichy,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                             |                                            Job Description: |                                             |                                            Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Job(Fresher UG/PG) Pharm,Lifescience,BE(biotech & biomedical)",I Skills Solutions,Chennai|Krishnagiri,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                         |                                        Job Description: |                                         |                                        Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Jobs - Biotechnology, Biomedical, Biochemistry Freshers Ct: 8428080909",I Skills Solutions,Trichy|Krishnagiri,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                 |                                Job Description: |                                 |                                Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical coding jobs - Zoology, Adv Zoology, Microbiology, MLT Freshers Ct : 8428080909",I Skills Solutions,Erode|Madurai,0-3years,220000 - 440000 INR,"Position : Medical Coder |                           |                          Job Description: |                           |                          Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
