jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Opening for Freshers As Well As Eperiences of 2yrs candidates can apply,Career Mantra Management Services,Hyderabad/Secunderabad|Pune,0-2years,220000 - 340000 INR,Research & update a sponsorship database Research online through various news articles & official websites Graduation in any filed Good knowledge of MS Office especially Excel & Power Point.Good Communication Skills. Candidates Can Apply here.,MarketIntelligence|DigitalMarketing|Management|Powerpoint.|Excel|
Opening for Freshers As Well As Eperiences of 2yrs candidates can apply,Career Mantra Management Services,Mumbai|Pune,0-2years,220000 - 340000 INR,|  Research & update a sponsorship database Research online through various news articles & official websites Graduation in any filed Good knowledge of MS Office especially Excel & Power Point.Good Communication Skills. Candidates Can Apply here. |,MarketIntelligence|DigitalMarketing|Management|Powerpoint.|Excel|
Business Presentation Specialist - Kochi,Infyjob Technology Services,Cochin/Kochi/Ernakulam,1-5years,200000 - 500000 INR,Business Presentation Specialist,Presntation|DocumentSpecialist|MsWord|prensentationspecilaist|mspowerpoint|
Sales Manager - Online Education Work From Home,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,5-9years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheets, and PowerPoint.",SalesManagement|Sales|Target|CommunicationSkills|Interpersonal|SkillsProblem|SolvingPresentation|OrganizationalSkills|Powerpoint|Spreadsheets|
Copy Writer,Eteam Info Services Private Limited,Bengaluru/Bangalore,3-6years,Not Specified,"Role: Copy Writer |  Payroll: eTeam |  Loc: Bangalore (Now WFH) |  4-5 years professional copywriting exp with solid portfolio of work |  Proficiency in MS Word, Excel, PowerPoint & Adobe Acrobat Pro |  B2B exp. Prior exp in Marketing Technology, will be beneficial",CopyWriter|Marketing|MsWord|Powerpoint|AdobeAcrobat|B2b|MsExcel|
Sales Manager - Day Shift,C P Careers Private Limited,Bengaluru/Bangalore,5-9years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheets, and PowerPoint.",SalesManagement|Sales|Target|CommunicationSkills|InterpersonalSkills|ProblemSolving|Presentation|OrganizationalSkills|Powerpoint|Spreadsheets|
Administrative Assistant,SnapHunt Pte Ltd,Cochin/Kochi/Ernakulam,1-3years,Not Specified,"Handling administrative tasks like generating reports, arranging meetings and maintaining supplies. Ensuring polite and professional assistance via phone and e-mail. |",Administration|AdministrativeAssistant|Word|Powerpoint|
Sales Manager - US Shift,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,4-8years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheet, and PowerPoint",Powerpoint|Spreadsheets|Salesforce|Organizational|ExcellentCommunication|InterpersonalSkills|ProblemSolving|Presentation|Target|Sales|BusinessDevelopment|CommunicationSkills|
Process Executive,Teamlease Digital Private Limited,Cochin/Kochi/Ernakulam,0-1years,Not Specified,"Client: Williams Lea |   Location: Cochin  |   CTC PM:15000/- Rs - PM |   Should be flexible to work in 24/7 Shifts |   Job Description: Non Voice Process – should be really good at MS office, Power point and good typing skill.",Powerpoint|PowerpointPresentation|PPTAndPresentation|Presentation|Ppt|PresentationSpecialist|MsOffice|MsExcel|
Hiring for Part time HR Recruiter-Female only,Gautam Consultancy,Ahmedabad,0-1years,Not Specified,|                                  |                              |                                  |,
Document Specialist,Hucon Solutions India Private Limited,Cochin/Kochi/Ernakulam,1-4years,Not Specified,"The successful candidate will be responsible for working closely with the rest of the team on a daily basis, and |  would be reporting into their Project Coordinator / Training Manager / Process Trainer / Client Manager on |  their daily deliverable.",AdobeSuite|PowerpointSpecialist|PresentationSpecialist|BusinessPresentations|DocumentationSpecialist|
Personal Assistant (PA) To Director,Apache Footwear India Private Limited,Bhubaneswar,5-15years,Not Specified,"Role: |    |  1.       To Manage Day to Day Schedule of the Director |  2.       To Prepare Documents on Word, Excel |  3.       To give reminder about meetings. |  4.       To complete the task as assign",GoodCommunicationSkills|MsOfficeWord|MsExcel|MSPowerpoint|
Social Media Coordinator,SnapHunt Pte Ltd,Nellore,2-5years,Not Specified,Greetings from Apache Footwear India Pvt Ltd. |  We have openings for Social Media Coordinator,SocialMediaExecutive|VideoEditing|Ppt|Powerpoint|Presentation|Designer|Graphic|Excel|MsOffice|
Risk Management Analyst,Carepro Global,Hyderabad/Secunderabad,3-6years,Not Specified,Preparing reports required for compliance regulations. Providing data analysis and building risk models to support risk programs. |,Powerpoint|Word|Email|Healthcare|Analytics|MsOfficeTools|Excel|DataAnalytics|ReportingTools|
Human Resource,SnapHunt Pte Ltd,Bengaluru/Bangalore,0-2years,Not Specified,recruiting employees,Word|Powerpoint|MsExcel|
Customer Service Executive,Trigent Software Limited,Hyderabad/Secunderabad,0-3years,Not Specified,"Responding to customer queries. identifying customer needs and providing accurate, valid and complete information. Creating the Purchase Order in our CRM and arranging the invoicing and payment collection from the customers. |",PurchaseOrder|SupplyChain|CRM|CustomerService|CareerDevelopment|Powerpoint|SupplyChainManagement|Excel|
Senior Document Specialist,SnapHunt Pte Ltd,Hyderabad/Secunderabad|Mumbai,1-4years,310000 - 409999 INR,Urgent Hiring,PresentationSpecialist|Documents|seniordocumentspecialist|BusinessPresentationSpecialist|documentspcecialist|Powerpoint|MsOffice|
Documentation Specialist,2COMS Consulting Private Limited,Chennai|Cochin/Kochi/Ernakulam,Fresher,Not Specified,"Power Point Presentation as per Client expectation |  Creating creative slides and template |  Handling multiple task, achieving client deadline |  Satisfying client expectation |  Processing Word, Excel, PPT,  |  Creative Power Point Presentation",Ppt|Powerpoint|Presentation|PowerpointPresentation|Charting|Mis|MisExecutive|Excel|MsOffice|
