jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Business Presentation Specialist - Kochi,Infyjob Technology Services,Cochin/Kochi/Ernakulam,1-5years,200000 - 500000 INR,Business Presentation Specialist,Presntation|DocumentSpecialist|MsWord|prensentationspecilaist|mspowerpoint|
Presentation Specialist/ Workflow Coordinators,2COMS Consulting Private Limited,Cochin/Kochi/Ernakulam,1-5years,100000 - 300000 INR,"Work Location: Cochin |  As of now work from home, as per situation it will be work from office |  Week Off: 5 days working (2 days rotational week off) |  Qualification: Graduate/ Post Graduate |  At least 3-5 yrs. experience in designing, creating, formatting",presentation.workflow|
"IT Project Management, ITIL, Presentation Skills ,Office 365 ,Share point",Progneur Technologies Private Limited,Pune,5-7years,Not Specified,"	5-7 years of experience working in technical roles (developer, analyst, project manager, etc.) |    |  	Basic 1-3 years of Project Management experience |",PresentationSkills|SharePoint|ItProjectManagement|Itil|Office365|
Presentation Specialist/ Workflow Coordinators,2COMS Consulting Private Limited,Cochin/Kochi/Ernakulam,2-7years,Not Specified,"Job Title: Presentation Specialist/ Workflow Coordinators |    |  Work Location: Cochin |   |  Experience Required: |   |  At least 3-5 yrs. experience in designing, creating, formatting native PPT for marketing services (BFSI domain)","""PresentationSpecialist""|""PPTPresentation""|""MSOfficeSuite""|""designingPPT""|""creatingPPT""|""formattingnativePPT""|"
Presentation Specialist/ Document Specialist/ Workflow coordinators/ Sr project trainer,2COMS Consulting Private Limited,Cochin/Kochi/Ernakulam,1-10years,Not Specified,Job Title: Presentation Specialist/ Document Specialist/ Workflow coordinators/ Sr project trainer |   |  Work Location: Cochin |   |  Interview Location: Online Interview(PAN India Interview) |   |,"""PresentationSpecialist""|""PPTPresentation""|""DocumentSpecialist""|""MSofficesuite""|""CreatingPPT""|""designingPPT""|"
Presentation Specialist/ Workflow Coordinators,2COMS Consulting Private Limited,Cochin/Kochi/Ernakulam,2-7years,Not Specified,"Job Title:  |    |  Work Location: Cochin |   |  As of now work from home, as per situation it will be work from office |   |  Shift: Rotational Shift","""PresentationSpecialist""|""DocumentationSpecialist|""|""PowerpoinPresentation""|"
Presentation Specialist/ Workflow Coordinators,2COMS Consulting Private Limited,Cochin/Kochi/Ernakulam,3-8years,Not Specified,"Job Title: Presentation Specialist/ Workflow Coordinators  |   |  Work Location: Cochin  |   |  As of now work from home, as per situation it will be work from office  |   |  Shift: Rotational Shift","""formattingnativePPT""|""Presentation""|""PresentationSpecialist""|""Powerpoint""|""PPT""""MSofficesuite""|"
Presentation Specialist/ Workflow Coordinators,2COMS Consulting Private Limited,Chennai|Cochin/Kochi/Ernakulam,3-8years,Not Specified,"Job Title: Presentation Specialist/ Workflow Coordinators  |   |  Work Location: Cochin  |   |  As of now work from home, as per situation it will be work from office  |   |  Shift: Rotational Shift","""PresentationSpecialist""|""Presentation""|""PowerpointPresentation""|""2dGraphics""|""DocumentationSpecialist""|""PPTPresentation""|""MSofficesuite""|"
Urgently Hiring Digital Marketing/Sales Assistant for Experience Candidates,Career Mantra Management Services,Pune|MumbaiCity,2-6years,320000 - 640000 INR,"Develop Company Presence on Facebook / Youtube .Provide recommendation to enhance company website Standardize presentation and collateral material, provide recommendations to enhance company logo and business  card.Market Research on selected markets",SocialMedia|Media|Youtube|DigitalMarketing|PowerPointPresentationfacebook|InternetMarketing|
Process Executive,Teamlease Digital Private Limited,Cochin/Kochi/Ernakulam,0-1years,Not Specified,"Client: Williams Lea |   Location: Cochin  |   CTC PM:15000/- Rs - PM |   Should be flexible to work in 24/7 Shifts |   Job Description: Non Voice Process – should be really good at MS office, Power point and good typing skill.",Powerpoint|PowerpointPresentation|PPTAndPresentation|Presentation|Ppt|PresentationSpecialist|MsOffice|MsExcel|
