jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Opening for  fresher and exp ( MBA-HR-BBA-BCOM-any HR background),Career Mantra Management Services,Mumbai|Pune,0-2years,120000 - 450000 INR,Create and  maintain the skill mapping of all resources who are a part of the proficiency; External hiring ;resource rotation; proactive bench; work with coE to create and implement skill up gradation program.if interested please Post : Shifshare.,MbaFinance|MBAMarketing|Ca|MBAFinanceFresher|Banking|Accounts|PGDMFinance|B.Com|MbaFresher|
Back Office Executive in Financial Advisory(NSP)@2.4LPA,Aspire Group of Services,Lucknow,0-1years,210000 - 280000 INR,|  Required Candidate profile |   |  Must Have Knowledge about insurance and policies. |  Good in taking follow ups |  Proactive Approach with positive thinking,BackOffice|Backend|BackOfficeExecutive|OfficeAssistant|Backofficeoperations|Operations|Nonvoice|Computeroperator|
COLLECTION EXECUTIVE || Bangalore,2COMS Consulting Private Limited,Bengaluru/Bangalore,1-3years,100000 - 300000 INR,We are looking for proactive executives for the outbound collection process. Incumbent will be responsible for calling prospective clients and enquiring about their payment.  *  * Job Title: Collection Executive  *  Handle Insurance collectio,
Hiring Sales Consultant at a Leading MNC in Bangalore,2COMS Consulting Private Limited,Bengaluru/Bangalore,1-4years,100000 - 350000 INR,ASSOCIATE SALE CONSULTANT |  We are looking for proactive executives for the outbound insurance sales process. Incumbent will be responsible for calling prospective clients and providing them suitable insurance policies as per their requirement.,Insurance|InsuranceProcess|Lifeinsurance|Sales|GeneralInsurance|DematAccountSales|VoiceProcess|
Account Manager required in Canada,Cloud Visa Immigration LLP,Canada,2-7years,Not Specified,call & what's app to Pooja-9311529770 |  We are searching for communicative candidates who are proactive and passionate about company products and the clients they serve. Account Managers will act as a point of contact for their clients.,Accounting|Finance|Taxation|AccountsExecutive|AccountsPayable|Auditing|F&A|GeneralLedger|AccountManager|Relationshipmanager|Insurance|
Senior Salesforce Developer/ Team Lead salary 15lpa 5-10years,Angel And Genie,Bengaluru/Bangalore,5-10years,Not Specified,"Be sharp, proactive, a good communicator, and able to manage client expectations (Both Enabled |  Analytics Internal and external Clients)",SalesforceDeveloper|Salesforce|force.com|TeamLead|SFDC|Visualforce|Salesforce.com|
Senior Salesforce Developer/ Team Lead salary 15lpa 5-10years,Angel And Genie,Bengaluru/Bangalore,5-10years,Not Specified,"Be sharp, proactive, a good communicator, and able to manage client expectations (Both Enabled |  Analytics Internal and external Clients)",SalesforceDeveloper|Salesforce|force.com|SFDC|Visualforce|Salesforce.com|
Regional Sales Manager,Carepro Global,Bengaluru/Bangalore,4-9years,Not Specified,To be proactive with locating and developing new business in line with the revenue and sales through the appropriate media. |   |  - Identifying potential corporate clients and closing pan India tie-ups for the network of Clinics. |,RegionalSalesManager|AreaManager|SalesManager|
Hiring Post Graduate in a renowed client company@ Chandigar g,2COMS Consulting Private Limited,Chandigarh,0-2years,Not Specified,"Job Description |  Key Responsibilities: |   |  Ability to meet day to day client deliverables by executing quickly and efficiently in PowerPoint. |  Ensure quality, timeliness, and overall client satisfaction. Candidate should be proactive, upbeat and solutions",FreshGraduate|PostGraduate|
Safety Officer/Canada/Australia/Hongkong/Germany/New Zealand/PR Visa,Adal Immigrations LLP,Australia|Canada,2-7years,2500000 - 5500000 INR,"Candidate need to be experienced in Plant Safety, Safety processes, Safety trainings, Need to be proactive, Go getter, good in communication.",SafetyManager|IndustrialSafety|SafetyEngineer|EHSOfficer|SafetyTraining|SafetyAudits|SafetyOfficer|
