jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Hiring for the Airport Work .,JB Consultants,Bengaluru/Bangalore|Guwahati,0-2years,350000 - 750000 INR,We are hiring for the Air Ticketing Profile...,planningandorganising|self-management|Teamwork|ProblemSolving|
Hiring For The Online Work From Home Executives.,Best infosystems Ltd,Chennai|Coimbatore,0-1years,550000 - 750000 INR,"Work from home is an arrangement that allows you to work outside the traditional office setting. It is also called remote work or working remotely. Thanks to new technologies, it is no longer required to be physically present in the office to be...",communication|Teamwork|ProblemSolving|Technology|Learning|self-management|planningandorganising|
Urgent opportunity for Service Desk Analyst in  Navi Mumbai,Best infosystems Ltd,NaviMumbai,5-10years,Not Specified,Qualifications/Requirements:  |  • Bachelor’s degree/Graduate in any stream  |  • 5+ years’ experience of working on a help/service desk Level 1 and higher support,"""servicedesk""|""helpdesk""|ticketingsystem|Slas|Incident|Change|ProblemManagement|Itil|"
Change & Problem Manager,C P Careers Private Limited,Pune,5-8years,Not Specified,Having ITIL Foundation certificate |  Experience in managing large account Change & Problem Management |,cab|ItilCertified|ProblemManagement|ChangeManagement|
"Urgent Hiring for Ground Staff, Air ticketing and Cabin Crew in Airline.",Angel And Genie,Chennai|Kolkata,0-2years,Not Specified,"We are hiring staff for 3 job profile - Ground Staff, Air ticketing and Cabin crew...",CommunicationskillsPlanning|OrganizingResponsibility|Teamwork|Problem-solvingskills|Interpersonal|abilitiesFlexibility|SoftSkills|ManagementSkills|Professional|
TECHNICAL LEAD - ITSM,Icon Facilities,Bengaluru/Bangalore,8-12years,Not Specified,"The resource will be responsible for the technical design, development, deployment and support of PEGA platform related solutions within a project or BAU maintenance release. |",TechnicalLead|Itil|IncidentManagement|ProblemManagement|
TELECOM Technical Project Manager / Dual Transfer Mode,DXC Technology India,Chennai,10-15years,Not Specified,"Fully manage the resulting activities including all the Project Management related tasks (scope, resource management, reporting / quality follow up, change management)",TelecomOSSBSS|TelecommunicationOSSBSSNetworks|ProblemManagementPerformanceReport|
Major Incident Manager,DXC Technology India,Hyderabad/Secunderabad|Pune,4-8years,520000 - 1000000 INR,URGENT REQUIREMENT .................................,Globalincidentmanager|Itilinfrastructure|Problem|Construction|RealEstate|Infrastucture|Engineering|Maintenance|Manuf|IncidentManagement|ProblemManagement|Changemanagement|Change|Itil|MonitoringTools|ItInfrastructure|Datacenter|BmcRemedyItsm|
Sales Manager - Day Shift,Quess IT Staffing (Formerly known as Magna Infotech),Bengaluru/Bangalore,5-9years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheets, and PowerPoint.",SalesManagement|Sales|Target|CommunicationSkills|InterpersonalSkills|ProblemSolving|Presentation|OrganizationalSkills|Powerpoint|Spreadsheets|
Critical System Analyst-NBFC(Financial Services)-Bangalore-3yrs+-5.5lakhs,Cynosure Corporate Solutions,Bengaluru/Bangalore,3-5years,Not Specified,Critical System Analyst-NBFC(Financial Services)-Bangalore-3yrs+-5.5lakhs |,NBFC|SystemAnalyst|ServiceNow|Jira|Zoho|ServiceRequest|IncidentManagement|ChangeManagement|ProblemManagement|Itil|
Major Incident Manager,Advance Jobs Private Limited,Hyderabad/Secunderabad|Pune,4-8years,520000 - 1000000 INR,URGENT REQUIREMENT .................................,Globalincidentmanager|Itilinfrastructure|Problem|Construction|RealEstate|Infrastucture|Engineering|Maintenance|Manuf|IncidentManagement|ProblemManagement|Changemanagement|Change|Itil|MonitoringTools|ItInfrastructure|Datacenter|BmcRemedyItsm|
Data Retrieval Specialists - eDiscovery - FTE,Advance Jobs Private Limited,Delhi|Pune,4-7years,450000 - 750000 INR,we are hiring.............,E-discovery|DocumentReview|NetworkingService|Delivery|businessapplications|Software|ChangeManagement|ItilCertified|ClientServer|ProblemManagement|IncidentManagement|ITSupport|InformationTechnology|Technicalsupport|ItHelpdesk|
Requirement- Design Engineer (Solid Edge),Diraa HR Services,Pune,2-3years,180000 - 240000 INR,Post-Design Engineer (Solid Edge)  |  Exp- 2 To 3 Yrs  |  Skill- Candidate having proper knowledge & experience in Design Engineer on Solid Edge software.Time management  |          &organisational skills.Problem solving skill.,DesignEngineer|Solidedge|Automobile|Manufacturing|TimeManagement|AutoCad|Draftsman|ProblemManagement|
Senior Data Center Manager,Syngenta India Limited,Mumbai,10-13years,Not Specified,"Looking to hire a Sr. Data Center Manager responsible to manage day to day datacenter facility operational activities that involves handing the support team escalations, supervise facility heath check through BMS tools, Datacenter Management Software",Hosting|infrahosting|DCaudits|DataCenter|ProblemManagement|changemanagement|ReleaseManagement|IncidentManagement|NetworkCabling|
