jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Hiring for the Airport Work .,Professional Hunters Consultancy,Bengaluru/Bangalore|Guwahati,0-2years,350000 - 750000 INR,We are hiring for the Air Ticketing Profile...,planningandorganising|self-management|Teamwork|ProblemSolving|
Urgent Hiring For Ground Staff Profile,C P Careers Private Limited,Bengaluru/Bangalore|Cochin/Kochi/Ernakulam,Fresher,350000 - 750000 INR,We are hiring for ground staff...,Learning|Teamwork|ProblemSolving|initiativeandenterprise|planningandorganising|
Hiring for Ground Staff and Cabin Crew.,C P Careers Private Limited,Bengaluru/Bangalore|Kannur,0-2years,550000 - 750000 INR,We are hiring for Airport Staff...,Teamwork|communication|ProblemSolving|initiativeandenterprise|PlanningandOrganising|
Cabin Crew Hiring,Hudson Agile Ventures Private Limited,Chennai|Cuddalore,Fresher,350000 - 750000 INR,We are hiring fro the Cabin Crew...,Teamwork|ProblemSolving|Learning|planningandorganising|initiativeandenterprise|
Hiring For The Online Work From Home Executives.,Diraa HR Services,Chennai|Coimbatore,0-1years,550000 - 750000 INR,"Work from home is an arrangement that allows you to work outside the traditional office setting. It is also called remote work or working remotely. Thanks to new technologies, it is no longer required to be physically present in the office to be...",communication|Teamwork|ProblemSolving|Technology|Learning|self-management|planningandorganising|
Customer Service  Executive,Comtech Exports Private Limited,Chennai,0-2years,140000 - 250000 INR,"Answer incoming calls and respond to customer's emails · Management and resolve customer complaints,",Clearcommunicationskills|Problem-solvingskills|Patience|PositiveAttitude|Listeningskills.|
"Urgent Hiring for Ground Staff, Air ticketing and Cabin Crew in Airline.",Aspire Group of Services,Chennai|Kolkata,0-2years,Not Specified,"We are hiring staff for 3 job profile - Ground Staff, Air ticketing and Cabin crew...",CommunicationskillsPlanning|OrganizingResponsibility|Teamwork|Problem-solvingskills|Interpersonal|abilitiesFlexibility|SoftSkills|ManagementSkills|Professional|
Sales Manager - Day Shift,Career Mantra Management Services,Bengaluru/Bangalore,5-9years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheets, and PowerPoint.",SalesManagement|Sales|Target|CommunicationSkills|InterpersonalSkills|ProblemSolving|Presentation|OrganizationalSkills|Powerpoint|Spreadsheets|
Sales Manager - US Shift,Infoworks Data Private Limited,Bengaluru/Bangalore|Chennai,4-8years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheet, and PowerPoint",Powerpoint|Spreadsheets|Salesforce|Organizational|ExcellentCommunication|InterpersonalSkills|ProblemSolving|Presentation|Target|Sales|BusinessDevelopment|CommunicationSkills|
Software Developer Trainee  software engineers,SnapHunt Pte Ltd,Mysore,0-1years,150000 - 400000 INR,"Software Engineers – Fresher’s - Trainee Engineers ––BA,.net, php, Java, Ios, Android,BDE |  Education: BE, B.Tech, MCA, M.Tech, ME, MCA, Msc. IT, BSC, BCA, MBA or Any degree  |   |  Software Engineer Job Purpose: Develops information systems by designing, pr",AnalyzingInformation|GeneralProgrammingSkills|SoftwareDebugging|ProblemSolving|Teamwork|SoftwareDevelopmentFundamentals|SoftwareDesign|SoftwareDocumentation|SoftwareTesting|softwaredevelopmentprocess|SoftwareRequirements|
URGENT OPENINGS FOR MECHANICAL PRODUCTION,Brainworks Business Solutions Private Limited,Coimbatore,0-5years,250000 - 350000 INR,"Helps manufacturing staff achieve company goals by communicating expectations, planning, monitoring, and evaluating job results",commercialawareness.theabilitytoworkwellunderpressure.problem-solvingskills.teamworkingskills.relevanttechnicalknowledge.goodleadershipskills.|
Budget executive,Brainworks Business Solutions Private Limited,Delhi,5-10years,Not Specified,|                                  |,
Need B- tech  civil engineer 8601764867,Brain Management Consultants India Private Limited,Lucknow,0-5years,Not Specified,Building project Qualified - B tech civil engineer |  Profile - supervisor or foreman construction minimum experience in 0 year to 1 year in construction field,problem-solvingskills|abilitytoworktodeadlinesandwithinbudgets.|
APPLY FOR THE POST OF TECHNICAL SUPPORT HEAD CAN APPLY,C P Careers Private Limited,Mumbai|Pune,2-4years,229999 - 560000 INR,"As a technical support, you will be monitoring & maintaining the Printer, Scanner, RFID, Barcode, systems and networks within an organisation in a technical support role.If there are any issuses or changes required, such as forgetten passwords",OperationalOptimization|Installation&CommissioningEngineer|ProblemSolving|calling|Customercare|Telecalling|HardwareEngineer|CustomerSupportEngineer|RemoteAccess|Networking|
Senior Software Engineer,Matrix Corporate Management Services Private Limited,Bengaluru/Bangalore,5-12years,Not Specified,Design and implement applications using BigData technologies. |   Design and implement distributed applications using cloud specific services. |   Implement Hybrid cloud approaches to handle data synchronization in between on-premises and cloud. |,Map-Reduce|Tez|Problemsolvingandprogrammingskills|experienceinCloudbasedservices|Hive|Pig|Spark|Sqoop|Java|BigDataTechnologies|Python|Big|
Cybersecurity Analyst,Comtech Exports Private Limited,Bengaluru/Bangalore,2-4years,Not Specified,"Conducting penetration testing, simulating an attack on the system to find exploitable weaknesses. Monitoring our computer networks and systems to identify any violations and security breaches. |",recoveryplanning|ProblemSolving|VulnerabilityAssessment|PenetrationTesting|ITSecurity|CloudComputing|ComputerNetworking|
Junior Engineer,Shhy India Private Limited,Bengaluru/Bangalore,1-2years,300000 - 350000 INR,Position : Junior Engineer |  Experience : 1 to 2 |  Package : up to 3 lac,GoodknowledgeReactJS|stronginproblemsolvingandanalyticalskills|DebuggingandReviews|
Engineer,C P Careers Private Limited,Bengaluru/Bangalore,2-4years,400000 - 500000 INR,Position : Engineer |  Experience : 2 to 4 |  Package : up to 5 lac,GoodknowledgeFullStack|stronginproblemsolvingandanalyticalskills|DebuggingandReviews|
"Openings for Data structures/Problem Solving for Bangalore, Hyderabad & Chennai",Vishal Sushil Bhuta (Proprietor of Beat The Virus Startup),Bengaluru/Bangalore|Hyderabad/Secunderabad,2-6years,Not Specified,"Openings for Data structures/Problem Solving for Bangalore, Hyderabad & Chennai",ProblemSolving|FullStackDeveloper|Datastructures|WebDevelopment|FrontEnd|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Hiring for the Airport Work .,Professional Hunters Consultancy,Bengaluru/Bangalore|Guwahati,0-2years,350000 - 750000 INR,We are hiring for the Air Ticketing Profile...,planningandorganising|self-management|Teamwork|ProblemSolving|
Urgent Hiring For Ground Staff Profile,C P Careers Private Limited,Bengaluru/Bangalore|Cochin/Kochi/Ernakulam,Fresher,350000 - 750000 INR,We are hiring for ground staff...,Learning|Teamwork|ProblemSolving|initiativeandenterprise|planningandorganising|
Hiring for Ground Staff and Cabin Crew.,C P Careers Private Limited,Bengaluru/Bangalore|Kannur,0-2years,550000 - 750000 INR,We are hiring for Airport Staff...,Teamwork|communication|ProblemSolving|initiativeandenterprise|PlanningandOrganising|
Cabin Crew Hiring,Hudson Agile Ventures Private Limited,Chennai|Cuddalore,Fresher,350000 - 750000 INR,We are hiring fro the Cabin Crew...,Teamwork|ProblemSolving|Learning|planningandorganising|initiativeandenterprise|
Hiring For The Online Work From Home Executives.,Diraa HR Services,Chennai|Coimbatore,0-1years,550000 - 750000 INR,"Work from home is an arrangement that allows you to work outside the traditional office setting. It is also called remote work or working remotely. Thanks to new technologies, it is no longer required to be physically present in the office to be...",communication|Teamwork|ProblemSolving|Technology|Learning|self-management|planningandorganising|
Customer Service  Executive,Comtech Exports Private Limited,Chennai,0-2years,140000 - 250000 INR,"Answer incoming calls and respond to customer's emails · Management and resolve customer complaints,",Clearcommunicationskills|Problem-solvingskills|Patience|PositiveAttitude|Listeningskills.|
"Urgent Hiring for Ground Staff, Air ticketing and Cabin Crew in Airline.",Aspire Group of Services,Chennai|Kolkata,0-2years,Not Specified,"We are hiring staff for 3 job profile - Ground Staff, Air ticketing and Cabin crew...",CommunicationskillsPlanning|OrganizingResponsibility|Teamwork|Problem-solvingskills|Interpersonal|abilitiesFlexibility|SoftSkills|ManagementSkills|Professional|
Sales Manager - Day Shift,Career Mantra Management Services,Bengaluru/Bangalore,5-9years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheets, and PowerPoint.",SalesManagement|Sales|Target|CommunicationSkills|InterpersonalSkills|ProblemSolving|Presentation|OrganizationalSkills|Powerpoint|Spreadsheets|
Sales Manager - US Shift,Infoworks Data Private Limited,Bengaluru/Bangalore|Chennai,4-8years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheet, and PowerPoint",Powerpoint|Spreadsheets|Salesforce|Organizational|ExcellentCommunication|InterpersonalSkills|ProblemSolving|Presentation|Target|Sales|BusinessDevelopment|CommunicationSkills|
Software Developer Trainee  software engineers,SnapHunt Pte Ltd,Mysore,0-1years,150000 - 400000 INR,"Software Engineers – Fresher’s - Trainee Engineers ––BA,.net, php, Java, Ios, Android,BDE |  Education: BE, B.Tech, MCA, M.Tech, ME, MCA, Msc. IT, BSC, BCA, MBA or Any degree  |   |  Software Engineer Job Purpose: Develops information systems by designing, pr",AnalyzingInformation|GeneralProgrammingSkills|SoftwareDebugging|ProblemSolving|Teamwork|SoftwareDevelopmentFundamentals|SoftwareDesign|SoftwareDocumentation|SoftwareTesting|softwaredevelopmentprocess|SoftwareRequirements|
URGENT OPENINGS FOR MECHANICAL PRODUCTION,Brainworks Business Solutions Private Limited,Coimbatore,0-5years,250000 - 350000 INR,"Helps manufacturing staff achieve company goals by communicating expectations, planning, monitoring, and evaluating job results",commercialawareness.theabilitytoworkwellunderpressure.problem-solvingskills.teamworkingskills.relevanttechnicalknowledge.goodleadershipskills.|
Budget executive,Brainworks Business Solutions Private Limited,Delhi,5-10years,Not Specified,|                                  |,
Need B- tech  civil engineer 8601764867,Brain Management Consultants India Private Limited,Lucknow,0-5years,Not Specified,Building project Qualified - B tech civil engineer |  Profile - supervisor or foreman construction minimum experience in 0 year to 1 year in construction field,problem-solvingskills|abilitytoworktodeadlinesandwithinbudgets.|
