jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Urgent Hiring for Ground Staff, Air ticketing and Cabin Crew in Airline.",Professional Hunters Consultancy,Chennai|Kolkata,0-2years,Not Specified,"We are hiring staff for 3 job profile - Ground Staff, Air ticketing and Cabin crew...",CommunicationskillsPlanning|OrganizingResponsibility|Teamwork|Problem-solvingskills|Interpersonal|abilitiesFlexibility|SoftSkills|ManagementSkills|Professional|
Customer Service  Executive,C P Careers Private Limited,Chennai,0-2years,140000 - 250000 INR,"Answer incoming calls and respond to customer's emails · Management and resolve customer complaints,",Clearcommunicationskills|Problem-solvingskills|Patience|PositiveAttitude|Listeningskills.|
Sales Manager - Day Shift,Diraa HR Services,Bengaluru/Bangalore,5-9years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheets, and PowerPoint.",SalesManagement|Sales|Target|CommunicationSkills|InterpersonalSkills|ProblemSolving|Presentation|OrganizationalSkills|Powerpoint|Spreadsheets|
URGENT OPENINGS FOR MECHANICAL PRODUCTION,C P Careers Private Limited,Coimbatore,0-5years,250000 - 350000 INR,"Helps manufacturing staff achieve company goals by communicating expectations, planning, monitoring, and evaluating job results",commercialawareness.theabilitytoworkwellunderpressure.problem-solvingskills.teamworkingskills.relevanttechnicalknowledge.goodleadershipskills.|
Sales Manager - US Shift,Comtech Exports Private Limited,Bengaluru/Bangalore|Chennai,4-8years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheet, and PowerPoint",Powerpoint|Spreadsheets|Salesforce|Organizational|ExcellentCommunication|InterpersonalSkills|ProblemSolving|Presentation|Target|Sales|BusinessDevelopment|CommunicationSkills|
Budget executive,Aspire Group of Services,Delhi,5-10years,Not Specified,|                                  |,
Need B- tech  civil engineer 8601764867,Saksham Innovations Private Limited,Lucknow,0-5years,Not Specified,Building project Qualified - B tech civil engineer |  Profile - supervisor or foreman construction minimum experience in 0 year to 1 year in construction field,problem-solvingskills|abilitytoworktodeadlinesandwithinbudgets.|
Business Development Manager (Currently WFH),Hudson Agile Ventures Private Limited,Mumbai,2-4years,400000 - 550000 INR,Developing growth strategies and plans. Managing and retaining relationships with existing clients. Increasing client base. Having an in-depth knowledge of business products and value proposition.,OrganizationalSkills|CommunicationSkills|BasicComputer/Technicalskills|InterpersonalSkills|NegotiatingSkills|Collaborationskills|Problem-solvingskills|AnalyticalSkills|Self-motivated|Flexibilityandadaptability.|
Software Developer Trainee  software engineers,Infoworks Data Private Limited,Mysore,0-1years,150000 - 400000 INR,"Software Engineers – Fresher’s - Trainee Engineers ––BA,.net, php, Java, Ios, Android,BDE |  Education: BE, B.Tech, MCA, M.Tech, ME, MCA, Msc. IT, BSC, BCA, MBA or Any degree  |   |  Software Engineer Job Purpose: Develops information systems by designing, pr",AnalyzingInformation|GeneralProgrammingSkills|SoftwareDebugging|ProblemSolving|Teamwork|SoftwareDevelopmentFundamentals|SoftwareDesign|SoftwareDocumentation|SoftwareTesting|softwaredevelopmentprocess|SoftwareRequirements|
