jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Product Manager,Onpassive,Hyderabad/Secunderabad,15-18years,2000000 - 2200000 INR,The Product Manager is responsible for both product planning and product marketing.,ProductHead|ProductDevelopment|ProductManager|AgileMethodology|
Product Manager,PayGate India Private Limited,Thane,10-20years,Not Specified,"Drive the entire vision and delivery of new products, features to keep the business  |   relevant and competitive. |   Conduct market and Product research to identify potential features or releases. |   Manage the roadmap, prioritize product opportunities.",Payments|DigitalBanking|OpenbankingandAPIbanking|FintechInnovations|Goodcommunicationandinterpersonalskills.Teamhandlingskills|
Associate Product Manager,2COMS Consulting Private Limited,MumbaiCity,1-4years,500000 - 800000 INR,"Associate Product Manager.: looking for experience in wireframe, analytix, ui/ux |",Analytics|Omniture|Wireframes|itproduct|AdobeAnalytics|ProductManager|
Product Manager - Bangalore,Arush Manpower Solution,Bengaluru/Bangalore,7-12years,Not Specified,Range finalization based on commercial viability and brand positioning- joint responsibility· Finalization of Range architecture in discussion with Apparel head and team- documenting it and signoff from all concerned· Sharing the range architectu,ProductManager-Bangalore|
"Automobile Industries Jobs Hiring Full Time,Store Keeper,Supervisor.",Arush Manpower Solution,Guwahati|Itanagar,0-5years,Not Specified,"Perform maintenance and repair on customer vehicles. Identify problems with vehicles using the equipment. Explain automotive repairs and issues and provide great customer service. ... Repair and replace brake pads, wheel bearings, sensors and other,",AutomobileEngineering|
"Automobile Industries Jobs Hiring Full Time,Store Keeper,Supervisor.",Hi Tides Consulting,Dibrugarh|Jorhat,0-5years,Not Specified,"Perform maintenance and repair on customer vehicles. Identify problems with vehicles using the equipment. Explain automotive repairs and issues and provide great customer service. ... Repair and replace brake pads, wheel bearings, sensors and other,",AutomobileEngineering|Automobile|Manufacturing|Mechanical|
Product Manager   Product Development  Product Control  Product Head,Yellow Umbrella Group,Ludhiana,3-6years,300000 - 600000 INR,"Job Description: |  1.     Provide training by guiding the learner & explaining basic concepts, stimulate thinking with dialogue |   2.     Planning & executing large Events and meetings |  3.     Motivating the beginners for being a part of the Network  |  4.",Motivationalspeaker|Inspirationalspeaker|PublicSpeaking|ProductTraining|Trainer|SpeakingSkills|CorporateTrainer|InterpersonalSkills|PublicSpeaking|CommunicationSkills|PresentationSkill|Leadership|TeamBuildingSkill|
Associate Product Manager,Novac Technology Solutions Private Limited,Mumbai,3-6years,Not Specified,"|   |  Product Manager who has a passion for bringing digital products to life, you enjoy spending time understanding customer problems, and working directly with Technology, UX, Sales, and business teams. You have a passion for Agile manag",productRoadmap|userbehavior|conceptualize|Productrequirement|Documentation|
Innovation/Product Manager -Mumbai/Noida,Marvell India Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,5-15years,Not Specified,Urgent hiring Innovation/Product Manager for a FinTech MNC located at Noida.,"""innovation/ProductManager""|""cardmanagement""|""paymentgateway""|""e-commerce""|""FinTech/Banking""|""research/statisticalanalysis""|Online|Ecom|BankTransfer|B2C|ACH|Amex|CITIBANK|""AmericanExpress""|DBS|Visa|Atg|Mastercard|"
Digital Product Manager_ 5 To 7 Years_ Chennai,Reynold Infotek,Chennai,5-7years,Not Specified,JOB DETAILS: |   |  Position: Digital Product Manager |   |  Qualification: B.Tech/B.E/BSC CS/ BCA/ MCA /M Tech |   |  Relevant experience: 5 to 7 Years |   |  Domain: Digital Platform |   |  Place of posting: Chennai,DigitalProductDevelopment|producthandling|DigitalMedia|insuranceproduct|DigitalMarketing|ProductOwners|DigitalStrategy|SocialMediaMarketing|Mobileproduct|Webproduct|digitalbranding|uiux|WebDevelopment|UiDevelopment|WebDesign|
Product Manager (Semiconductor / hardware /networking),Talent To Connect Solutions And Services,Pune,5-10years,Not Specified,5-10 years of related professional experience in a customer-facing role,Semiconductor|ProductManager|Ethernet|
Product Manager,Best infosystems Ltd,Goa,3-5years,Not Specified,"The Product Manager is responsible for the product planning and execution throughout the Wranga platform Lifecycle, including: gathering and prioritizing product and customer requirements, executing the product vision, and working closely with team.",productstrategy|productroadmapping|productrequirements|MRDs|PRD|licensingopportunities|ConsumerStartupmarket|
Product Manager,EMVEE Information Technologies Private Limited,Delhi|Mumbai,12-18years,Not Specified,Great opening for Product Manager,Groupproductmanager|ProductHead|ProductManager|
SAP Product Development Manager @ Hyderabad/Mumbai/Pune/Delhi/Noida,EMVEE Information Technologies Private Limited,Hyderabad/Secunderabad|Mumbai,10-20years,Not Specified,"We have an opportunity for SAP Product Development,we need a candidate with SAP Product certification in SAP cloud platform.",SAPProductDevelopment|
Sr. Product Engineer,Sysmedac Technologies India Private Limited,Hyderabad/Secunderabad,3-13years,Not Specified,Looking for Product Engineer,SAP-ABAPCore|ABAPCore|Abap|
Product Management,EMVEE Information Technologies Private Limited,Bengaluru/Bangalore|Pune,2-12years,Not Specified,Looking for   Product Management |    |     |      |,ProductManagement|ProductManager|
Product Management,Sampark,Chennai|Coimbatore,2-12years,Not Specified,Looking for   Product Management |   |    |     |,ProductManagement|
Project Manager  Visa/ Master Card domain,JV Unity Enterprises,Bengaluru/Bangalore|Chennai,6-11years,1000000 - 1500000 INR,We have an Immediate position for Project Manager 8-15 yrs experience--Cards & Payments ( This role requires candidatures who has good understanding of how Visa/ Master Cards work/ issuing& acquiring side,Pmp|PMI|CardDomain|CreditCardDomain|ProjectManager|ProgramManager|CardDomain|Prince2|
Product Management,HR Factor,Gurgaon/Gurugram|Hyderabad/Secunderabad,2-12years,Not Specified,Looking for   Product Management |     |      |       |,ProductManagement|ProductManager|
Product Manager,Aarav Consultancy,Bengaluru/Bangalore,5-10years,Not Specified,"Product Management, Defining Product Requirements and working with engineering to deliver high quality product, Highly Driven, Adaptable, Analytical and problem Solver","""productManager""|"
Hiring for Service Manager In Automobile Company,Zenith services,Haldwani|Hooghly,0-4years,Not Specified,Analyze customers wants and needs to effectively recommend corresponding products and services. Explain the features and benefits of each automobile on the lot. Inform customers about special promotions and current sales. Negotiate fair and profit |,Automobile|Mechanical|Manufacturing|
Hybris-Module Lead/Technical Lead,VHB Medisciences Limited,Bengaluru/Bangalore|Chennai,5-10years,500000 - 1700000 INR,"Designing and leading B2B, B2C, multi-site and multi-country, end-to-end implementations of eCommerce platforms |  Contribute effectively in defining the architecture/design of solution and implementation |  Independently handle all modular designs and has",Hybris.|Ecommerce|ImpEX|FlexibleSearch|Java|Spring|Ooad|
