jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Production Executive,Sri Balajee HR Consultancy,Mumbai,5-6years,300000 - 430000 INR,"|   |  Exposure of External Liquid Manufacturing & Filling & External Power Manufacturing & filling Maintaining Equipment Log card, BMR, BPR and Daily documents. Maintaining good co-ordination and inter departmental follows up with QA, QC, RM Store and wi",CandidatesshouldexperiencesintoPharmaceuticalbackground|
"Production Supervisor, Production Manager, Production Executive",VHB Medisciences Limited,Bengaluru/Bangalore|Delhi,0-7years,350000 - 650000 INR,"Fresher Production Supervisor, Production Manager, Production Executive",ProductionManager|ProductionSupervisor|ProductionExecutive|
Production Executive,Cynosure Corporate Solutions,Bengaluru/Bangalore,0-2years,Not Specified,Working in Production Team,Manufacturing|ProductionOfficer|ProductionSupervisor|ProductionEngineer|ProductionExecutive|ProductionIncharge|
Production officer/Executive- Rudrapur,VHB Medisciences Limited,Rudrapur,1-11years,Not Specified,Production Opening for Injectable plant in Rudrapur for Pharmaceutical Company,Production|Pharmaceutical|injectable|LifeScience|
Production Executive,I2canz Outsourcing Private Limited,Chennai,0-1years,180000 - 190000 INR,"Designation: Production Executive |   |  Qualification: Engineering  Graduate |   |  Location: Redhills, Alamathi, Chennai.",FreshGraduate|
"Production Supervisor, Production Manager, Production Executive",Unicca Emporis Private Limited,Mumbai|Pune,0-5years,350000 - 650000 INR,"Production Supervisor, Production Manager, Production Executive",ProductionManager|Production|ProductionSupervisor|ProductionExecutive|
Production officer/Executive- Rudrapur for VHB Medi Sciences,R3D Immigration Services LLP,Rudrapur,1-11years,Not Specified,Production Officer/Executive/Trainee,Production|ProductionSupervisor|Productionexecutive|
"Production logistics , Logistics Manager /  Logistics Executive Required  in Canada & Australia",Sri Balajee HR Consultancy,Australia|Canada,2-10years,4029999 - 5830000 INR,"Production logistics co-ordinators co-ordinate and expedite the flow of work and materials within an establishment, prepare work and production schedules and monitor the progress of production and construction projects.",LogisticsManager|LogisticsExecutive|TransportationExecutive|LogisticsOfficer|WarehouseExecutive|LogisticsCoordinator|FreightExecutive|StoresLogistics|Officer|
"Production Executive, Executive Production Engineer",Shivbharti Hr Consultants Private Limited,Delhi|Mumbai,0-5years,350000 - 1250000 INR,"Planning and organising production schedules. |  Assessing project and resource requirements. |  Estimating, negotiating and agreeing budgets and timescales with clients and managers. |",executiveproduction|Health|ProductionEngineering|manufacturing|mfg|productions|works|Plant|Factory|Industrial|Residential|Production|manufacturingofficer|Fresher|Undergraduate|Graduate|ProductionPlanning|Unit|productionexecutive|
"Production logistics , Logistics Manager / Logistics Executive Required in Canada Australia &Germany",Talish Solutions,Australia|Canada,1-7years,5430000 - 9660000 INR,logi,LogisticsExecutive|LogisticsCoordinator|Officer|StoresLogistics|WarehouseExecutive|CommercialLogistics|SupplyChainExecutive|TransportationExecutive|FreightExecutive|LogisticsManager|LogisticsOfficer|
