jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Assistant Manager,Tres Mundo Production,Pune,1-3years,300000 - 350000 INR,Age 25-40 yrs - Female |  Experience - preferable 1-2 yrs |  Attributes - Good Written and Verbal communication in English |  Operation knowledge of Computers and MS Office |  Internet Savvy |  Public Relations,Pr|Management|Communications|FrontOffice|ExecutiveAssistantToChiefExecutiveOfficer|
Production Chemist,Yashodhara Management And Company,Mumbai|MumbaiCity|NaviMumbai|Thane,2-4years,260000 - 450000 INR,"Urgent job Vacancy for Production Chemist, Required BSc/Msc Candidate |  2 to 4 years exp in Cosmetics / Chemical Industry candidate. salary depend on the interview. |  more detail call on 8411955806 |",ProductionChemist|
Production Supervisor,AIS Technolabs Private Limited,Bengaluru/Bangalore,2-7years,250000 - 400000 INR,"Production process, production supervisor |",ProductionSupervisor|ProductionOfficer|ProductionExecutive|ProductionIncharge|
Production Chemist,Yashodhara Management And Company,Mumbai|MumbaiCity|NaviMumbai|Thane,0-2years,250000 - 340000 INR,"Urgent job Vacancy for Production Chemist, Required BSc/Msc Candidate |  Fresher and exp candidate. salary depend on the interview. |  more detail call on 8411955806",ProductionChemist|
Production Officer,Yashodhara Management And Company,Mumbai|MumbaiCity|NaviMumbai|Thane,0-3years,250000 - 450000 INR,"Urgent job Vacancy for Production Officer, Required BSc/Msc Candidate |  Fresher and exp candidate. salary depend on the interview. |  more detail call on 8411955806 / 9168943910",ProductionOfficer|
Production Engineer,Sapna Manish Sharma (Proprietor Of JBM India),Pune,1-6years,250000 - 450000 INR,Requirement for Production Engineer.,Fabrication|Manufacturing|MechanicalEngineering|ProductionEngineer|
PRODUCTION MANAGER,SR Group,Ludhiana,7-17years,409999 - 1240000 INR,"SPECIALLY FOR I BEAM, GIRDER MANUFACTURING FOR RAILWAY BRIDGES",ThoseCompanyMakingRailwaysBridgesKnowledgeOfHeavyFabrication|Welding|Cutting|Painting&OperationofallProduction.|
Production Manager,SR Group,Ludhiana,8-15years,Not Specified,"Urgent requirement for Production manager and Production Supervisor having experience in I Beam  and Girder Manufacturing  Bridge for Railway Bridge good knowledge of Heaving Fabrication, Welding, Minimum experience is Above 8years for Ludhiana.",Fabrication|Welding|HeavyEngineering|Cutting|Painting|
Production Engineer,JDC Recruitment Services,Kolkata|Mumbai,2-5years,400000 - 600000 INR,Develop and lead the improvement plans in the shop floor. |  Controlling of all parameters related to main process of plating. |  Controlling of Rework & Rejection.,ProductionManager|ManufacturingEngineer|Manufacturing|ProductionEngineer|ProductionSupervisor|ProductionExecutive|ProductionOfficer|ProductionIncharge|
Required Production Engineers,Jailaxmi Enterprises,Pune,0-3years,Not Specified,"We have urgent requirement for production engineers. |  Job type :- on roll,full time  |  Required Experience :- 0 to 3 year  |  About company :- core automobile sector  |  Required Knowledge :- good technical skill",ProductionEngineer|ProductionSupervisor|
Production Chemist,2COMS Consulting Private Limited,Hyderabad/Secunderabad,2-4years,250000 - 350000 INR,"Openings for Production Chemist (API) Labs -- HyderabadExperience : 0 to 3 years in API ProductionLocation : Kazipally & BontapallyResponsibilities :Handling machines like Centrifuge,dryers etcRequirementsB.sc Chemistry/Bio Chemistry Fr",ProductionChemist|
Production Supervisor,2COMS Consulting Private Limited,Hyderabad/Secunderabad,1-3years,Not Specified,"Production supervisor in Pharma Plant -- HyderabadDesignation: Production supervisorEducation: B.Sc / M.Sc. Chemistry backgroundExperience: 2 to 5 years, Chemical industryLocation: PashamylaramPositions: 5Job Role:· Supervision of batch",ProductionSupervisor|
Manager :Production Planning & Control (PPC),E-Friend Solutions India,Indore,5-10years,300000 - 600000 INR,"PPC,Production Planning Control,Production Planning,Textiles / Yarn / Fabrics / Garments,non woven, filter bags, textile",Ppc|ProductionPlanningControl|ProductionPlanning|Textiles/Yarn/Fabrics/Garments|nonwoven|filterbags|Textile|
A210175-Shift Supervisor Production,Expertia Ai Technologies Private Limited,OtherIndia,3-5years,Not Specified,To execute the prod. Works assigned by in charge.,ShiftSupervision|
A210173-AGM /DGM Production,Expertia Ai Technologies Private Limited,OtherIndia,16-20years,Not Specified,"Person will responsible to carryout the works pertains to Production department and drive the smoothly, also responsible to meet the production targets, continuous improvement in reduction of rejection.",ProductionManager|QuantitySurveyor|ManagerProductDevelopment|
A210174-Senior Manager Production,Expertia Ai Technologies Private Limited,OtherIndia,8-12years,Not Specified,"Person will responsible to carry out the works pertains to Production department and drive the smoothly, also responsible to meet the production targets, continuous improvement in reduction of rejection.",Metallurgy|Mechanical|Production|QualityStandard|
Factory Production Worker,DNB Industries,Kolkata,0-3years,130000 - 190000 INR,Factory Production Worker,Factory|Packaging|HelperActivities|
Production & Quality Engineer,Sapna Manish Sharma (Proprietor Of JBM India),Bengaluru/Bangalore,1-6years,250000 - 450000 INR,Requirement for Production & Quality Engineer.,Production|ProductionManagement|ProductionPlanning|QualityControl|Quality|QualityAssurance|
Food Factory Production Job,DNB Industries,Kolkata|Howrah,0-3years,120000 - 190000 INR,Food Factory Production Job,Packaging|PackingOperator|
Ice Cream Production Company,Turbo Packers,Kolkata|Hooghly,0-3years,120000 - 220000 INR,Ice Cream Production Company,Packaging|Picker|Packers|
Production Engineer,Shakun Sharma (Proprietor Of FM Industry),Kolkata,0-1years,240000 - 459999 INR,Urgent Hiring For Production Engineer  |   Freshers Can Also Apply,ProductionManager|ManufacturingEngineer|Manufacturing|ProductionEngineer|ProductionSupervisor|ProductionExecutive|ProductionOfficer|ProductionIncharge|
Production Engineering,Esther Jeevitha (Proprietor of Morgan Techno India),Ahmedabad,0-5years,250000 - 450000 INR,We have requirement of Production Engineer.,ProductionEngineering|Production|Manufacturing|Ppc|ProductionEngineer|
Production Manager,Perfect Personnel,Mumbai|Thane,5-14years,Not Specified,a. PPC Manager is responsible for making,Production|Manufacturing|ProductionManager|Ppc|ProductionSupervisor|ProductionEngineer|Productionexecutive|
Production Supervisor,Yashodhara Management And Company,Mumbai|MumbaiCity|NaviMumbai|Thane,2-5years,250000 - 450000 INR,"Urgent Job Vacancy For Production Supervisor, Required BSc/MSc Candidate, 2 to 5 years exp candidate can apply. |  salary start from 20k to 30k |  interested candidate can call on 9067917577 |  send ur resume on [HIDDEN TEXT]",ProductionSupervisor|
