jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Openings For Electrical Project Engineer  Fresher,Career Mantra Management Services,Pune|Nagpur,0-1years,140000 - 200000 INR,"The Project Engineer Electronics Division is responsible for Project Production and Testing for Electronics & |  Elertricals Peripherals products. |  Work Order & Purchase Documentation. |  knowledge In : Operation Standards, Process sequencing,Troubleshoot. |",knowledgeofKiCadorotherPCB|DesigningSoftware|
Project Engineer,Enpro Enviro Tech And Engineers Private Limited,Surat,2-4years,330000 - 650000 INR,Looking for Project Engineer.,ProjectPlanning|ProjectExecution|ProcurementAssistance|ProjectMonitoring|
Project Engineer / Sr. Project Engineer,Planet HR Solutions,Pune,2-5years,Not Specified,"Should  Have  minimum  3 years  of   working  experience  of  Programming  and  Installation  of  Mitsubishi  PLC,s , Servo , VFD  and  HMI","""PLCProgrammer""|""AutomationProjectEngineer""|Vfd|Servo|""HMIProgramming""|"
Project Engineer,Startech Placement Services,Pune,Fresher,Not Specified,Project Engineer,SiteEngineer|CivilEngineer|ConstructionEngineer|PlanningEngineer|ProjectCoordinator|ProjectEngineer|Projectincharge|
Requirement for Project Engineer,STT Solution,Delhi|Noida,0-3years,200000 - 380000 INR,Need a Chemical Engineer.,ChemicalEngineer|CathodicProtection|Mechanical|PetroleumEngineering|Programming|
QA Engineer(Civil) Reqd. For Canada & Singapore,Shalitin Immigrations LLP,Canada|Singapore,3-7years,4250000 - 5500000 INR,"Responsible for the quality and workmanship of every activity, thorough knowledge of all phases of engineering construction relating to Civil, Architectural and Structural discipline interfacing the multidisciplinary operations",CivilEngineer|ConstructionEngineer|QualityControl|Projectengineer|QualityAssurance|QualityAnalyst|QualityManager|
Senior Project Engineer,AGP International Services,UnitedArabEmirates,10-20years,Not Specified,U.A.E - SHARJAH - LONG TERM |     |   * SENIOR PROJECT ENGINEER- ELECTRICAL & INSTRUMENTATION  |    |   - Minimum of 10+ years of experience in Oil & Gas Projects and minimum 5 years as senior position. |,"""seniorprojectengineer""|""projectengineer""|ElectricalandInstrumentation""|projectengineerelectrical|projectengineerinstrumentationProjectmanager|ProjectCoordinator|Projectincharge|"
React Developer (Mean Stack Developer),E-Friend Solutions India,Ahmedabad|Indore,2-5years,300000 - 600000 INR,"React.Js,Node.js,express.js,mern,Mean Stack Developer,React Native,",express.js|mern|MeanStackDeveloper|react.js|Node.js|ReactNative|
PROJECT ENGINEER– MECHANICAL,Green Window Consultancy,Kolkata,3-4years,200000 - 300000 INR,"looking for PROJECT ENGINEER – |  MECHANICAL for Design, Installation, Testing and Commissioning leader in Fire Protection, Fire  |  Detection & Alarm Systems and Fire Extinguishing systems",ClientManagement|RABillings|clintClientRelation|ProjectSupervisor|
Project cost Estimation Engineer,SRB International Private Limited,Noida,3-10years,350000 - 600000 INR,"Dear Candidate, |   |  We have an urgent opening for Project Cost Estimation Engineer profile:",ProjectCosting|productcostingBudgeting|ProjectManagementCosting|ProjectBudgeting|ProjectBilling|
Project Engineer - HVAC,Star Tech,Gurgaon/Gurugram|Noida,0-1years,680000 - 850000 INR,GRAB THE OPPORTUNITY TO WORK AS A PROJECT ENGINEER- HVAC FOR A REPUTED COMPANY. FRESHERS CAN GRAB THE OPPORTUNITY BY APPLYNG FAST,Hvac|AirConditioning|HVACEngineering|ProjectEngineering|
We are Hiring for Civil Engineer,Royal Hire Placement,Ahmedabad|Mumbai|MumbaiCity|NaviMumbai|Thane,0-2years,220000 - 450000 INR,"ivil engineers create, improve and protect the environment in which we live. They plan, design and oversee construction and maintenance of building structures and infrastructure, such as roads, railways, airports, bridges, harbours, dams, irrigation.",CivilEngineer|SiteEngineer|ConstructionEngineer|SiteSupervisor|Projectengineer|
Application Engineer required for One Of the Leading IT Company in Chennai,Fortumax Career International Private Limited,Chennai,4-8years,1200000 - 1500000 INR,"The Application Engineer ensures that all in-house and 3rd party applications conform to our configuration and deployment standards so that every application can be deployed, monitored and managed in a consistent and reliable fashion.",ApplicationDeveloper|Deployment|UNIX|Linux|Shellscripting|Perl|Python|IbmMqSeries|Configuration|ApacheTomcat|
