jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"IT Project Management, ITIL, Presentation Skills ,Office 365 ,Share point",Progneur Technologies Private Limited,Pune,5-7years,Not Specified,"	5-7 years of experience working in technical roles (developer, analyst, project manager, etc.) |    |  	Basic 1-3 years of Project Management experience |",PresentationSkills|SharePoint|ItProjectManagement|Itil|Office365|
Associate Manager-Engineering,Continuum Managed Solutions LLP,Mumbai|Pune,8-13years,Not Specified,Location |  Pune / Mumbai  |   |  Qualifications |  B.E/B.Tech in Computer Science or related field required   |   |  Experience |  8 Years - 0 Months To 12 Years - 0 Months |,Handlingscrumteam|Complexproject|Complexproject|opensourcetechnology|Event-DrivenArchitecture|DesignPatterns|AgileScrumProcess|ProjectLifeCycle|
Technical Project Manager (CMS),Teejay Global Infotech Services LLP,Gurgaon/Gurugram|Hyderabad/Secunderabad,8-13years,Not Specified,"Urgent Opening for Technical Project Manager (CMS) position. |  Desired Skills:  |  Content Management System (CMS), Web Content Management (WCM), Digital Asset Management (DAM), Adobe Experience Manager (AEM), Oracle WebCenter Sites (WCS), or Drupal etc..",Cms|ContentManagementSystem|adobeexperiencemanager|Aem|WebContentManagement|
URGENT OPENING FOR PROJECT ENGINEER ( S PASS) IN SINGAPORE,I Square Consultancy,Singapore,5-7years,Not Specified,Looking for Project engineer (s pass) for singapore |      salary 3500 SGD |,GoodCommunicationSkill|
Project Manager,BcForward India Technologies Private Limited,Hyderabad/Secunderabad,8-18years,800000 - 2000000 INR,Position: Project Manager |    Exp: 10+years |    Shift: EST Shift (Night Shift) |    Location : Hyderabad or Ready to Relocate |,Pmp|PMI|ProjectManager|Scrum|Agile|Scrummaster|Waterfall|
Salesforce Marketing Cloud,3i Infotech Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,7-10years,Not Specified,Minimum 2 Years of implementation experience in Marketing Cloud and overall more than 8 Years experience in Salesforce or other Marketing Products implementation |,Salesforce|MarketingCloud|Java|Node.js|Api|Agile|
Salesforce Release (DevOps) Manager,3i Infotech Limited,Chennai|Hyderabad/Secunderabad,5-10years,Not Specified,Minimum 3 Years of Salesforce Release Management / DevOps exp |,Salesforce|SFDC|Visualforce|Apex|Salesforce.com|Python|NodeJS|Azure|Devops|
IT Project Manager,AIS Technolabs Private Limited,Ahmedabad,3-5years,300000 - 500000 INR,Should have insight in different websites and web applications requirements |  Should have insights in IT based industry |  Must possess fabulous communication skills and build robust working relationships |  Should work with productive group members.,ProjectManager|DeliveryManager|WebApplications|ItServiceManagement|MobileDevelopment|GameDevelopment|
SAP Project Manager_ERP,Orcapod Consulting Services Private Limited,Hyderabad/Secunderabad,6-10years,Not Specified,Project Management-SAP Project Managers,ProjectManager|SapProjectManager|Etl|
MuleSoft Release (DevOps) Manager,3i Infotech Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,Not Specified,Minimum 3 Years of MuleSoft (Mule 4) DevOps /Release activities |,Mulesoft|MuleEsb|Mule|Azure|Splunk|SoapUi|
Data Modeling,Cognizant Technology Solutions India Pvt Ltd,Bengaluru/Bangalore|Chennai,5-8years,Not Specified,"ER model or entity-relationship model |  Normalization |  OLAP |  OLTP |  Facts and dimensions |   |  Tools : Erwin, ER/Studio |  Domain : LS background. |",ER/StudioDomain:LSbackground.|Erwin|
Technical Project manager- java  for pune location,iWork Solutions,Pune,10-16years,Not Specified,Minimum 10-13 years of experience in Software Sevelopment specializing in Agile Project Management and experienced and as Scrum Master,Technicalproject|projectmanagement|Java|scrummaster|agile|python|
PROJECT MANAGER,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,8-12years,1500000 - 2500000 INR,"Job Summary |   |  The Role |   |  The Project Manager (PM) will fuel the growth of the company by working with four key stakeholders: internal engineering teams, Engagement Managers, client managers and Soroco’s senior leadership to deliver proprietary systems",BACKEND|ProjectManager|AGILE|Sdlc|Java|.NET|ASP.NET|PYTHON|
Project Manager,Guires Solutions Private Limited,Chennai,3-12years,300000 - 500000 INR,Experience in managing or coordinating the provision of statistical services.,ProvenProjectManagement(PMS)|SPSSorSAS|NVIVOorQDAMiner|Quirkos|MsExcel|
Project Manager,Adept Recruiting,Mumbai,5-10years,1000000 - 2000000 INR,Hiirng Project Manager for leading General Insurance Company.,ProjectManagement|ProjectExecution|ProjectPlanning|ProjectImplementation|ProjectScheduling|CoreInsuranceSystems|Portals|WebServices|Middleware|SQLServer|WebServices|Java|.NET|Mvc|
Project Manager,Vitalhunt Global Solutions Private Limited,Hyderabad/Secunderabad,10-17years,509999 - 2410000 INR,Position : Project Manager |  Experience : 10+ Years |  Location : Hyderabad |  Shift Time : 3:30 AM or 4:00 AM to 12:30 PM or 1 PM (8:30 AEST),MicrosoftDynamics|Pmp|Erp|
Project Manager,Cynosure Corporate Solutions,Chennai,10-15years,Not Specified,This role will be reporting into the Manager of the programme office and will be responsible for the management of the technology roadmap. |   |  Identify and map all Technology Programme Dependencies,bigpicture|PMI|PictureenterprisePmp|JIRA|Prince2|
QA Engineer(Civil) Reqd. For Canada & Singapore,Shalitin Immigrations LLP,Canada|Singapore,3-7years,4250000 - 5500000 INR,"Responsible for the quality and workmanship of every activity, thorough knowledge of all phases of engineering construction relating to Civil, Architectural and Structural discipline interfacing the multidisciplinary operations",CivilEngineer|ConstructionEngineer|QualityControl|Projectengineer|QualityAssurance|QualityAnalyst|QualityManager|
