jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Purchase Executive- Bavala,Vitalhunt Global Solutions Private Limited,Ahmedabad,2-7years,140000 - 229999 INR,Experience: 2+ Years |  Location:Bavala,Purchase|Procurement|Sourcing|Vendordevelopment|
REQUIRED PURCHASE EXECUTIVE/PURCHASE MANAGER,Select Engineering & Systems,Mumbai|MumbaiCity|NaviMumbai|Thane,2-7years,220000 - 430000 INR,"Desired Candidates: |     |    Good verbal/Written communication skills |    Qualification:  Any  Graduate |    Work Location:MUMBAl, Navi Mumbai, THANE  |    Knowledge of ERP/SAP will be added advantage |    Immediate joiners |    CONTACT-9167875089/8097005758",PurchaseManager|PurchaseEngineer|PurchaseVendorDevelopment|Procurement|ProcurementPurchase|PurchaseExecutive|PurchaseAssistant|PurchaseOfficer|
Purchase Executive in HVAC,Sri Balajee HR Consultancy,Hyderabad/Secunderabad,1-3years,Not Specified,"Assist sales and pre-sales colleagues by providing landing price details and supplier quotations summary. Placing Purchase Order to Vendor / Supplier based on business garnered bySales / Pre-Sales team. Process Supplier renewals and ensure renewals are always reconciled to corresponding revenue streams, by keeping accurate records of revenue against cost. Attending support related calls from Vendor / Supplier and resolving queries regarding Invoices received from Vendors / Suppliers.   Control the receipt, storage and withdrawal of all documents and master copies (i.e. signed contracts, requests for change). Developing and maintaining MIS Reports about Suppliers, reporting on Margins, Trends, Gains and Losses.",MsOffice|
Purchase Executive,C A. Galiakotwala And Company Private Limited,Bengaluru/Bangalore,2-5years,Not Specified,"Purchase Orders, Sourcing and Purchase Transaction",PurchaseEngineer|PurchaseExecutive|PurchaseOfficer|PurchaseAssistant|
PURCHASE EXECUTIVE - MANUFACTURING,Select Engineering & Systems,MumbaiCity,3-5years,250000 - 350000 INR,"Purchase of raw materials,Prepare purchase orders and check goods received notes (GRN and Quality Notes) .Locate and analyse vendors of materials, equipment or supplies,etc having minimum 3-5 years experience, Mumbai-based",PurchaseFunctions|procurement|consumptionanalysis|vendormanagement|Sourcing|ManufacturingDomain|
Purchase executive (HVAC),Alpha Staffing Services,Hyderabad/Secunderabad,1-2years,Not Specified,"Assist sales and pre-sales colleagues by providing landing price details and supplier quotations summary. Placing Purchase Order to Vendor / Supplier based on business garnered bySales / Pre-Sales team. Process Supplier renewals and ensure renewals are always reconciled to corresponding revenue streams, by keeping accurate records of revenue against cost. Attending support related calls from Vendor / Supplier and resolving queries regarding Invoices received from Vendors / Suppliers.   Control the receipt, storage and withdrawal of all documents and master copies (i.e. signed contracts, requests for change). Developing and maintaining MIS Reports about Suppliers, reporting on Margins, Trends, Gains and Losses.",MsOffice|
TACTICAL SOURCING BUYER,Ameuro Migration Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-7years,450000 - 650000 INR,"We are seeking highly motivated and experienced individuals with 3-5+ years sourcing and procurement experience to join our team of procurement professionals. Specifically, we are seeking to fill the role of a Procurement Value Engineer.",GlobalProcurement|CategoryManagement|PurchaseStrategic|SourcingSupplier|RelationshipManagement|BuyingVendor|NegotiationBuyer|TenderingManager|
Purchase Executive,Lakshya,Pune,3-8years,300000 - 480000 INR,"Number of Openings - 05,  |     Job Location - Bhosari , Chakan, Chinchwad , Salary - 25,000/Month to 40,000/Month , |     8 hrs working |     or roll job. |     Further details directly call - Ms. Sonal Rajput |                                    7219465636",PurchaseVendorDevelopment|Procurement|ProcurementPurchase|Suppliers|PurchaseExecutive|PurchaseAssistant|
Purchase Manager are required in Canada,Adot Consultancy,Canada,2-7years,4840000 - 5610000 INR,Purchase/ Supply Chain/ Procurement/ Ware house Manager  |       Contact Person- Mansi 9667661596,PurchaseManager|PurchaseEngineer|PurchaseVendorDevelopment|PurchaseExecutive|PurchaseAssistant|
Purchase Executive,Umesh Pandya (Proprietor of Systemize),Mohali|Panchkula,0-2years,180000 - 320000 INR,We Urgently require Purchase Officer. Fresher and Experience both can apply.,PurchaseEngineer|ProcurementPurchase|Procurement|SourcingOfficer|MaterialsOfficer|PurchaseExecutive|PurchaseOfficer|PurchaseAssistant|PurchaseOfficer|
