jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Logistics Executive (Tanker Management)- Varanasi,Ameuro Migration Private Limited,Varanasi,1-5years,250000 - 350000 INR,Require a enthusiastic candidate who is willing to work with dedication and honesty for mapping Tankers in operation.  *Candidate should be having 3 year experience in Dairy Industry.  *Candidate should be willing to shift anywhere with in the UP sta,"""milktanker""|""milktankermanagement""|""tankermanagement""|""logisticexecutive""|Logistic|"
TACTICAL SOURCING BUYER,Select Engineering & Systems,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-7years,450000 - 650000 INR,"We are seeking highly motivated and experienced individuals with 3-5+ years sourcing and procurement experience to join our team of procurement professionals. Specifically, we are seeking to fill the role of a Procurement Value Engineer.",GlobalProcurement|CategoryManagement|PurchaseStrategic|SourcingSupplier|RelationshipManagement|BuyingVendor|NegotiationBuyer|TenderingManager|
Purchase Manager are required in Canada,Vitalhunt Global Solutions Private Limited,Canada,2-7years,4840000 - 5610000 INR,Purchase/ Supply Chain/ Procurement/ Ware house Manager  |       Contact Person- Mansi 9667661596,PurchaseManager|PurchaseEngineer|PurchaseVendorDevelopment|PurchaseExecutive|PurchaseAssistant|
Purchase Executive in HVAC,Jailaxmi Enterprises,Hyderabad/Secunderabad,1-3years,Not Specified,"Assist sales and pre-sales colleagues by providing landing price details and supplier quotations summary. Placing Purchase Order to Vendor / Supplier based on business garnered bySales / Pre-Sales team. Process Supplier renewals and ensure renewals are always reconciled to corresponding revenue streams, by keeping accurate records of revenue against cost. Attending support related calls from Vendor / Supplier and resolving queries regarding Invoices received from Vendors / Suppliers.   Control the receipt, storage and withdrawal of all documents and master copies (i.e. signed contracts, requests for change). Developing and maintaining MIS Reports about Suppliers, reporting on Margins, Trends, Gains and Losses.",MsOffice|
Purchase Executive- Bavala,Cloud Visa Immigration LLP,Ahmedabad,2-7years,140000 - 229999 INR,Experience: 2+ Years |  Location:Bavala,Purchase|Procurement|Sourcing|Vendordevelopment|
Hire Purchase Engineers,Ameuro Migration Private Limited,Pune,0-3years,Not Specified,"We have urgent requirement for purchase  engineers. |  Job type :- on roll,full time  |  Required Experience :- 0 to 3 year  |  About company :- core automobile sector  |  Required Knowledge :- good technical skill",PurchaseEngineer|
Purchase Manager Jobs In Canada | Gulf,Ameuro Migration Private Limited,Canada|Gulf,2-7years,4000000 - 6000000 INR,"Purchasing Manager's responsibilities include developing purchasing strategies, maintaining positive relationships with suppliers, coordinating with internal teams regarding their supply needs & overseeing the purchasing team in their daily activity",PurchaseManager|ProcurementManager|PurchaseEngineer|PurchaseOfficer|PurchaseExecutive|
REQUIRED PURCHASE EXECUTIVE/PURCHASE MANAGER,Cloud Visa Immigration LLP,Mumbai|MumbaiCity|NaviMumbai|Thane,2-7years,220000 - 430000 INR,"Desired Candidates: |     |    Good verbal/Written communication skills |    Qualification:  Any  Graduate |    Work Location:MUMBAl, Navi Mumbai, THANE  |    Knowledge of ERP/SAP will be added advantage |    Immediate joiners |    CONTACT-9167875089/8097005758",PurchaseManager|PurchaseEngineer|PurchaseVendorDevelopment|Procurement|ProcurementPurchase|PurchaseExecutive|PurchaseAssistant|PurchaseOfficer|
Purchase Manager are required in Hongkong,Os Consultancy,HongKong,2-7years,4840000 - 5630000 INR,Purchase/ Supply Chain/ Procurement/ Ware house Manager  |       Contact Person- Tanya 9654855001,PurchaseManager|PurchaseEngineer|PurchaseVendorDevelopment|PurchaseExecutive|PurchaseAssistant|
Purchase Manager are required in Canada,Ameuro Migration Private Limited,Canada,2-7years,4840000 - 5660000 INR,Purchase/ Supply Chain/ Procurement/ Ware house Manager  |     Contact Person- Mansi 9667661596,CoordinateswithpeopleindifferentcompanylocationstoseeifabetterpriceisavailablesomewhereelseorifsuppliersinacertainareaarenotlivinguptoexpectationsDouble-checkstheworkofpurchasingagentsCommunicateswithexecutivesa|
