jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
pyspark tester,Junaati Technologies Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,4-7years,Not Specified,we are looking for pyspark tester,Skills:Python|sparktester|
PySpark Developer,Freelancer Deepika D Bidri,Bengaluru/Bangalore,3-8years,Not Specified,Python / PySpark Developer |  Working shift -1:00PM to 10PM,Python|Pyspark|Etl|Spark|AWS|
PYSPARK - MODULE LEAD/ TECHNICAL LEAD,Best infosystems Ltd,Chennai,5-10years,Not Specified,Looking for PYSPARK - MODULE LEAD/ TECHNICAL LEAD,Pyspark|AwsCloud|Etl|Python|
PYSPARK -- SSE,Best infosystems Ltd,Bengaluru/Bangalore,2-4years,Not Specified,Senior Developers with overall 4 years of experience Experience with Big Data Technologies such as Python on Flask/Django framework,DataAnalysis|DATAINSIGHT|Pyspark|DJANGO|Django|
PYSPARK -- TECHNICAL LEAD,Best infosystems Ltd,Bengaluru/Bangalore,7-11years,Not Specified,DATA ENGINEER DEV OPS INCLUDED STRONG PYTHON AND PYSPARK KNOWLEDGE EXPERIENCE WITH AWS AND STRONG AWS S3 KNOWLEDGE STRONG EXPERIENCE WITH JENKINS AND BITBUCKET BASIC ALTERYX UNDERSTANDING EASY TO LEARN STRONG SQL KNOWLEDGE APPLIES AGREED STANDARDS.,Pyspark|DataManagement|TechnicalLead|Agile|PYTHON|AWS|Jenkins|Bitbucket|Alteryx|Django|
"Senior Analyst, Innovation Analytics (J)",Best infosystems Ltd,Hyderabad/Secunderabad,1-4years,100000 - 700000 INR,"Will play a critical role in identifying new trends which will help in reducing overall credit and fraud losses. The selected candidate will manage people, projects, drive talent development, display thought leadership, build & leverage relationships","""Credit""|""Fraud""|""Python""|""Pyspark""|""Hive""|""Bigdata""|""Scala""|""Sqoop""|""Spark""|""Model""|""Strategy""|"
PYSPARK -- TECHNICAL ARCHITECT,Best infosystems Ltd,Bengaluru/Bangalore,12-15years,Not Specified,Insurance domain- Datascientist + programming Data Scientist Basic Understanding of the Search Engine Marketing domain,Datascientist|DataAnalysis|Pyspark|DataScience|
PYSPARK+AZURE DATABRICKS - MODULE LEAD/ TECHNICAL LEAD,CloudWiz Consulting,Bengaluru/Bangalore,4-10years,Not Specified,Looking for PYSPARK+AZURE DATABRICKS - MODULE LEAD/ TECHNICAL LEAD,DataProcessing|DataAnalysis|DATAINSIGHT|Python|
Pyspark/Python/AWS EMR Developers,Best infosystems Ltd,Bengaluru/Bangalore|Pune,5-10years,Not Specified,Our client needs to recruit Developers/Tech Leads with 5-9 years experience in either Pyspark or Python on AWS EMR.,PythonScripting|Pyspark|Emr|
AWS Developer,Maxo Tech Solutions LLC,Bengaluru/Bangalore|Pune,6-12years,Not Specified,Candidate should have 2 years’ experience in AWS Data ecosystem and 6 -9 years of experience as a Data engineer/ETL developer.,Glue|Athena|AWSDeveloper|snowflake|AWS|Redshift|Pyspark|Etl|Sql|Plsql|Python|
AWS developer,A Thingz Solutions Private Limited,Bengaluru/Bangalore|Pune,4-9years,Not Specified,"•	Should have worked as AWS Developer at least 4+ yrs. and minimum of 2 projects. |  •	Should and must know AWS expert level knowledge on Python, PySpark, AWS Components EC2, Glue, Lambda,  Cloud Watch |  •      AWS EMR, CI/CD, CDK Scripting",CI/CD|AWS|CloudWatch|Python|Pyspark|Ec2|Etl|Lambda|SqlQueries|
Senior Software Engineer - SPARK,Angel And Genie,Chennai,2-5years,Not Specified,"Perform Data Engineering including Glue Sync of Semantic Layers, Data Cleansing, Data joins and calculations based on the User Stories defined",AWSDataengineer|Spark|Scala|AWS|DataCleansing|Pyspark|Hadoop|Hive|HBase|
Urgent Requirement for Python-Pyspark,Aurumdata Solutions India Private Limited,Hyderabad/Secunderabad,4-8years,Not Specified,"The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects.",Python|Pyspark|
Sr Big Data Developer,Labridge Consulting,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,Not Specified,"Sr Big Data Developer |  Mandatory Skills: Bigdata,Python, pySpark",Python|Pyspark|BigData|Scala|Java|RestApi|MicroServices|
Snr Data Scientist-NBFC(Financial services)-Bangalore-10yrs+-25-30lakhs,Bharat Head Hunters Private limited,Bengaluru/Bangalore,10-15years,Not Specified,Snr Data Scientist-NBFC(Financial services)-Bangalore-10yrs+-25-30lakhs,DataScientist|MachineLearningAlgorithms|DataVisualization|Python|Sql|Pyspark|AWS|
Hadoop Developer / BigData Developers,Best infosystems Ltd,Chennai|Hyderabad/Secunderabad,10-20years,Not Specified,"•  10+ years of experience in IT with7+ years in Big Data Ecosystem |  •   Exp in development on Hadoop technologies like Python, Pyspark,  HDFS, Hive, Pig, Flume, Sqoop, Zookeeper, Spark, MapReduce2, YARN, HBase, Kafka, and Storm. |   |",HDFS|MapReduce2|andStorm.|Hadoop|Bigdata|Pyspark|Python|Mapreduce|Hive|Pig|Flume|Sqoop|Zookeeper|Spark|Yarn|HBase|Kafka|
Azure Data Engineer,Axness Technologies Private Limited,Hyderabad/Secunderabad,7-12years,Not Specified,Designation: Azure Data Engineer |  Experience: 7+ Years |  Location: Hyderabad |  Mode of Hire: Full Time |   |,Factory|Spark|Python|AzureDataLake|Pyspark|Pandas|MYSQL|Git|
Wipro Pyspark Developer/Lead,Arccaa Analytics And IT Solutions LLP,Chennai|Pune,6-12years,Not Specified,"Must have minimum of 6 years of hands on experience in Pyspark development  |  •             Must have programming experience with Pyspark, Spark and Scala  |  •             Strong background with SQL Database |",Pyspark|SparkAndScala|
