jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Python Django Developer,C P Careers Private Limited,Chennai|Noida,5-9years,800000 - 1600000 INR,Job description |  Experience: 5 to 9 Years |  Mandatory Skills: |  • Python with Django |  • Good database (any RDBMS tool) |  • Angular 2 and Above (should be willing to learn Angular if doesnt know already) |  • Willingness to work in L3 role to start with and late,PythonwithDjango|Gooddatabase|RDBMStool|Angular2AWS|Cloud|
Python Developers,Avion HR solutions,Mohali,2-3years,Not Specified,Job Description : We are looking for a Python Developer to join our team and help us develop and maintain various software products. A self driven coder with zeal learn and work on multiple projects. Ultimately responsible for building highly respons,PythonDjango|
Sr Python Developer,Avionic Consulting Solutions,Ahmedabad,5-10years,1100000 - 1300000 INR,Job opening as Python Developer,PythonDjango|
Hiring Python Developer,IPS Vantage Tech Services Private Limited,Mumbai,4-9years,Not Specified,Python Developer |   |   |  Experience - 4+years |   |  Education - Graudate |   |  Location - Mumbai |   |  Notice Period - 1month |   |  Job Description,PythonDeveloper|PythonDjango|
Python/Django Developer,MVK Staffing Services Private Limited,Hyderabad/Secunderabad,3-7years,Not Specified,We are hiring Python/Django Developer at Hyderabad Location.,PythonDjango|mongodb|
Senior Software Engineer – Python,Be Team Hr Management Solutions,Chennai,7-12years,1000000 - 1600000 INR,Urgent opening for Senior Software Engineer – Python,"""SoftwareEngineer""|""SoftwareProgrammer""|""PythonProgrammer""|""pythonDeveloper""|""pythonDjango""|""Django""|"
Python Developer,Talent Basket,Cochin/Kochi/Ernakulam,2-6years,Not Specified,"Work experience as a Python Developer for 2 to 4 years. |  Expertise in at least two popular Python frameworks (like Django, GRPC, Flask or Pyramid) |  Knowledge of object-relational mapping (ORM) |  Database Knowledge (Mysql/Postgresql/MongoDB)",GRPC|PythonDeveloper|DJANGO|Flask|Pyramid|Python|PythonDjango|PythonDevelopers|
Senior Software Engineer -  Python - Elastic search,Continuum Managed Solutions LLP,Bengaluru/Bangalore|Pune,5-12years,Not Specified,"Location	: - Pune / Mumbai / Bangalore / Remote (Any location) |  Education :- BE/BTECH(CS/IT), MCA, MSC(IT/CS). |  Experience :- 8yrs to 12yrs |",PythonDjango|ElasticSearch|
ConnectWise is hiring for Sr. Technical Architect ; Bangalore,Continuum Managed Solutions LLP,Bengaluru/Bangalore,14-20years,Not Specified,Position :- Senior Technical Architect |  Location: Bangalore |  Roles & Responsibility |  •	Work closely with other Architects and Engineering leads on defining Enterprise level Architecture for our SaaS-based RMM product. |  •	Be the primary person responsible,PythonDjango|AWS|Python|
Senior software Engineer (Python Developer),Continuum Managed Solutions LLP,Bengaluru/Bangalore,4-8years,Not Specified,Looking for Expert Level Knowledge in Python Development & AWS.,PythonCoding|PythonProgrammer|PythonDevelopers|PythonDjango|PythonDeveloper|
Python Django,Heka Finserve Private Limited,Mohali,2-3years,400000 - 800000 INR,"Python/Django Developer with 2+ year experience in Mohali, Punjab",PythonDjango|PythonDeveloper|
Python Developers,Vertex Star Soft,Bengaluru/Bangalore|Hyderabad/Secunderabad,2-7years,Not Specified,"Python - Django ,REST Framework : having an excellent hands on building API's, interacting with databases |  Database : Mysql or any relational database |  No SQL Database : worked on Elasticsearch, MongoDB, DynamoDB,or any similar  no SQLdata storage",PythonDevelopers|python|django|MongoDB|Dynamodb|
