jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software Engineer-III (Test automation) - Contract,Huarc HR solutions Private Limited,MumbaiCity,7-10years,Not Specified,"The Software Engineer-III (Test automation) will work collaboratively as part of an agile project team, pairing with developers and testers to develop and maintain automated tests to run within the defined automation framework.",embeddedframework|jenkinsserver|AutomationTesting|PythonScripting|RobotFramework|
Testing Engineer- Optics,Sonus Networks India Pvt Ltd,Bengaluru/Bangalore,3-7years,Not Specified,"Looking for Engineer with Exp in SDH, Optical Domain/ Optical Network Planning",Otn|Optics|PythonScripting|
QA Automation  Lead,Infyjob Technology Services,Bengaluru/Bangalore|Chennai,4-7years,Not Specified,Test Automation |   Scripting Language Experience |   Python Behave Framework |   Ability to read and understand XML/ JSON |   AWS Services used in Event Driven testing |   Agile and DevOPS Methodologies - CI/ CD tools |   Analytical and problem-solving,AutomationTesting|PythonScripting|Xml|Json|Agile|
Python Developer,Tranzmeo It Solutions Private Limited,Cochin/Kochi/Ernakulam,3-6years,300000 - 1200000 INR,"Tranzmeo is seeking a Core Python Developer to join our data science team. If you have a strong passion to start a career in AI & ML and Big Data, come and join us.",Python|PythonScripting|PythonDevelopers|PostgreSQL|Psql|Hadoop|Bigdata|
UCCE Engineer with Python scripting || Bangalore,Aurumdata Solutions India Private Limited,Bengaluru/Bangalore,5-12years,Not Specified,"• UCCE operational support |  • Support and problem resolution, including UCCE (ICM), CVP, EIM/WIM (CIM), CUCM, FINESSE, CUIC applications Verizon and ATT Cloud portals. |  • CUIC reports and CVP scripting |  • Python scripting and Core Java is must.",EIM/WIM(CIM)|FINESSE|CUIC|Ucce|Cvp|Python|Icm|Cucm|
LTE Testing,Primebit Solutions,Hyderabad/Secunderabad,2-7years,Not Specified,"The candidate is expected to test various features of LTE . Good knowledge on LTE RRC, RRM, RLC/ MAC. Python Scripting Test, Test ex",Mac|Rrc|Rlc|Nas|PythonScripting|
"Python Developers Python Scripting Python Workflow,",Junaati Technologies Private Limited,Pune,10-15years,Not Specified,"•	Minimum 10+ years’ experience  |  •	Strong python scripting skills. |  •	Camunda knowledge will be handy |  •	Experience in design  |  •	Excellent communication skill and ability to work with different stakeholders |  •	Ability to work independently,lead Juniors",PythonDevelopersPythonScriptingPythonWorkflow|
Selenium Automation - Python Scripting,Silver Wings Consultancy,Hyderabad/Secunderabad,4-8years,Not Specified,"Key skills: Python, PyCharm, Java, Selenium, Cucumber, TestNG, Maven, GIT,Jenkins |  Note: Minimum 4-5 Years Relevant Experience in automation is mandatory.",SeleniumQTP|Selenium|SeleniumAutomation|SeleniumAutomationTesting|SeleniumTesting|ApiTesting|PythonScripting|
Python Developers,Esther Jeevitha (Proprietor of Morgan Techno India),Mumbai,0-3years,229999 - 420000 INR,Urgent Hiring For Python Developer  |   Freshers Can Also Apply,PythonDevelopers|PythonDjango|PythonScripting|
Python Automation,Emastech Consultancy services (OPC) Private Limited,Pune,2-5years,400000 - 1000000 INR,• Implement test automation scripts for security and virtualisation related products. • Design and develop libraries in Python.,Python|PythonScripting|PythonDevelopers|PythonDjango|
