jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
DSP QA Engineer,Marvell India Private Limited,Bengaluru/Bangalore,8-12years,Not Specified,8+ years of experience in testing L1 SW for Mobile Wireless Standards such as 5GNR/LTE/WiMAX/WCDMA/HSPA+.,DSPQAEngineer|5GNR|Wimax|HSPA+|Lte|Wcdma|Qa|QaEngineer|
QA Test Engineer,Isg Compusolutions India Private Limited,Hyderabad/Secunderabad,3-8years,Not Specified,3+ years of experience in QA  |  Banking or Payment is desired but not mandatory,QAAutomationEngineer|QaTestEngineer|Cucumber|Selenium|
DSP QA Engineer,Marvell India Private Limited,Bengaluru/Bangalore,3-13years,Not Specified,Looking for DSP QA Engineer,LTE/WiMAX|hspa|Wcdma|QaEngineer|
Senior SQA Engineer - Hardware Security Modules (HSMs),Marvell India Private Limited,Hyderabad/Secunderabad,5-8years,Not Specified,5 to 8 years of related QA testing and benchmarking.,SeniorSQAEngineer|QualityTesting|QAQualityAssurance|QAtesting|Qa|QaEngineer|QualityAssuranceTesting|
Senior QA Engineer,FUSAQ Technologies Private Limited,Remote,8-12years,Not Specified,Role : QA Analyst (AUTOMATION) ( Remote– India) (We are looking for an immediate joiner) 8+ years of experience working in the QA role with Agile Scrum delivery models with Continuous Integration. Candidates should have good Automation experience,QAAutomationEngineer|AgileScrum|EtlTesting|Uat|UiTesting|
Sr. QA Engineer - 12 Yrs Exp,ExterNetworks Inc,Hyderabad/Secunderabad,10-14years,Not Specified,Looking for Sr. QA Engineer with 12 Yrs of Exp.,SoftwareTestEngineer|QaEngineer|TestEngineer|ManualTesting|TestLead|
Automation Testers,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,5-8years,Not Specified,Automation Testing - 3 Positions |  Automation Testing with Selenium+TestNG with JAVA |  5+ years of experience,Selenium|Testng|Java|RestApi|QaEngineer|
QA  Engineer,Deep Dive Global,Remote,3-7years,1500000 - 2500000 INR,"We are hiring QA Automation Engineer for a Client of ours - It a product-based organization. Looking for candidate with  3 to 7 years experience in Product testing using Selenium, Java programming, API Testing, and Jmeter and cucumber are mandatory.",Qa|AutomationTesting|Java|ApiTesting|Jmeter|Cucumber|
Netcracker Testing,3 Minds ESolutions Private Limited,Chennai|Mumbai,0-4years,350000 - 550000 INR,We are hiring for Netcracker Testing Across India. |    |    |   Notice period : Immediate or max 30days,TestingEngineer|SoftwareTesting|SoftwareTestingEngineer|QualityEngineer|Tester|QaEngineer|
Test Engineer/Test Analyst/Testing Engineer/Software Test Engineer/Manual Tester/ QA Engineer,Isg Compusolutions India Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,1-10years,Not Specified,URGENT HIRING FOR TEST ENGINEER IN MUMBAI LOCATION( Remote till Covid-19),TestAnalyst|SoftwareTestEngineer|TestEngineer|ManualTesting|QaEngineer|TestLead|Softwaretesting|Tester|
Software Testing Engineer,Diraa HR Services,Noida,7-12years,Not Specified,"•	Must have 7-9 years of experience in Automation and Manual Testing. |  •	Knowledge of methods, tools and technology used in software testing.",TestAnalyst|SoftwareTestEngineer|TestEngineer|QaEngineer|TestLead|Softwaretesting|ManualTesting|Tester|
Manual Testing Automation Testing Engineers,Unique Management Consultants,Chennai|Coimbatore,0-5years,Not Specified,Manual Testing Automation Testing Engineers,TestingEngineer|QAAnalyst|QaEngineer|QualityEngineer|SoftwareTesting|Tester|SoftwareTestingEngineer|TestLead|
QAQC Engineer,E-Friend Solutions India,Gulf,5-15years,Not Specified,Required QA QC Engineer for Abu dhabi,QAQCengineer|api653|
QA Engineer (Manual),Star Tech,Indore,3-6years,300000 - 600000 INR,"QA Engineer,Test Analyst,Test Engineer,Software Testing,Manual Testing,Selenium,Automation Testing,QA Testing,",TestAnalyst|QaEngineer|TestEngineer|SoftwareTesting|ManualTesting|Selenium|AutomationTesting|QATesting|
NEED CIVIL QUALITY CONTROL QA /QC  ENGINEER FRESHERS,Pear Visa Immigration Services Private Limited,Gurgaon/Gurugram|Noida,0-2years,520000 - 740000 INR,FRESHERS  CANDIDATES ARE WELCOME FOR THE POST OF QA/QC ENGINEER IN THE REPUTED CONSTRUCTION COMPANY.,QA/QCEngineer|CivilEngineer|QualityControl|CivilSiteEngineer|QaEngineer|
Software Tester QA Required For CANADA & AUSTRALIA,Adal Immigrations LLP,Australia|Canada,2-7years,4500000 - 9500000 INR,Reviewing and analyzing system specifications |  Executing test scripts and reviewing results |  Create logs to document testing phases and defects |  Conduct post-release/ post-implementation testing |  Help troubleshoot issues,ManualTestEngineer|applicationtester|SoftwareTestEngineer|softwaretesting|QaManager|MobileTesting|MobileApplicationTesting|DatabaseTesting|Qa|FunctionalTesting|TestEngineering|QAtesting|TestScripts|
"Manual Test Engineer,Hiring for Abroad",Radial HR Solutions,Australia|Canada,2-7years,1500000 - 5000000 INR,"Analyzes requirements, coordinates with BAs / Subject Matter Experts.",ManualTestEngineer|TestingEngineer|QAAnalyst|QualityEngineer|TestLead|SoftwareTesting|Tester|SoftwareTestingEngineer|QaEngineer|
QA Engineer / Softwar Testing engineer,Finezi Technologies Pvt Ltd,Bengaluru/Bangalore,3-5years,400000 - 800000 INR,Looking for the position of QA Engineer  Softwar Testing engineer: Require Candidates with 3-5yrs of experience in QA Engineering experience in enterprise applications in ERP/ SCM/ CRP domains.,QAEngineer/SoftwarTestingengineer|Testing|TestEngineer|softwaretesting|Qa|Quality|Selenium|Manual|automation|WebApplicationTesting|
Sr. QA Engineer - Automation,Angel And Genie,Bengaluru/Bangalore|Chennai,10-20years,Not Specified,"Contract to Hire Opportunity - Looking for 6 QA Engineers, - Work Location Chennai, TN.",TestAnalyst|SoftwareTestEngineer|QaEngineer|TestEngineer|TestLead|SoftwareTesting|QaAutomation|ApiTesting|UiAutomation|
"QA Engineer, Python developer, Linux,5 yrs,Bangalore",Pear Visa Immigration Services Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,"QA Engineer, Python developer, Linux,5 yrs,Bangalore",QaEngineer|QualityAssurance|Qa|Python|Linux|
Mechanical Engineer Required in CANADA & AUSTRALIA,Azine Technologies,Australia|Canada,2-7years,4500000 - 9450000 INR,"Testing, evaluating, modifying and re-testing products & change the design as needed |  Oversee the manufacturing process for the device |  Agreeing budgets, timescales & specifications with clients and managers |  Providing technical advice",MechanicalDesign|MechanicalTesting|MechanicalMaintenance|ManufacturingProcess|mechanical|designengineermechanical|QCEngineer|MechanicalEngineer|BeMechanical|MechanicalEngineer|QaEngineer|
Immediate opening For QA Engineer/Tester @Ahmedabad,Millennium Ims Private Limited,Ahmedabad,3-8years,350000 - 550000 INR,We are looking for a QA Engineer/Tester to assess software quality through manual or automated testing. You will be responsible for finding and reporting bugs and glitches.,QaEngineer|QaTesters|ManualTesting|REST|Qtest|ApiTesting|Bugzilla|BugReporting|
QA Testing Engineer,Encora Innovation Labs India Private Limited,Delhi|Mumbai,0-5years,300000 - 480000 INR,urgent requirements....................,AutomationTestEngineer|Selenium|DefectReporting|FunctionalTesting|ManualTesting|RegressionTesting|SystemTesting|TestEngineer|AutomationTesting|QaTestEngineer|PerformanceTesting|QATesting|
