jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software QA Tester,Enigmasoft Technologies Private Limited,Bengaluru/Bangalore|Goa,2-7years,Not Specified,Hiring for Goa and Bangalore,SoftwareTestingLifeCycleandDefectLifeCycle(Manual&Automationboth).Hands-onTestManagementSoftwareandSQLtesttools|creationandunderstandingoftestingartifactsliketestplan|testcase.GoodUnderstandingofWeb/Desktop/Mobile/AP|
Quality Assurance- Injectable Plant @ Rudrapur,VHB Medisciences Limited,Rudrapur,1-11years,Not Specified,QA Trainee/Officer/Executive,QATrainee|QAExecutive|QualityAssurance|QaOfficer|
QA Manager,Planet One,Hyderabad/Secunderabad,2-3years,Not Specified,QA Manager-Software tester,TestManager|QcManager|QaManager|QualityAssuranceManager|QualityManager|TestLead|QaLead|
QA Architect,Labridge Consulting,Hyderabad/Secunderabad|Noida,10-15years,Not Specified,Designation:QA Architect |  Experience:10+ Years |  Location: Hyderabad /  Noida |  Notice Period: less than 15 Days |   |,QAArchitect|Uft|Jenkins|Selenium|Appium|Protractor|
QA Testing,Test And Verification Solutions India Private Limited,Bengaluru/Bangalore|Pune,1-5years,Not Specified,Role : Mobile Testing |  Location: Bangalore/pune |  Employer: Tessolve Semiconductors |,MobileApplicationTesting|ManualTesting|Android|Ios|Adb|Xcode|
AccionLabs seeking QA Automation Engineer  - Performance testing.,Accion Labs India Private Limited,Chennai|Mumbai|MumbaiCity|NaviMumbai|Thane,6-12years,Not Specified,Looking for candidates with 81 years of experience from Reputed product development Companies / Reputed Colleges with either Master's / Bachelor's degree. |  Mode of Interview –2 rounds of 2 way video interview followed by Manager round and HR Round,AutomationTesting|PerformanceTesting|QaAutomation|
TOP MNC COMPANY HIRING Must Have Experience in Same Profile Quality Engineer,Career Mantra Management Services,Hyderabad/Secunderabad|Pune,3-4years,330000 - 650000 INR,"Making and Finalizing Standard Operating Procedure for Coating /Plating Parts. Training to Personal assembly, store, supplier, transportation,Related to handling and usage of painted parts to assure defect prevention. Solid knowledge on PCB, circuit.",QcManager|TestManager|QualityControlManager|Qc|Inspection|Qualitycenter|QaManager|QaLead|QualityAssuranceManager|
Quality Assurance- Injectable Plant @ Rudrapur,VHB Medisciences Limited,Rudrapur,1-11years,Not Specified,Quality Assurance-Trainee/Officer/Executive,Assurance|Qa|QualityAssurance|
QA & Implementation,Paktolus Solutions,Mumbai|Pune|NaviMumbai,2-4years,Not Specified,"Knowledge of software development lifecycle processes (SDLC), procedures, and Software Quality Assurance methodologies |   Insurance domain's understanding is a plus point. (US Clients Exposure) |",FunctionalTesting.|AutomationTesting|ManualTesting|Api|Php|Xml|Javascript|Soap|
QA  Engineer,Deep Dive Global,Remote,3-7years,1500000 - 2500000 INR,"We are hiring QA Automation Engineer for a Client of ours - It a product-based organization. Looking for candidate with  3 to 7 years experience in Product testing using Selenium, Java programming, API Testing, and Jmeter and cucumber are mandatory.",Qa|AutomationTesting|Java|ApiTesting|Jmeter|Cucumber|
Senior QA Engineer,FUSAQ Technologies Private Limited,Remote,8-12years,Not Specified,Role : QA Analyst (AUTOMATION) ( Remote– India) (We are looking for an immediate joiner) 8+ years of experience working in the QA role with Agile Scrum delivery models with Continuous Integration. Candidates should have good Automation experience,QAAutomationEngineer|AgileScrum|EtlTesting|Uat|UiTesting|
QA Development,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,5-8years,Not Specified,Requirement for QA Development Roles - 6 Positions |  5+ years of Experience |  Location- Remote or Bangalore |   |,Maven|Jenkins|Selenium|Testng|Java|ApiTesting|Zephyr|Sql|
Senior Automation QA (Selenium),Marvell India Private Limited,Bengaluru/Bangalore|Mumbai,3-4years,Not Specified,Job brief |  We are looking for a Sr. Automation QA with 3-4 years of experience in automated testing. You will be responsible for finding and reporting bugs and glitches using Automation techniques. |    |,Manualtest|QATools|QAMethodologies|AutomationTester|ManualTesting|AutomationTesting|TestCase|
Senior SQA Engineer - Hardware Security Modules (HSMs),SR Group,Hyderabad/Secunderabad,5-8years,Not Specified,5 to 8 years of related QA testing and benchmarking.,SeniorSQAEngineer|QualityTesting|QAQualityAssurance|QAtesting|Qa|QaEngineer|QualityAssuranceTesting|
Urgent Opening for QA - Asstt Manager,Marvell India Private Limited,Amritsar,7-17years,Not Specified,"Need QA-Responsible for HVAC, Water System, Utility, Equipment, Qualification. |        •	Responsible for process Validation, Cleaning Validation. |        •	Responsible for Quality Risk Management, Self Inspection Compressed air  |        Location will be Amritsar",NeedAssistantManager-QualityAssurance:|
