jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Qlikview Devloper,2COMS Consulting Private Limited,Ahmedabad,4-9years,Not Specified,Immediate requirement for Qlikview Devloper for Wipro at Faridabad Location,Qlickview|QlikSense|
Qlikview Developer,Junaati Technologies Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,6-14years,Not Specified,"we are looking for qlikview/qliksense developer at bangalore, hyderabad, chennai, pune",Skills:qlikview|Qliksense|
"Qlikview Developer - Thirdware, Chennai",Thirdware Solutions Limited,Chennai,5-10years,Not Specified,Thirdware Solution Limited is a multinational IT Business and Consulting Company in Enterprise Application Space (EAS) is recruiting Qlikview Developers for Chennai operations.,qlikviewdevelopment|QlikviewDeveloper|DataVisualization|Qlik|SqlQueries|Plsql|
Qlikview Developer,Silver Wings Consultancy,Hyderabad/Secunderabad,3-10years,Not Specified,1. Responsible to develop qlikview reports in different formats |  2. Develop Nprinting for reports |  3. Maintain qlikview server & publisher |  4. Migrate qlikview reports to Qliksense |  5. Gathering requirements from client |  6. Implement business logics and,QlikviewDeveloper|QlikSense|Nprinting|Qlikview|
Adobe Analytics - Module Lead/ Technical Lead,Best infosystems Ltd,Chennai,4-10years,Not Specified,Looking Adobe Analytics - Module Lead/ Technical Lead,Gtm|QlikviewDeveloper|Tableau|Spss|Sql|
LTI Hiring For Qlikview Professionals !!,Larsen & Toubro Infotech Limited,Mumbai,7-12years,Not Specified,"Primary Skill:  |        |       Qlikview, NPrinting",QlikviewDeveloper|Qlikview|
LTI Hiring For Qlikview Professionals !!,Larsen & Toubro Infotech Limited,Bengaluru/Bangalore|Chennai,8-15years,Not Specified,"Primary Skill:  |      |     QlikView Developer: 7 to 10 years’ experience in BI Solutions 4+ years of hands-on QlikView tool experience 4 years of Life Sciences domain experience (good to have) Primary: QlikView Secondary: SQL, PowerBI (good to have but n",QlikviewDeveloper|
Data Analyst,Larsen & Toubro Infotech Limited,Hyderabad/Secunderabad,4-10years,Not Specified,Data Analyst - Qlik Dev,NprintShareJobLinkonSocialMedia|Qliksense|Qlikview|
PowerBi developer,Larsen & Toubro Infotech Limited,Mumbai|Pune,4-12years,Not Specified,Looking for PowerBi developer |,BIDeveloper|PowerBIDeveloper|PowerBi|Powerbi|Qlikview|QlickView|
PowerBi developer,Larsen & Toubro Infotech Limited,Bengaluru/Bangalore,4-12years,Not Specified,Looking for PowerBi developer |,BIDeveloper|PowerBIDeveloper|PowerBi|Powerbi|Qlikview|QlickView|
PowerBi developer,Arisoft Technologies Private Limited,Chennai|Hyderabad/Secunderabad,4-12years,Not Specified,Looking for PowerBi developer |,BIDeveloper|PowerBIDeveloper|PowerBi|Powerbi|Qlikview|QlickView|
BI Developer (ETL and Reporting),LogicalHiring,Hyderabad/Secunderabad,1-4years,Not Specified,Looking for an experienced ETL and Report Visualization Developer with 1-4 years of experience and must be very strong in database especially SQL and provide the Business Intelligence solutions end to end with minimal supervision,Sisense|SQLServer|MySQL|PowerBi|Tableau|Qlikview|Ssrs|Azure|AWS|GoogleCloud|Informatica|SSIS|AzureDataFactory|
Data Analyst / Sr. Analyst / Lead,Collabera Solutions Private Limited,Bengaluru/Bangalore|Gurgaon/Gurugram,3-9years,Not Specified,Opening in Bangalore & Gurgaon. Work from home option available from Chennai / Hyderabad / Pune,"""dataanalyst""|DataAnalysis|datorama|""powerBI""|""dataanalytics""|DataMining|DataManagement|DataCleaning|DataManipulation|DataExtraction|DataVisualization|Tableau|Qlikview|Alteryx|"
Qliksense Developer (Immediate Joiners only),Cybage Software Private Limited,Gurgaon/Gurugram|Pune,3-6years,Not Specified,We are looking for a Qliksense Developer for our client in Pune & Gurgaon/Gurugram location.,QliksenseDeveloper|n-printing|BusinessIntelligence|QlikviewDeveloper|
BI & Data Analytics,Arisoft Technologies Private Limited,Pune,2-9years,Not Specified,2 + years of experience in Business Intelligence and Data Warehousing |,DataAnalytics.|DatoramaAnalyticsCenter|dataharmonization|PowerBi|Qa|DataWarehousing|Datawarehouse|Dwh|Dw|PowerBi|Tableau|Qlikview|Cognos|
BI Developer (ETL and Reporting),Ascendum Solutions India Private limited,Hyderabad/Secunderabad,1-4years,Not Specified,Looking for an experienced ETL and Report Visualization Developer with 1-4 years of experience and must be very strong in database especially SQL and provide the Business Intelligence solutions end to end with minimal supervision,Sisense|SQLServer|MySQL|PowerBi|Tableau|Qlikview|Ssrs|Azure|AWS|GoogleCloud|Informatica|SSIS|AzureDataFactory|
Technical Tools / Alteryx / MS SQL / Python  / Structured Query Language,BR Raysoft Global Private Limited,Bengaluru/Bangalore,4-6years,Not Specified,"Hands on experience with Alteryx, MS-SQL, Python and other structured query language",TechnicalTools|datasourcetypesFlatfiles|datavisualizationtools|Alteryx|MS-SQL|Python|EtlTools|Databases|MicrosoftSqlServer|Sql|Oracle|DB2|Powerbi|Qlikview|Tableau|
1 YEAR CONTRACT TO HIRE OPENING FOR DATA ENGINEER &DATA VISUALIZATION at HYDERABAD AND CHENNAI.,Techknomatic Services Private Limited,Chennai|Hyderabad/Secunderabad,6-16years,Not Specified,1 YEAR CONTRACT TO HIRE OPENING FOR DATA ENGINEER &DATA VISUALIZATION at HYDERABAD AND CHENNAI. |  EXPERIENCE : 7+ YEARS,HADOOP|Alteryx|Tableau|QlikView|
Tableau Developer,Best infosystems Ltd,Pune,2-6years,Not Specified,"Lead and drive the development in BI domain using Tableau eco-system with deep technical and BI ecosystem knowledge. The resource will be responsible for the dashboard design, development, and delivery of BI services using Tableau eco-system.",TableauDeveloper|Businessintelligence|Tableau|BI|DataWarehousing|
SAP NATIVE HANA - MODULE LEAD/ TECHNICAL LEAD,Techknomatic Services Private Limited,Chennai,8-15years,Not Specified,"BI - Qlik(Qlikview or Qliksense) ,PowerBI, SAP Business Objects/SAP Cloud Analytics |",SAPNativeHana|SAP-Hana|SapHana|DataModelling|DataIntegration|
Tableau Developer,Techknomatic Services Private Limited,Pune,1-4years,Not Specified,"Lead and drive the development in BI domain using Tableau eco-system with deep technical and BI ecosystem knowledge. The resource will be responsible for the dashboard design, development, and delivery of BI services using Tableau eco-system.",TableauDeveloper|Businessintelligence|Tableau|BI|DataWarehousing|
Power BI Developer,Prosperspective Hr Solutions LLP,Pune,2-5years,Not Specified,"Lead and drive the development in BI domain using Power BI eco-system with deep technical and BI ecosystem knowledge. The resource will be responsible for the dashboard design, development, and delivery of BI services using Power BI eco-system.","""PowerBI""|Businessintelligence|BI|DataWarehousing|Dwh|"
BI Specialist,Spruce Solutions Private Limited,Chennai,5-12years,1000000 - 1500000 INR,"This individual will be responsible for the design, develop and implement ETL scripts for movement of data to data, processes to transform structured, unstructured and disparate source data into the target data stores within our technology products.",visualreports|KPIscorecards|webtools|open-source|R|MicrosoftOfficeTools|Dashboards|PowerBi|Powerapps|Python|SqlScripting|macros|Sql|
