jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Quality Analysis,Prosperspective Hr Solutions LLP,Pune,3-10years,Not Specified,"Opening in IT (Telecom Domain) Company in Pune. |  Reporting to Quality Head (Pan India) |  Certifications (Any): QMS, ISO, CMMIV1.3, sixsigmagreenbelt",Iso|Qms|SixSigma|GreenBelt|QualityAnalyst|Qa|Cmmi|
Quality Analyst|| International Process|| Ggn/ Noida/ Pune(CALL-8766285530),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-9years,300000 - 550000 INR,"TOP BPO |   |  Req 1+yr exp into Quality managing International Chat/ Banking Process |  Must have worked on Bottom Cotile, Call Callibration and Auditing |   |  CTC Upto: 5.5L |   |  Qual- Graduates |   |  Shifts- 24/7 |   |  CALL- 8766285530/8467054123 |  [HIDDEN TEXT]",QualityAudit|CallFeedback|QualityEvaluator|QualityCoach|CallMonitoring|7QcTools|CallBarging|InternationalChat|SupervisorQuality|LeadQualityAnalyst|InternationalProcess|QualityAnalyst|Qa|QualityAnalysis|Quality|QualityAssurance|
Quality Manager Required in canada,Roundworld Immigration Private Limited,Canada,2-5years,3000000 - 5920000 INR,"Facilitates the execution of the QA strategy through leadership, operations teams and support teams |  Introduces new systems and procedures that drive defect identification and reduction |  Verifies quality metrics in place and triggers containment action",QualityControl|FoodQualityControl|QualityManagement|InspectionManagement|Qms|QualityAssurance|QualityAnalyst|QualityManager|QaManagement|Qa|QualityAnalysis|
Quality Manager in Canada Call Nazia- 9643599774,Flight To Sucess Immigration Services Llp,Canada,2-10years,Not Specified,"Quality Managers are responsible for monitoring and evaluating internal production processes, examining products to determine their quality, and engaging with customers and gathering product feedback, among other duties.",QualityControl|FoodQualityControl|QualityManagement|Inspectionmanagement|Qms|QualityAssurance|QualityAnalyst|QualityManager|QaManagement|Qa|QualityAnalysis|
Quality Analyst/ Quality Coach- Gurgaon/ Noida(CALL-8766285530),Jobs Expert Private Limited,Gurgaon/Gurugram|Noida,1-8years,300000 - 550000 INR,"TOP BPO- Ggn/Noida |  Desg-Quality Analyst/ Quality Coach |  Process- International |  Exp-Req 1+yr exp into Quality in a BPO |  Skills-Well-versed with Callibration, Feedback, Auditing, 7 QC Tools |  ONLY GRADUATES |  CTC:5.5L |  24/7 SHIFTS |  CALL-8766285530/ 8467054123",QualityAudit|QualitySupervisor|QualityEvaluator|QualityCoach|CallMonitoring|QualityMonitoring|InternalQualityAuditor|7QcTools|QualityFeedback|QualityAuditor|QualityAnalyst|QualityAnalysis|QualityAssurance|
Quality Analyst- International Chat/ Voice Process(CALL-8766285530),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-9years,300000 - 600000 INR,"TOP BPO - Gurgaon/ Pune |  Quality Analyst- International Chat/ Voice Process |  Qual- GRADUATE |  CTC: 6L |  Shifts-24/7 |  Skills- Req 1 yr exp into Quality into International Process(CHAT/ Voice) |  Must have worked on Callibration, Auditing, Feedback |  8766285530  |   |",QualityAudit|CallFeedback|QualityManagement|InternationalChatProcess|CallCallibration|AHT|CallMonitoring|Qc|CallQuality|InternationalProcess|BottomCotile|InternationalVoiceProcess|QualityAnalyst|Qa|QualityAnalysis|QualityAssurance|
Quality Assurance Managers - Australia,A V Immigration And Careers Consultancy Private Limited,Australia,9-14years,1800000 - 3200000 INR,Quality assurance managers work with other staff to establish procedures and quality standards and to monitor these against agreed targets.,QualityManagement|ProductQuality|hazardanalyses|qualitydocumentation|QualityAssuranceManager|QualityAnalysis|
Quality Assurance Managers - Australia,A V Immigration And Careers Consultancy Private Limited,Australia,3-8years,1800000 - 3200000 INR,Quality assurance managers work with other staff to establish procedures and quality standards and to monitor these against agreed targets.,QualityManagement|ProductQuality|hazardanalyses|qualitydocumentation|QualityAssuranceManager|QualityAnalysis|
Business Analyst - IT,Axs Solutions And Consulting Private Limited,Mumbai,2-5years,Not Specified,Managing the entire product line life cycle from strategic planning to tactical activities. |  Specifying market requirements for current and future products by conducting market research supported by on-going visits to customers and non-customers. |,BusinessAnalyst/ProjectMonitoring/DeliveryManagement/stakeholdermanagement/ProductManagement/BusinessAnalysis/BusinessAnalystManager/QualityAnalyst/QualityAssurance/QualityAnalystengineer|
Pharmacist/clinical Pharmacist/retail Pharmacist reqd. for Canada & UAE,Shalitin Immigrations LLP,Canada|Gulf,2-5years,3600000 - 5400000 INR,Pharmacists dispense drugs prescribed by doctors and other health professionals and provide information to patients about medications and their use.,Pharmacist|HospitalPharmacist|PharmacistRetail/hospital|Chemist|MedicinalChemist|pharmaceuticalqualityassurance|HealthCareServices|DrugRegulatoryDoctor|Chemist|ChemicalAnalysis|Quality|
Pharmacist/industrial Pharmacist/clinical Pharmacist/retail Pharmacist,I2canz Outsourcing Private Limited,Australia|Canada,2-12years,3050000 - 4550000 INR,Community pharmacists and hospital pharmacists compound and dispense prescribed pharmaceuticals and provide consultative services to both clients and health care providers.,Chemist|LabAssistant|LabChemist|ChemicalAnalysis|MscChemistry|Pharmacist|HospitalPharmacist|PharmacistRetail/hospital|RetailPharmacist|Quality|
QA Intern,Azine Technologies,Ahmedabad,0-3years,150000 - 250000 INR,"Azine Technologies, a fast-growing IT company, is looking to hire a Intern QA. Junior level engineers for real-time and day-to-day testing of application and report generation. |",websitetestingSoftwareTesting|Qa|ManualTesting|FunctionalTesting|QualityAnalysis|
Quality Engineer - Electronic Industry,Jupiter Consulting,Pune,4-7years,Not Specified,Hiring quality engineer for electronic industry in Pune.,QualityTesting|Capa|8DAnalysis|
Quality Analyst,Sumukha Hitech Products Industry,Pondicherry,1-4years,110000 - 440000 INR,QC Analysts usually need a degree in chemistry to the industry sector.  large number of scientific and technical companies will have dedicated QC departments however QC is also required in a range of other industries. Depending on the size of the com,Chemist|MscChemistry|ChemicalAnalysis|LabChemist|QualityAnalyst|Quality|
Quality Assurance Managers - Australia,A V Immigration And Careers Consultancy Private Limited,Australia,9-14years,1800000 - 3200000 INR,Quality assurance managers work with other staff to establish procedures and quality standards and to monitor these against agreed targets.,QualityManagement|ProductQuality|hazardanalyses|qualitydocumentation|QualityAssuranceManager|QualityAnalysis|
Quality Assurance Managers - Australia,A V Immigration And Careers Consultancy Private Limited,Australia,3-8years,1800000 - 3200000 INR,Quality assurance managers work with other staff to establish procedures and quality standards and to monitor these against agreed targets.,QualityManagement|ProductQuality|hazardanalyses|qualitydocumentation|QualityAssuranceManager|QualityAnalysis|
Quality Assurance Executive,Fast And Direct Services,Bengaluru/Bangalore|MumbaiCity,0-1years,220000 - 500000 INR,"BPO QA, transaction quality, audit and feedback, call audits, RCA, briefings, calibrations, quality induction, quality executive, quality assurance, CSAT, projects, analysis, six sigma, quality reports",BPOQA|TransactionQuality|auditandfeedback|callaudits|Rca|briefings|calibrations|qualityinduction|CSAT|Projects|Analysis|SixSigma|qualityreports|QualityExecutive|qualityassurance|
QC Chemist,Shakun Sharma (Proprietor Of FM Industry),Vadodara,0-1years,170000 - 330000 INR,Urgent Hiring For QC Chemist  |  Freshers Can Also Apply,QcChemist|QcChemist|Chemist|LabAssistant|LabChemist|ChemicalAnalysis|MscChemistry|Quality|
Supervisor Quality/ Team Leader Quality- Banking Process,Jobs Expert Private Limited,Bengaluru/Bangalore,2-10years,400000 - 700000 INR,Supervisor/ Team Leader Quality |  Banking Process |  Loc: Bang |  Req 2+yrs exp into Quality managing a team span of more than 30+ ppl |  Must be well-versed Quality Matrices i.e Call Callibration/ Auditing/ Feedback |  Banking exp(MANDATE) |   |  8766285530/ 8467054123,QualityLead|AMQuality|Bfsi|TeamLeaderQuality|paretoanalysis|CallFeedback|AssistantManagerQuality|TLQuality|BankingProcess|CallBarging|SupervisorQuality|CallCalibration|QualityAnalysis|
Quality Assurance Managers - Australia,A V Immigration And Careers Consultancy Private Limited,Australia,9-14years,1800000 - 3200000 INR,Quality assurance managers work with other staff to establish procedures and quality standards and to monitor these against agreed targets.,QualityManagement|ProductQuality|hazardanalyses|qualitydocumentation|QualityAssuranceManager|QualityAnalysis|
Quality Assurance Managers - Australia,A V Immigration And Careers Consultancy Private Limited,Australia,3-8years,1800000 - 3200000 INR,Quality assurance managers work with other staff to establish procedures and quality standards and to monitor these against agreed targets.,QualityManagement|ProductQuality|hazardanalyses|qualitydocumentation|QualityAssuranceManager|QualityAnalysis|
Quality Analyst//Pune//International BPO,Jobs Expert Private Limited,Pune,3-8years,450000 - 520000 INR,"Minimum exp of 1 year into BFSI/Chat domain only |  Candidate should be from international background only |  Must be a Graduate with Min 1 Year Exp as Quality Analyst in BPO on Papers |  Good communication skills |  ctc upto 5.2LPa |  Simmi 8467054123, 8766285530",CallMonitoring|SixSigma|paretoanalysis|QualityManagement|SixSigmaBlackBelt|ProcessExcellence|Qa|QcTools|QualityAnalyst|QualityAnalysis|Quality|QualityAssurance|
Associate Professors/Assistant Professors/College of Pharmacy/Bangalore,Angel And Genie,Bengaluru/Bangalore,5-10years,Not Specified,Associate Professors/Assistant Professors/College of Pharmacy/Bangalore (Varthur Hobli off Sarjapur Road)/Eligibility: M.Pharma with 5 years of teaching exp. and PhD (preferred) with 2 years of Exp.,PharmceuticalChemistry|Pharmacology|Pharmaceutics|PharmaceuticalAnalysis|pharmacypractice|QualityAssurance|
QC Chemist,Yashodhara Management And Company,Mumbai|MumbaiCity|NaviMumbai|Thane,0-5years,300000 - 530000 INR,"Urgent Job Vacancy For Qc Chemist, Required BSc/MSc Candidate, Fresher and exp candidate can apply. |  salary start from 12k to 25k |  interested candidate can call on 9067917577 |  send ur resume on [HIDDEN TEXT]",Chemist|LabAssistant|LabChemist|ChemicalAnalysis|MscChemistry|Quality|
