jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Quality Analyst,Simple Logic IT Private Limited,Mumbai|MumbaiCity|NaviMumbai,2-5years,Not Specified,We are an IT managed services company based in Mumbai. We are currently looking for Quality Analyst (Tester) with atleast 2 years of relevant experience. Candidates who can join immediately will be preferred. |   |  Location: Mumbai,QualityAnalyst|SoftwareTester|AutomationTesting|ManualTesting|FunctionalTesting|
Quality Analyst,Continuum Managed Solutions LLP,MumbaiCity|NaviMumbai,2-10years,Not Specified,We are looking for a Quality Analyst who has experience in Voice - Quality or transactional/backend audits.,QAVoice|CallAudits|Callmonitoring|CSAT|QualityAnalyst|QualityAssurance|QcTools|
Quality Analyst,Agilisium consulting,Chennai,6-10years,Not Specified,Involved in Functional and Non-Functional Testing of REST APIs testing using Postman and Swagger. Ability to comprehend requirements and derive testing approach. Experience in exploratory testing and sprint/iterative lifecycle.,Non-FunctionalTesting|RESTAPIstesting|APIIntegrationtest|iterativelifecycle|Qa|qualityanalyst|FunctionalTesting|Postman|Swagger|ExploratoryTesting|automationtesting|Sprint|Jira|Confluence|Java|Javascript|Python|Ci|Jenkins|Teamcity|
"Quality Analyst , Quality Controller , Quality Manager , Quality Req in Canada & Australia",I2canz Outsourcing Private Limited,Australia|Canada,2-9years,4240000 - 5620000 INR,"The Quality Assurance Analyst is responsible for supporting the planning, design and execution of system testing on simple to complex implementations.",QualityControl|QuantitySurveyor|QualityAnalyst|QualityExecutive|QualityExecutive|QualityManager|
Quality Analyst,Orbitouch Outsourcing Private Limited,Gurgaon/Gurugram,3-12years,10000 - 700000 INR,I have urgent requirement of QA in Automation testing,AutomationTestEngineer|webAutomationtesting|AutomationTesting|ManualTesting|QATesting|MobileApp|Selenium|
Quality Analyst,Vibrantzz Management Services,Mumbai,1-5years,Not Specified,Job Openings at Malad Location for MNC |   |  Openings for Quality Analyst Position,"""QualityAnalyst""|Bpo|Qa|"
Software Tester / Quality Analyst,Axs Solutions And Consulting Private Limited,Mumbai,2-4years,200000 - 400000 INR,"We are looking for a qualified Software Tester who has experience in Manual testing with bug tracking tools like JIRA, Mantis, BugZilla Etc.",SoftwareTester/softwaredevelopment/FRS/BRS/QualityAnalyst/SoftwareTesting/STLC/SDLC|
HIRING FOR QUALITY ANALYST,Future Plannerz,Delhi|Gurgaon/Gurugram,1-6years,Not Specified,HIRING FOR QUALITY ANALYST  |  MIN 1 YEAR OF QUALITY ANALYST EXP REQ IN EMAIL PROESS |  DAY SHIFT  |  6 DAYS WORKING  |  NO CABS  |  DECENT HIKE ON UR LAST SALARY |  ASAP JOINING  |  EXC COMS SKILLS REQ |   |  GURGAON LOCATION,QualityAnalyst|QualityAnalyst|Qa|
Quality Analyst|| International Process|| Ggn/ Noida/ Pune(CALL-8766285530),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-9years,300000 - 550000 INR,"TOP BPO |   |  Req 1+yr exp into Quality managing International Chat/ Banking Process |  Must have worked on Bottom Cotile, Call Callibration and Auditing |   |  CTC Upto: 5.5L |   |  Qual- Graduates |   |  Shifts- 24/7 |   |  CALL- 8766285530/8467054123 |  [HIDDEN TEXT]",QualityAudit|CallFeedback|QualityEvaluator|QualityCoach|CallMonitoring|7QcTools|CallBarging|InternationalChat|SupervisorQuality|LeadQualityAnalyst|InternationalProcess|QualityAnalyst|Qa|QualityAnalysis|Quality|QualityAssurance|
Quality Analyst,US Tech Solutions Private Limited,Delhi|Noida,1-3years,Not Specified,Job title - Quality Analyst  |   Shift - 12.00 PM - 9.00 PM IST |   Work mode - WFH |    |   Note : Its a 3 months assignment.,E-learning|Qualityauditor|elearning|QualityAnalyst|
Quality Analyst,Silaris Informations Private Limited,Delhi,2-10years,Not Specified,Urgent opening for Quality Analyst profile for domestic process in a fixed day shift for Silaris Information Pvt Ltd which is a leading BPO sector in BFSI sector for banking and insurance.                  |   |,Qualityauditor|QualityTools|Qc|QualityAnalyst|Qa|
Quality Analyst,Qdegrees Services Private Limited,Jaipur,1-6years,200000 - 220000 INR,"Quality Analyst will be responsible for performing Calls, Emails, Chats etc audits. He or she will recommend process improvement, gaps and opportunities based on audit observations.",Bpo|CustomerCare|CustomerServices|Customercare|CustomerSupport|Voiceandradisson|QualityAnalyst|Kpo|
Senior Quality Analyst/ QA,Clinasia Labs Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,"Participate in all phases of SDLC, involve in authoring in SQA deliverables. Testing the applications for functional, system, regression, security and performance testing type with Manual and automation test methods. Involve CSV activities as needed.",SoftwareTestEngineer|SoftwareTesting|TestEngineer|SoftwareQualityAssurance|QAtesting|Tester|
Quality Analyst  (Full-time),Novateur IT Technologies India Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,"Looking for QA Engineer hold 5+ year of experience in testing. Must have experience in manual testing, database testing, API testing (POSTMAN) and Git. If he/she belongs to Auto Industry or financial domain is preferred.",ManualTesting|DatabaseTesting|DBTesting|Sql|agile|WebTesting|Postman|Git|
Quality Analyst  (Full-time),Novateur IT Technologies India Private Limited,Hyderabad/Secunderabad,4-9years,Not Specified,"Looking for QA hold experience in web and API testing. Must have experience with Git, SQA and DBs. And hold around 5 years of experience. Please do not send irrelevant resumes.",DBs|ManualTesting|ApiTesting|Postman|Sql|Database|Git|SoftwareTesting|Qa|
Quality Analyst,Sumukha Hitech Products Industry,Pondicherry,1-4years,110000 - 440000 INR,QC Analysts usually need a degree in chemistry to the industry sector.  large number of scientific and technical companies will have dedicated QC departments however QC is also required in a range of other industries. Depending on the size of the com,Chemist|MscChemistry|ChemicalAnalysis|LabChemist|QualityAnalyst|Quality|
Salesforce Business/Quality Analyst for UAE,Vinirma Consulting Private Limited,UnitedArabEmirates,5-10years,Not Specified,"Urgent hiring for Salesforce Business/Quality Analyst for UAE. Understanding of Salesforce, SFDC Architecture & concepts is required.",Salesforce|Businessanalyst|SFDCArchitecture.|QualityAnalyst|
Quality Analyst/ Quality Coach- Gurgaon/ Noida(CALL-8766285530),Jobs Expert Private Limited,Gurgaon/Gurugram|Noida,1-8years,300000 - 550000 INR,"TOP BPO- Ggn/Noida |  Desg-Quality Analyst/ Quality Coach |  Process- International |  Exp-Req 1+yr exp into Quality in a BPO |  Skills-Well-versed with Callibration, Feedback, Auditing, 7 QC Tools |  ONLY GRADUATES |  CTC:5.5L |  24/7 SHIFTS |  CALL-8766285530/ 8467054123",QualityAudit|QualitySupervisor|QualityEvaluator|QualityCoach|CallMonitoring|QualityMonitoring|InternalQualityAuditor|7QcTools|QualityFeedback|QualityAuditor|QualityAnalyst|QualityAnalysis|QualityAssurance|
Team Leader | Quality Analyst | MIS Executive - International BPO,Proprietor Of Ssv Hr Services,Mumbai|MumbaiCity|NaviMumbai|Thane,2-5years,200000 - 350000 INR,"Its a Voice process, where your job will require interacting with customers over the Call.",Bpo|InternationalBpo|Inbound|CallCenter|MisExecutive|MISReport|TeamHandling|VoiceAndAccent|VoiceProcessNightShift|QualityCoach|TeamLeader|QualityAnalyst|Qa|QualityExecutive|TeamCoach|
Data Quality Analyst,SnapHunt Pte Ltd,Bengaluru/Bangalore,2-5years,Not Specified,"Analysing data as per defined specifications and providing feedback in case of deviations. Closely monitoring error records, fixing issues and tracking for smooth performance. |",Email|Analytics|Excel|Python|Java|QualityAnalyst|
