jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
MNC Required  Quality Engineers /Mechanical Maintenance Engineers,Career Mantra Management Services,Hyderabad/Secunderabad|Pune,3-5years,229999 - 540000 INR,Requirement Mechanical engineers For MNC PVT Ltd. Companies |    Direct Joining Available |    Post:Quality & Maintenance Engineers |   Salary 28k to 30k  |  Education:BE/Dip any Stream |    Any Passout Year Can apply |    More Details |     9371274040  |     HR Megha |,Plc|Transportation|SupplyChainManagement|BreakdownAnalysis|UtilityMaintenance|PlantManager|SCADA|plantaAutomation|
Quality Manager,Guires Solutions Private Limited,Chennai,3-10years,160000 - 190000 INR,•	Preparing ISO Documents and maintenance. |   •	Support in Ensuring process compliance,IsoAudit|Iso|Tqm|Qms|MsOfficeSuite|
"Quality Analyst , Quality Controller , Quality Manager , Quality Req in Canada & Australia",I2canz Outsourcing Private Limited,Australia|Canada,2-9years,4240000 - 5620000 INR,"The Quality Assurance Analyst is responsible for supporting the planning, design and execution of system testing on simple to complex implementations.",QualityControl|QuantitySurveyor|QualityAnalyst|QualityExecutive|QualityExecutive|QualityManager|
Production Head (TABLET ; CAPSULE ; LIQUID ORAL AND TOPICAL),E-Friend Solutions India,Bhopal,10-15years,400000 - 800000 INR,"Production Head,Formulations,Tablets Capsules Lozenges,WHO,",ProductionHead|Formulations|TabletsCapsulesLozenges|WHO|
Supplier Quality Manager,Virginia Transformer India Private Limited,Delhi,15-20years,Not Specified,"Core Competencies:  |   •	Degree in Mechanical Engineering. |   •	Experience of about 20 years with manufacturing operation, vendor quality control out of which 5 years in manager position. |   •	Knowledge of manufacturing processes like Casting, forging, machin",SupplierQuality|ManufacturingOperations|
"Quality Assurance/Control , 2 - 8 years",AGN Corporate Consultancy Services,Mohali|Chandigarh,2-8years,Not Specified,|                                  |,
Quality Assurance Executive,Fast And Direct Services,Chennai|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,"Quality Assurance Executive (Domestic) | •	To manage transaction quality profile for a customer service / sales process for our domestic client | •	To conduct audits as per defined guideline and sampling for transaction monitoring | •	To ensure 100% closure of feedbacks | •	To create and publish regular audit reports with management and clients (daily, weekly, monthly) | •	To identify gaps and conduct feedback and refresher sessions with agents to improve sales and quality of calls | •	Should be well versed with MS Office (Word, Excel, PowerPoint and Outlook) | •	Should have excellent communication skills (written and spoken) | •	Preferred to have six sigma knowledge and understanding of basic QC tools | •	Must have good analytical skills to conduct various analysis and RCA on a weekly/monthly basis |",BPOAnalyst|Bpo|TransactionQuality|qualityassurance|
Quality Analyst- International Chat/ Voice Process(CALL-8766285530),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-9years,300000 - 600000 INR,"TOP BPO - Gurgaon/ Pune |  Quality Analyst- International Chat/ Voice Process |  Qual- GRADUATE |  CTC: 6L |  Shifts-24/7 |  Skills- Req 1 yr exp into Quality into International Process(CHAT/ Voice) |  Must have worked on Callibration, Auditing, Feedback |  8766285530  |   |",QualityAudit|CallFeedback|QualityManagement|InternationalChatProcess|CallCallibration|AHT|CallMonitoring|Qc|CallQuality|InternationalProcess|BottomCotile|InternationalVoiceProcess|QualityAnalyst|Qa|QualityAnalysis|QualityAssurance|
Quality Engineer,Sapna Manish Sharma (Proprietor Of JBM India),Bhubaneswar,1-6years,250000 - 450000 INR,Requirement for Quality Engineer.,qualityengineering|ProcessQuality|ProductQuality|MechanicalEngineering|ValueEngineering|
Hiring for the Diploma Quality & Production Enggineers,Career Mantra Management Services,Mumbai|Pune,2-3years,220000 - 340000 INR,"Administer daily production plans, recommend and authorize adjustments to shift planning when required. Manage production personnel by ensuring that the task in their areas are executed as planned in an efficient way and with the right quality.",AutomobileEngineer|shiftplanning|Q.C|RawMaterial|Diploma|ProductQuality|
Sr. QA Engineer - 12 Yrs Exp,ExterNetworks Inc,Hyderabad/Secunderabad,10-14years,Not Specified,Looking for Sr. QA Engineer with 12 Yrs of Exp.,SoftwareTestEngineer|QaEngineer|TestEngineer|ManualTesting|TestLead|
