jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
JOB OPENING FOR THE POST OF ACCOUNTANT-KHARKHODA SONIPAT,Balaji Placement Service,Delhi|Sonipat/Sonepat,4-10years,240000 - 360000 INR,JOB OPENING FOR THE POST OF ACCOUNTANT-KHARKHODA SONIPAT,AccountsOfficer|Accountant|AccountsExecutive|SeniorAccountant|
"Walking Interviews for International and Domestic Call Center Salary 15k to 50k, No Fees, call 99883",M/s Best Placement Service,Chandigarh,0-5years,Not Specified,"Call me, after reading the below information if you are satisfied |  Call   7508062612    9988353971  9988350971    |  Jobs in Chandigarh and Mohali cab facility. |  We do not take any Fees, RRRRRRRRRRRequest, Please do not give any fees or any registration c",TechnicalSale|Internationalvoiceprocess|USprocessInboundCalls|InternationalCallCenter|Escalation|Feedback|InternationalBpo|InternationalKPO|Freshers|Experienced|CallCenter|Flipkart|TechSupport|TechnicalSupport|Quality|
JOB OPENING FOR THE POST OF ELECTRICAL ENGINEER-SONEPAT,Balaji Placement Service,Sonipat/Sonepat,3-6years,140000 - 270000 INR,JOB OPENING FOR THE POST OF ELECTRICAL ENGINEER-SONEPAT,ElectricalEngineer|ElectricalMaintenance|ElectricalINcharge|
JOB OPENING FOR THE POST OF QUALITY MANAGER IN PLASTIC GRANUEL INDUSTRY-SONEPAT,Balaji Placement Service,Sonipat/Sonepat,6-10years,400000 - 600000 INR,JOB OPENING FOR THE POST OF QUALITY MANAGER IN PLASTIC GRANUEL INDUSTRY-SONEPAT,QualityManager|QaManager|QualityAssuranceManager|
Flipkart / Snapdeal /Amazon / Airtel Gold Call Center Jobs Domestic and International as CSR/Web Des,M/s Best Placement Service,Chandigarh,0-5years,Not Specified,"Call me, after reading the below information if you are satisfied |  Call   7508062612    9988353971  9988350971    |  Jobs in Chandigarh and Mohali cab facility. |  We do not take any Fees, RRRRRRRRRRRequest, Please do not give any fees or any registration c",TechnicalSale|Internationalvoiceprocess|USprocessInboundCalls|InternationalCallCenter|Escalation|Feedback|InternationalBpo|InternationalKPO|Freshers|Experienced|CallCenter|Flipkart|TechSupport|TechnicalSupport|Quality|
JOB OPENING FOR THE POST OF NURSEING -HOSPITAL- SONEPAT,Balaji Placement Service,Sonipat/Sonepat,0-5years,150000 - 400000 INR,JOB OPENING FOR THE POST OF NURSEING INCHARGE-HOSPITAL- SONEPAT,NURSINGINCHARGE|Nurse|Gnm|Malenurse|Headnurse|StaffNurse|
"Bulk Hiring In CHD Mohali...International and Domestic Call Center Salary 16k to 50k, No Fees, call",M/s Best Placement Service,Chandigarh,0-5years,Not Specified,"Call me, after reading the below information if you are satisfied |  Call   7508062612    9988353971  9988350971    |  Jobs in Chandigarh and Mohali cab facility. |  We do not take any Fees, RRRRRRRRRRRequest, Please do not give any fees or any registration c",TechnicalSale|Internationalvoiceprocess|USprocessInboundCalls|InternationalCallCenter|Escalation|Feedback|InternationalBpo|InternationalKPO|Freshers|Experienced|CallCenter|Flipkart|TechSupport|TechnicalSupport|Quality|
JOB OPENING FOR THE POST OF DATA ENTRY OPERTOR-BARI SONIPAT,Balaji Placement Service,Sonipat/Sonepat,1-4years,120000 - 180000 INR,JOB OPENING FOR THE POST OF DATA ENTRY OPERTOR-BARI SONIPAT |  LOCATION-BARI SONEPAT |  EXP.1+ |  JOB PROFILE-TYPING SPEED-30 MINIMUM |  EXCELLENT KNOWLEDGE OF EXCEL |   |  INTEESTED CANDIDTES CAN [HIDDEN TEXT] |   |  BALAJI PLCEMENT SERVICE |  GITA BHAWA,DataEntryOperator|DataEntry|
"Urgent Hiring for 12th Pass Graduate Under Graduate In International Call Center Salary 20k to 50k,",M/s Best Placement Service,Chandigarh,0-5years,Not Specified,"Call me, after reading the below information if you are satisfied |  Call   7508062612    9988353971  9988350971    |  Jobs in Chandigarh and Mohali cab facility. |  We do not take any Fees, RRRRRRRRRRRequest, Please do not give any fees or any registration c",TechnicalSale|Internationalvoiceprocess|USprocessInboundCalls|InternationalCallCenter|Escalation|Feedback|InternationalBpo|InternationalKPO|Freshers|Experienced|CallCenter|Flipkart|TechSupport|TechnicalSupport|Quality|
JOB OPENING FOR THE POST OF SR MANAGER COSTING-SONIPAT,Balaji Placement Service,Sonipat/Sonepat,7-14years,900000 - 1400000 INR,JOB OPENING FOR THE POST OF SR MANAGER COSTING-SONIPAT,CostingAndBudgeting|CostingManager|
JOB OPENING FOR THE POST OF ELECTRONICS FRESHER -SONEPAT,Balaji Placement Service,Sonipat/Sonepat,0-1years,120000 - 140000 INR,JOB OPENING FOR THE POST OF BE TECH ELECTRONICS FRESHER -SONEPAT |  EXPERIENCE-FRESHER |  LOCATION-SONIPAT |  COMAPNY TYPE-MANUFAUREING UNIT |  INTERESTED CANDIDATE CAN [HIDDEN TEXT] |   |  BALAJI PLACEMENT SERVICE |  GITA BHAWAN CHOWK |  SONEPAT |  9729188166,ElectronicsEngineer|
JOB OPENING FOR THE POST OF ASSISTANT MANAGER DISPATCH & LOGISTIC-SONIPAT,Balaji Placement Service,Sonipat/Sonepat,6-10years,400000 - 500000 INR,JOB OPENING FOR THE POST OF ASSISTANT MANAGER DISPATCH & LOGISTIC-SONIPAT,DispatchLogistic|DispatchManager|
"Hurry Domestic and International Call Center Salary 15k to 55k, No Fees, call 9988350971",M/s Best Placement Service,Chandigarh,0-5years,Not Specified,"Call me, after reading the below information if you are satisfied |  Call   7508062612    9988353971  9988350971    |  Jobs in Chandigarh and Mohali cab facility. |  We do not take any Fees, RRRRRRRRRRRequest, Please do not give any fees or any registration c",TechnicalSale|Internationalvoiceprocess|USprocessInboundCalls|InternationalCallCenter|Escalation|Feedback|InternationalBpo|InternationalKPO|Freshers|Experienced|CallCenter|Flipkart|TechSupport|TechnicalSupport|Quality|
JOB OPENING FOR THE POST OF MERCHANT (HOME FURNISHING)-PANIPAT,Balaji Placement Service,Panipat,3-10years,240000 - 450000 INR,JOB OPENING FOR THE POST OF MERCHANT (HOME FURNISHING)-PANIPAT,Merchandiser|SRMERCHANT|
JOB OPENING FOR THE POST OF ASST. MANAGER ACCOUNTS -NOIDA,Balaji Placement Service,Noida,7-14years,500000 - 700000 INR,JOB OPENING FOR THE POST OF ASST. MANAGER ACCOUNTS -NOIDA,AssistantManagerAccounts&Finance|
JOB OPENING FOR THE CHEMIST IN PHARMA-SONIPAT,Balaji Placement Service,Sonipat/Sonepat,3-10years,240000 - 500000 INR,JOB OPENING FOR THE CHEMIST IN PHARMA-SONIPAT,Chemist|LabChemist|
JOB OPENING FOR THE POST OF STORE INCHARGE IN PHARMA-SONEPAT,Balaji Placement Service,Sonipat/Sonepat,7-12years,300000 - 500000 INR,JOB OPENING FOR THE POST OF STORE INCHARGE IN PHARMA-SONEPAT,StoreInCharge|StoreManager|StoreKeeper|StoreExecutive|
JOB OPENING FOR THE POST OF SR ACCOUNTS OFFICER-SONEPAT,Balaji Placement Service,Sonipat/Sonepat,8-12years,400000 - 500000 INR,JOB OPENING FOR THE POST OF SR ACCOUNTS OFFICER-SONEPAT |  LOCATION-SONIPAT |  EXPERIENCE-8+ |  JOB PROFILE |  NTERESTED CANDIDATES CAN [HIDDEN TEXT] |  BALAJI PLACEMENT SERVICE |  GITA BHAWAN CHOWK |  SONIPAT |  9729188166 |,SRACCOUNTSEXECUTIVE|AssistantManagerAccounts|
Urgent Hiring Call……...for Hindi Punjabi English Call Center/BPO/KPO/Voice/Non Voice/ Flipkart / Sna,M/s Best Placement Service,Chandigarh,0-5years,Not Specified,"Call me, after reading the below information if you are satisfied |  Call   7508062612    9988353971  9988350971    |  Jobs in Chandigarh and Mohali cab facility. |  We do not take any Fees, RRRRRRRRRRRequest, Please do not give any fees or any registration c",TechnicalSale|Internationalvoiceprocess|USprocessInboundCalls|InternationalCallCenter|Escalation|Feedback|InternationalBpo|InternationalKPO|Freshers|Experienced|CallCenter|Flipkart|TechSupport|TechnicalSupport|Quality|
UUUUUnlimited Jobs in Chandigarh Mohali for BPO/KPO/Voice/Non Voice/ Flipkart / Snapdeal /Amazon / A,M/s Best Placement Service,Chandigarh,0-5years,Not Specified,"Call me, after reading the below information if you are satisfied |  Call   7508062612    9988353971  9988350971    |  Jobs in Chandigarh and Mohali cab facility. |  We do not take any Fees, RRRRRRRRRRRequest, Please do not give any fees or any registration c",TechnicalSale|Internationalvoiceprocess|USprocessInboundCalls|InternationalCallCenter|Escalation|Feedback|InternationalBpo|InternationalKPO|Freshers|Experienced|CallCenter|Flipkart|TechSupport|TechnicalSupport|Quality|
UUUnlimited jobs in Technical Sales/Tech Support/SnapDeal/Jio for Fresher and Experience Call Center,M/s Best Placement Service,Chandigarh,0-5years,Not Specified,"Call me, after reading the below information if you are satisfied |  Call   7508062612    9988353971  9988350971    |  Jobs in Chandigarh and Mohali cab facility. |  We do not take any Fees, RRRRRRRRRRRequest, Please do not give any fees or any registration c",TechnicalSale|Internationalvoiceprocess|USprocessInboundCalls|InternationalCallCenter|Escalation|Feedback|InternationalBpo|InternationalKPO|Freshers|Experienced|CallCenter|Flipkart|TechSupport|TechnicalSupport|Quality|
