jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Relationship Manager,Infomedia Solutions And Consultant,Pune,1-4years,Not Specified,"Dear Jobseekers, |  Greetings of the day. |  We are Hiring for leading private sector bank in Pune. |   |   |  To know more about this job please call or whatsapp on 8788990644.",RelationshipManager|RelationshipOfficer|RelationshipExecutive|
Relationship Manager - Retail / SME,Moksha Financial Services Private Limited,Indore,1-5years,250000 - 400000 INR,"Corporate Funding products – CC OD limit, Term loan, MSME loans |   Retail Loans products – Home loan, Business loan, Personal Loan, Mortgage loan |   Project Funding",Sales&Marketing|HomeLoan|BusinessLoan|MortgageSales|Cc|Od|WorkingCapital|
Relationship Manager (Davangere),Quess Corp Limited,Bengaluru/Bangalore,3-4years,350000 - 400000 INR,|   |  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
Relationship Manager (Trichy),Provance Business Consulting Private Limited,Trichy,3-4years,350000 - 400000 INR,|   |  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
Relationship Manager (Kolkata),C P Careers Private Limited,Kolkata,3-4years,350000 - 400000 INR,|  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
Relationship Manager (Hyderabad),Shyamal HR Services,Hyderabad/Secunderabad,3-4years,350000 - 400000 INR,|  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSalesShareJobLinkonSocialMedia|
Relationship Manager (Mumbai),Aspire Group of Services,Mumbai,3-4years,350000 - 400000 INR,|   |  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
Relationship Manager (Dehradun),Aspire Group of Services,Dehradun,3-5years,350000 - 400000 INR,|   |  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
Relationship Manager (Aurangabad),Aspire Group of Services,Aurangabad,3-4years,350000 - 400000 INR,|   |  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer seg,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
Relationship Manager (Pune),Space Consultancy,Pune,3-4years,350000 - 400000 INR,|   |  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
BRANCH RELATIONSHIP MANAGER,Mpr India Technologies,Kollam,0-2years,Not Specified,"Manage credit card sales through sales team,and would be responsible for driving business, achieve monthly sales target. Maintain a group of sales executives ,Track and report the sales performance .",GroupLeader|TeamHandling|CreditCardSales|BankingSales|TeamLeader|
Relationship Manager,Vitalhunt Global Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,Relation Manager / Tele sales Executives,StrongCommunicationSkill|CustomerRelation|Telesales|
Technical Content Writer (Female Preferred),Sigma Consultancy Services,Bengaluru/Bangalore|Chennai,4-8years,600000 - 1000000 INR,"Bachelor's degree in English, Journalism |  • Portfolio of published articles & web publications |  • Excellent English writing skills,  |  • Knowledge of digital marketing tactics, including SEO, email marketing. |  • Exp in using Microsoft Office |  Exp: 4+ Yrs",ContentWriting|webpublication|publishedarticles|SEOWriting|EmailMarketing|OnlineMarketing|salespoint|Salesforce|WorkdayBlogWriting|ArticleWriting|englishcom|TechnicalContentWriter|TechnicalWriting|Saas|SEO|JIRA|MSDynamicsCRM|Servicenow|
Urgent Hiring for Bancassurance Channel for a Leading Life Insurance Company,Aspire Group of Services,Goa|MumbaiCity,2-8years,10000 - 350000 INR,Generating Business Through the leads given by the bank and getting sitting in banks to generate business.,Bancassurance|DirectSales|DirectMarketing|Relationshipmanager|UnitManager|AgencyManager|FinancialPlanningManager|
Customer Relationship Manager Female,Gridh Technologies India Private Limited,Lucknow,0-5years,160000 - 270000 INR,Job Responsibilities : |  Communicating effectively and efficiently with ShadiKaRishta.com customers. |  Attending to customer calls and offering assistance |  Assisting with profile screening procedures and improving the same.,CustomerRelationshipManager|Bde|Relationshipmanager|Selling|Marketing|DirectSales|Insurance|AccountManager|Bdm|
Customer Relationship Manager- Female,first india hr solution,Lucknow,0-1years,120000 - 240000 INR,Only females can apply. |  Freshers and experienced both are eligible. |  Location - Lucknow |  Age - 18 yr - 30 yr,CustomerRelationManager|
Customer Relationship Manager Female,Jobsnta,Lucknow,0-2years,120000 - 200000 INR,Should be familiar with effective objection handling.,CRM|
