jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Recruitment Executive,Green Window Consultancy,Kolkata,1-2years,Not Specified,"Excellent communication skills in English, Hindi & Bengali  &  self motivated , Organized , presentable & soft spoken",RecruitmentExecutive|
Recruitment Executive,Corient Business Solutions Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,1-3years,100000 - 200000 INR,"We are looking for an experienced and highly motivated Recruiter to join our company, you will be responsible for finding, sourcing, and hiring talent with the goal to full-fill company's hiring needs.",Screening|Sourcing|Recruitment|BulkHiring|Staffing|Recruiter|HrRecruitment|
HR Recruitment Executive,Space Consultancy,Noida,1-3years,50000 - 250000 INR,"We are looking for an HR Recruiter to manage our full cycle recruitment, from identifying potential hires to interviewing and evaluating candidates. Ultimately, you will play an important part in building a strong employer brand for our company.",HRRecruitmentExecutive|
Urgently Looking  for Recruitment Specialist (WFH),Bct Consulting Private Limited,Bengaluru/Bangalore|Chennai,0-5years,Not Specified,"Handle the entire recruitment cycle and sourcing candidates of suitable caliber from various sources like Job Portals, Postings, Walk-ins, Social Media and Internal or External References.",Recruiter|Recruitment|Staffing|
Senior Recruitment Executive,Topsource Infotech Solutions Private Limited,Pune,4-8years,Not Specified,"We are looking for Senior Recruitment Executive in TopSource. Any candidate who has 4 plus years of experience in Non IT Recruitment and who have worked in any BPO/KPO,ITES, Accounting, Payroll Industry need to apply for this post.",Recruitment|NonIt|
HR Executive ( Recruitment & Operations ),Aspire Group of Services,Lucknow,Fresher,240000 - 300000 INR,Recruitment: |   |   |  Support the process of manpower planning |  To ensure that manpower requirement in the school in fulfilled in time |  Learn new avenues for sourcing candidates |  Should follow proper process for recruitment as per guidance,HrExecutive|HumanResource|Hr|HrGeneralist|Generalist|Recruitment|Ir|HrManager|
Recruitment Executive,Sumedha Management Consultancy,Lucknow,0-2years,Not Specified,"Require a recruiter in Lucknow-UP who is competent to handle job portal, has computer skills  and good in mailing.",Recruitment|TalentAcquisition|HumanResource|Hiring|
Recruitment Executive,Riju Karan (Proprietor Of Toyota Climax India),Indore,1-5years,200000 - 450000 INR,Required Recruitment Executives.,HrExecutive|Recruiter|HrRecruiter|RecruitmentConsultant|Staffing|Hiring|Officer|RecruitmentExecutive|
HR Recruitment Executive  HR Recruitment,AGP International Services,Chennai,3-13years,Not Specified,SOURCING & PROCESSING FOR GULF MANPOWER REQUIREMENT |   HINDI SPEAKING ABILITY MUST. |   BASIC KNOWLEDGE IN GULF VISA & STAMPING PROCESS.,HrRecruiter|HrExecutive|Recruiter|RecruitmentExecutive|
Assistant IT Recruiter- IT Company,BudgetVM,Mohali,2-7years,100000 - 360000 INR,IT Recruitment,ItRecruiter|RecruitmentnonITrecruiter|TechnicalRecruiter|RecruitmentExecutive|
HR Executive ( Recruitment & Operations ),Aspire Group of Services,Lucknow,0-1years,140000 - 229999 INR,Salary: 14000/- per month (Gross) ; Other benefits: Statutory + Leave Encashment + Yearly bonus. |   |  Job specifications / Eligibility criteria: |   |  Experience: 0 TO 01 Years |   |  Qualification: Any Graduate. |   |  Work location: ALL OVER LUCKNOW |,HrExecutive|Officer|Assistant|Backend|OperationsExecutive|
HR Operations and Recruitment Executive,Aspire Group of Services,Lucknow,Fresher,240000 - 310000 INR,"Roles and Responsibilities |   |  Ensure that compliance policies and procedures are being maintained |  Understanding of employment laws and regulations, maintenance of registers and timing filing of challans |  Liaising with department and consultants",HrOperations|RecruitmentOperations|HumanResourceOperations|EmployeeEngagement|HRSharedServices|HROPS|HrGeneralist|Hro|HrExecutive|
Senior US IT Recruiter - Night Shift,Pozent Corporation,Chennai,3-5years,Not Specified,We are looking for a dynamic and results-driven professional to become a high-performing Senior US IT Recruiter.  NIGHT SHIFT,ItRecruiter|TalentAcquisition|UsItRecruiter|TechnicalRecruiter|
"Recruitment Executive,  Telesales , Recruiting Agents",I Tech Solutions,Mumbai|MumbaiCity,1-3years,Not Specified,Hiring for Recruiter for renowned recruitment firm based in mumbai.,Recruiter|HrExecutive|Recruitment|NonITrecruiter|HrRecruitment|ItStaffing|HrRecruiter|HumanResource|Hr|RecruitmentExecutive|TechnicalRecruiter|
FRESHER- HR EXECUTIVE//RECRUITMENT EXECUTIVE//HR RECRUITER,Aspire Group of Services,Lucknow,0-1years,130000 - 250000 INR,"A HR is Responsible for all hiring and training procedures for new employees, Coordinate in work activities for managers and employee, Reviewing resumes and applications, shortlisting, scheduling interviews and negotiation, Record maintenance.",HumanResources|HrExecutive|Hr|Recruitment|Hiring|Staffing|
"H R Recruiter,  Recruitment Executive,   Recruiter",Erfolg,MumbaiCity,1-2years,100000 - 160000 INR,We are looking for a Recruiter to become part of our Human Resources department - Inhouse  |,Recruiting|Staffing|Hiring|TalentAcquisition|Sourcing|HumanResource|HeadHunting|Hr|HRExecutive/Recruiter|HrRecruitments|Hiring|stffing|
Junior US IT Recruiter - Night Shift,Pozent Corporation,Chennai,0-1years,Not Specified,We are looking for a dynamic and results-driven professional to become a high-performing Junior US IT Recruiter. NIGHT SHIFT,ItRecruiter|UsItRecruiter|
