jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Hospitality Manager/PR Visa/Canada/Australia/Hongkong,Adal Immigrations LLP,Canada|NewZealand,2-7years,2500000 - 5500000 INR,Have to manage hospital independently as a senior person.,Administration|CustomerService|FrontDeskAdministrator|HospitalityManagement|CustomerCareExecutive|RelationshipBuilding|
Shriram Transport Finance hiring Management Trainee - Tamil Nadu & Puducherry,Novac Technology Solutions Private Limited,Villupuram|Tiruvannamalai,0-2years,Not Specified,Looking for Dynamic Engineering/Management Professionals for the field of commercial vehicle finance,ManagementTrainee|Finance|Marketing|Automobile|CommercialVehicle|VehicleEvaluation|Collection|recovery|CustomerRelationship|mechanical|B.E|Mba|BEfresher|MbaFresher|MechanicalEngineering|RelationshipBuilding|Tiruvannamalai|Villupuram|
Shriram Transport Finance hiring Management Trainee across UP & Uttarakhand,Novac Technology Solutions Private Limited,OtherIndia,0-2years,Not Specified,Looking for Dynamic Engineering/Management Professionals for the field of commercial vehicle finance,ManagementTrainee|Finance|Marketing|Automobile|CommercialVehicle|VehicleEvaluation|Collection|recovery|CustomerRelationship|mechanical|B.E|Mba|BEfresher|MbaFresher|MechanicalEngineering|RelationshipBuilding|uttarpradesh|Uttarakhand|
Shriram Transport Finance hiring Management Trainee,Novac Technology Solutions Private Limited,Salem|Vellore,0-2years,240000 - 250000 INR,Looking for Dynamic Engineering/Management Professionals for the field of commercial vehicle finance,ManagementTrainee|Finance|Marketing|Automobile|CommercialVehicle|VehicleEvaluation|Collection|recovery|CustomerRelationship|mechanical|B.E|Mba|BEfresher|MbaFresher|MechanicalEngineering|RelationshipBuilding|salem|Vellore|
Shriram Transport Finance hiring Management Trainee,Novac Technology Solutions Private Limited,Berhampur|Bhubaneswar,0-2years,Not Specified,Looking for Dynamic Engineering/Management Professionals for the field of commercial vehicle finance,ManagementTrainee|Finance|Marketing|Automobile|CommercialVehicle|VehicleEvaluation|Collection|recovery|CustomerRelationship|mechanical|B.E|Mba|BEfresher|MbaFresher|MechanicalEngineering|RelationshipBuilding|Behrampur|Bhubaneshwar|
sales officer paint industry jaipur and other districts,Job House,Jaipur,3-10years,100000 - 250000 INR,"sales officer required in paint industry,should be from reated industry or product industry",SalesOfficer|Relationshipmanager|Selling|Sales|DirectSales|PaintORBuildingMaterials|CementMarketing|
"District Lead/ Executive (Field Sales) - Hazaribagh, Jharkhand",2COMS Consulting Private Limited,Hazaribag,1-3years,220000 - 300000 INR,Greetings From 2 Coms !!! |   |   |  We are hiring for Business Development (Field Sales) role for a digital services provider company. Find the details below:- |   |   |   |  Position:- District Lead (Executive/Sr. Executive) |   |  Department:-Sales |   |  Experience:-1-3 years,CommunicationSkills|FieldSales|ChannelSales|BrandPromotion|RelationshipBuilding|TeamPlayer|BusinessDevelopment|
"Sales Executives / Managers (Building Materials) (Location: Cochin, Chennai & Bangalore)",ConnectIN Jobs Global,Chennai|Cochin/Kochi/Ernakulam,2-10years,Not Specified,"One of our reputed client is looking for Sales Professionals to join their team for Cochin, Chennai & Bangalore locations",BuildingMaterials|BuildingConstruction|SalesExecutives|Marketing|Selling|DirectSales|AccountManager|BD|Sales|Relationshipmanager|B2b|BB2C|businesstobusiness|business2business|Corporatesales|Institutionalsales|BtoB|Corporate|
Business development manager for housing finance company at Mumbai and Madurai,Visishta Consulting,Madurai|MumbaiCity,5-9years,600000 - 1200000 INR,"Business development manager  |  company   housing finance company |  locations   Mumbai , Madurai |  exp 5+yrs IN HOUSING DEVELOPMENT OR FINANCE   INDUSTRY |  qualification  PG/MBA |  Builder relations |  lead management |  identify affordable housing projects |  market",BDMforHousingfinancecompany|Buildingrelationshipwithbuilders|createmarketplan|identifyprojects|
HR Recruiter,COEPD,Remote,0-2years,Not Specified,Making recommendations to company hiring managers. |  Relationship-building skills. ... |  Recruitment & selection. |,CommunicationSkills|Marketingandsalesskills|Motivatedandpersistent|Relationship-buildingskills|Multitaskingskills|Time-managementskills|ITandsocialmediaskills.|
HR Recruitments,Space Consultancy,Anand|Vadodara,0-1years,100000 - 100000 INR,"HR Recruiter responsibilities include sourcing candidates online, updating job ads and conducting background checks. If you have experience with various job interview formats, including phone screenings and group interviews.",Marketingskills....Communicationskills....Relationshipbuildingskills....Multitaskingskills....Timemanagementskills.|
