jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
URGENTLY REQUIRED RECEPTIONIST / FRONT OFFICE EXECUTIVE (3 POSTS - FEMALE CANDIDATES ONLY) FOR AN IT,TRANSVISION SOFTWARE AND DATA SOLUTIONS PVT LTD,Bengaluru/Bangalore,0-1years,Not Specified,"URGENTLY REQUIRED RECEPTIONIST / FRONT OFFICE EXECUTIVE (3 POSTS - FEMALE CANDIDATES ONLY) FOR AN IT COMPANY LOCATED AT PEENYA-BANGALORE. THE CANDIDATE MUST BE GOOD IN SPOKEN ENGLISH, HINDI, KANNADA, PLEASANT LOOKING/ GOOD IN COMPUTERS-INTERNET......",FrontOfficeExecutive|FrontDeskExecutive|OfficeAdmin|OfficeCoordinator|OfficeAssistant|OfficeExecutive|OfficeAdministrator|Receptionist|
URGENTLY REQUIRED RECEPTIONIST / FRONT OFFICE EXECUTIVE (3 POSTS - FEMALE CANDIDATES ONLY) FOR AN IT,TRANSVISION SOFTWARE AND DATA SOLUTIONS PVT LTD,Bengaluru/Bangalore,0-1years,Not Specified,"URGENTLY REQUIRED RECEPTIONIST / FRONT OFFICE EXECUTIVE (3 POSTS - FEMALE CANDIDATES ONLY) FOR AN IT COMPANY LOCATED AT PEENYA-BANGALORE. THE CANDIDATE MUST BE GOOD IN SPOKEN ENGLISH, HINDI, KANNADA, PLEASANT LOOKING/ GOOD IN COMPUTERS-INTERNET......",FrontOfficeExecutive|FrontDeskExecutive|OfficeAdmin|OfficeCoordinator|OfficeAssistant|OfficeExecutive|OfficeAdministrator|Receptionist|
URGENTLY REQUIRED RECEPTIONIST / FRONT OFFICE EXECUTIVE (3 POSTS - FEMALE CANDIDATES ONLY) FOR AN IT,TRANSVISION SOFTWARE AND DATA SOLUTIONS PVT LTD,Bengaluru/Bangalore,0-1years,Not Specified,"URGENTLY REQUIRED RECEPTIONIST / FRONT OFFICE EXECUTIVE (3 POSTS - FEMALE CANDIDATES ONLY) FOR AN IT COMPANY LOCATED AT PEENYA-BANGALORE. THE CANDIDATE MUST BE GOOD IN SPOKEN ENGLISH, HINDI, KANNADA, PLEASANT LOOKING/ GOOD IN COMPUTERS-INTERNET......",FrontOfficeExecutive|FrontDeskExecutive|OfficeAdmin|OfficeCoordinator|OfficeAssistant|OfficeExecutive|OfficeAdministrator|Receptionist|
TACTICAL SOURCING BUYER,Aspire Group of Services,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-7years,450000 - 650000 INR,"We are seeking highly motivated and experienced individuals with 3-5+ years sourcing and procurement experience to join our team of procurement professionals. Specifically, we are seeking to fill the role of a Procurement Value Engineer.",GlobalProcurement|CategoryManagement|PurchaseStrategic|SourcingSupplier|RelationshipManagement|BuyingVendor|NegotiationBuyer|TenderingManager|
Customer Relationship Manager - Male / Female - Lucknow,S P A Enterprise Info Services India Private Limited,Lucknow,0-1years,170000 - 290000 INR,"As a Customer Relationship Management (CRM) person, You ll be interacting with the customer, resolving customer queries, handling concerns and issues, minimizing escalations, and delivering superior customer experience.",CustomerRelationship|RelationshipManager|ClientRelationshipManagement|Telesales|
CPM(Customer Relationship Management),HDFC Life Insurance,Hyderabad/Secunderabad,6-10years,Not Specified,Looking for an Professional CPM (Customer Relationship Management) |  Professionally Experienced Candidates are more preferable.,SAPS/4HANA(1809+)|CPM|PS|planning&costing|ResultsAnalysis&RARprocesses|SD&MMmodules.|
Deputy Manager Bancassurance,Disha Recruitment Services,Mumbai,2-8years,Not Specified,Looking for Deputy Manager Bancassurance,-keyaccountmanagement|keyrelationshipmanagement|relationshipmanager|salesplanning&salesstrategy|
Client Relationship Executive,Novartis Healthcare Private Limited,Bengaluru/Bangalore,2-5years,240000 - 300000 INR,Responsibilities |  - Taking appointments and organizing meetings. |  - Ability to work independently |  - Mailing and follow up with clients & Vendors |  - Attending meetings with clients as and when needed,ClientRelationship|ClientRelation|ClientServicing|ClientManagement|ClientRelationshipManager|AccountManagement|
Branch Sales Manager- Overseas - (Mumbai),I Tech Solutions,Mumbai,4-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch. |,CommunicationSkill|Relationship|TeamHandling|ChannelManagement|
Branch Sales Manager- Overseas - (Mumbai),SPG Corporate,Mumbai,4-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch.,CommunicationSkill|Relationship|TeamHandling|ChannelManagement|
