jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Relationship Manager,Infomedia Solutions And Consultant,Pune,1-4years,Not Specified,"Dear Jobseekers, |  Greetings of the day. |  We are Hiring for leading private sector bank in Pune. |   |   |  To know more about this job please call or whatsapp on 8788990644.",RelationshipManager|RelationshipOfficer|RelationshipExecutive|
Urgent Hiring for Bancassurance Channel for a Leading Life Insurance Company,Shyamal HR Services,Goa|MumbaiCity,2-8years,10000 - 350000 INR,Generating Business Through the leads given by the bank and getting sitting in banks to generate business.,Bancassurance|DirectSales|DirectMarketing|Relationshipmanager|UnitManager|AgencyManager|FinancialPlanningManager|
Relationship Manager - Retail / SME,Moksha Financial Services Private Limited,Indore,1-5years,250000 - 400000 INR,"Corporate Funding products – CC OD limit, Term loan, MSME loans |   Retail Loans products – Home loan, Business loan, Personal Loan, Mortgage loan |   Project Funding",Sales&Marketing|HomeLoan|BusinessLoan|MortgageSales|Cc|Od|WorkingCapital|
Relationship Manager (Davangere),Quess Corp Limited,Bengaluru/Bangalore,3-4years,350000 - 400000 INR,|   |  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
Relationship Manager (Trichy),K21 Consulting,Trichy,3-4years,350000 - 400000 INR,|   |  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
Relationship Manager (Kolkata),Provance Business Consulting Private Limited,Kolkata,3-4years,350000 - 400000 INR,|  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
Relationship Manager (Hyderabad),Morgan Eries,Hyderabad/Secunderabad,3-4years,350000 - 400000 INR,|  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSalesShareJobLinkonSocialMedia|
Relationship Manager (Mumbai),first india hr solution,Mumbai,3-4years,350000 - 400000 INR,|   |  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
Relationship Manager (Dehradun),Anil Kumar Chakravarthy Isunooru (Proprietor of Anil Chakravarthy & Co.),Dehradun,3-5years,350000 - 400000 INR,|   |  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer se,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
Relationship Manager (Aurangabad),K21 Consulting,Aurangabad,3-4years,350000 - 400000 INR,|   |  Ensuring the targets of the location is met through effective planning and budgeting. Devise strategies and techniques necessary for achieving the sales targets. Endeavour to make Avanse a brand of first choice within our customer seg,GoodCommunication|coldcalling|Sales|Relationship|DirectSales|
