jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Need Delivery Boy,Incube Placements,Chennai|Hyderabad/Secunderabad,0-1years,Not Specified,We are looking to hire a reliable Delivery Boy to deliver packages to customers. The Delivery Boy's responsibilities include verifying the identities of recipients before handing over packages,HighschooldiplomaorGED.Validdriver'slicense.Cleandrivingrecord.|
CAD Customization / C++ Developer for Teamcenter Application,Progneur Technologies Private Limited,Pune,2-5years,Not Specified,"Responsibilities: |  •	Design, build, and maintain efficient, reusable, and reliable C++ code |  •	Implement performance and quality modules |  •	Identify bottlenecks and bugs, and devise solutions to these problems |  •	Help maintain code quality, organization,",CADCustomization|Proe|CAD|Catia|C++|Solidworks|
"Logistics Manager reqd. for Canada, Australia",Shalitin Immigrations LLP,Australia|Canada,2-8years,5530000 - 7050000 INR,We are looking for a reliable Logistics Manager to be responsible for the overall supply chain management. Logistics Manager responsibilities include organizing and monitoring storage and distribution of goods.,SupplyChainManagement|WarehouseManager|SupplyPlanning|ProcurementManager|DemandForecasting|PurchaseManager|Purchase|Sourcing|MaterialsManager|ProcurementHead|TransportManager|LogisticsManager|
Full-stack Web Developer,Progneur Technologies Private Limited,Bengaluru/Bangalore|Pune,3-7years,Not Specified,"•	Design, build, and maintain efficient, reusable, and reliable C# or .NET code. |  •	Implement distributed applications with N-tier architecture. |  •	Identify bottlenecks and bugs, and devise solutions to these problems.",Angular8|Javascript|Html5|Css3|.NET|C#|
Process Associate IR Operation,Insigma Technologies Private Limited,Nagercoil,0-5years,Not Specified,Maxerience highly believes on Artificial Intelligence & Internet-of-Things based systems for the digital world. We are seeking for a reliable and organized person to join us as a Process associate.,ComputerKnowledge|GoodCommunication|
Senior Software Engineer - progress 4GL/ open edge ABL/ Progress ABL,Sunquest Information Systems (India) Private Limited,Kolkata,5-10years,Not Specified,"Senior Software Developer takes ownership and responsibility for working towards delivering reliable software, writing immaculate code and delivering projects on time and budget.","""seniorsoftwaredeveloper""|""progress4GL""|"
Lab Technician Required in Abroad,Cloud Visa Immigration LLP,Canada|Kuwait,2-7years,4500000 - 5000000 INR,Lab Technician who will be responsible for supporting our laboratory staff with the primary goal of optimizing lab procedures and succeeding in producing reliable test results. |,LabTechnician|LabAssistant|LaboratoryTechnician|Laboratory|LabChemist|LabIncharge|Mlt|Dmlt|
Application Engineer required for One Of the Leading IT Company in Chennai,Fortumax Career International Private Limited,Chennai,4-8years,1200000 - 1500000 INR,"The Application Engineer ensures that all in-house and 3rd party applications conform to our configuration and deployment standards so that every application can be deployed, monitored and managed in a consistent and reliable fashion.",ApplicationDeveloper|Deployment|UNIX|Linux|Shellscripting|Perl|Python|IbmMqSeries|Configuration|ApacheTomcat|
Java Developer,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,8-15years,1800000 - 2500000 INR,"Responsibilities |   |  • Design, build, and maintain efficient, reusable, and reliable Java code. • Translate |  application storyboards and use cases into functional applications. |  • Ensure the best possible performance, quality, and responsiveness of the |  ap",object-orientedprogramming|variousdesign|architecturalpatterns|JavaGUI|Java|Mvc|JDBC|RESTful|Frameworks|Jvm|
Delivery Field Boys,Kisaanputr Infotech Private Limited,Jaipur,1-5years,Not Specified,"We are looking to hire a reliable Delivery Boy to deliver packages to customers. The Delivery Boy's responsibilities include verifying the identities of recipients before handing over packages, updating the status.",DeliveryBoy|DeliveryFieldBoys|
IOT- Team Lead - Technical Support Executive,Insigma Technologies Private Limited,Nagercoil,2-7years,Not Specified,Maxerience highly believes on Artificial Intelligence & Internet-of-Things based systems for the digital world. |  We are seeking for a reliable and organized person to join us as a Support Function Executive.,TeamHandling|GoodCommunication|WorkExperienceinITIndustry|Excel|Sql|
