jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Medical Representative,Hi Tides Consulting,Chennai|Delhi,2-6years,Not Specified,"1.	Medical representative job is to promote and sell their company's products, that's medical equipment. |   2.	Customers can include doctors, nurses and pharmacists.  |   3.	They will increase product awareness, answer queries, provide advice and introduce",MedicalRepresentative|Mr|CriticalCare|PharmaceuticalSales|
"Sales Professional  Sales Representative  Sales Representative  Sales Executives  Sales Executive ,",Coral Bling Services Private Limited,Bengaluru/Bangalore,1-2years,140000 - 240000 INR,1.	MBA Freshers – 2 positions – 1 male & 1 female (Preferably with science background in graduation).  Smart with excellent communication skills.,ModemDeveloper|WiFiNetworks|MobileTechnology|MobileSoftware|Modem|
Customer Sales Representative,Caliber Hunt,Pune,1-2years,150000 - 200000 INR,Outbound Calls  |  Domestic BPO |  Call Center |  Outbound Sales |  Tele calling |  Tele sales,VoiceProcess|CallCenter|Outbound|TelesalesCalling|VoiceCalling|TelemarketingCalling|Bpo|ColdCalling|OutboundSales|
Medical Representative,Cappricos Technology Solutions Private Limited,Delhi|Gurgaon/Gurugram,0-4years,Not Specified,"Seeking highly motivated individuals from an education background of biology, pharmacy, and allied sciences to |  undertake marketing and patient outreach initiatives for Indian subsidiary of France based Diagnostics MNC, |  GeneStore France SAS",Diagnostics|Diagnostic|MedicalRepresentative|pharmasalesMedicalrep|PharmaSales|BusinessExecutive|Territorybusinessmanager|Fieldsalesofficer|PSR|Mr|
Technical Support Representative,Organic Chamba LLP,Bengaluru/Bangalore,0-2years,100000 - 210000 INR,L1 technical support process: |   if interested Kindly call or Forward your Updated Resume to  |   Saima - 9731172224 |   Email:- [HIDDEN TEXT],TechSupportRepresentative|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Sales Exec/ Sales Representative,Kavya Management Services,OtherIndia,2-7years,80000 - 120000 INR,"To promote, distribute, sell company products in Food and beauty categories to whole sale, retail and institutions. Earn more commission on sales than a fixed salary. More the sale more is the earning, SKY is THE LIMIT, no upper ceiling.",Aconfidentpersonwhobelievesinhimself/herselfandiscapableofselling.|
Medical Representative Diagnostics,Black And White Business Solutions Private Limited,Delhi|Noida,0-2years,310000 - 420000 INR,"The position is for field work, and candidates are expected to also collect COVID-19 samples, in addition toundertaking marketing activities with leading doctors, RWA’s, and more.",Diagnostics|DiagnosticscompanywithaglobalfootprintofmanufacturingfacilitiesforRT-PCRtestingkitsanddiagnostictestinglaboratories.GeneStoreisaleaderintheRT-PCRtestingindustryinIndia|
customer service representative,Eteam Info Services Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / Ecommerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Customer Service Representative,Team Management Services,Bengaluru/Bangalore,1-2years,Not Specified,Role:Customer Service Representative  |  Payroll: eTeam Infoservices |  Employment: Contract to Hire |  Location: Bangalore |  Shift Timing- Rotational |  Exp. in Global market is fine// US market is good to have. |  1 or 2 years of experience in Email & Chat support,CustomerSupport|CustomerService|EmailSupport|Nonvoice|Automotive|
customer service representative,Quick Solutions,Delhi|Gurgaon/Gurugram,0-2years,200000 - 270000 INR,We are hiring for fresher |     |    Position: Customer Care Representative |     |    Location: Bangalore |     |    Shifts: Rotational Shifts & Weekoffs.  |     |    Working Days: 6  |     |    Benefits: one-way cab facility  |     |    Salary 18k per month. |,Bpo|FresherBPO|VoiceProcess|CustomerCareExecutive|CustomerSupport|Voicesupport|CallCenter|TechnicalSupport|
