jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"JAVA SELENIUM, REST API.REST ASSURED",Best infosystems Ltd,Bengaluru/Bangalore,4-5years,Not Specified,"JAVA SELENIUM, REST API.REST ASSURED",Selenium|Groovy|
Java Lead,Nanyata Software Solutions Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,"Looking for Java professionals with expertise in Java, Spring Boot, Hibernate, Rest API",Java|Springboot|Hibernate|RestApi|
Front end developer / Full stack engineer,Esn Technologies India Private Limited,Hyderabad/Secunderabad,2-7years,Not Specified,Build user friendly and modern SaaS applications using latest frameworks like Angular or React.,AngularReactRestAPIwebpacknodeTypeScriptJavaScript|
Sales force Technical Architect for IT company in Energy sector at Mumbai,Visishta Consulting,MumbaiCity,8-10years,1800000 - 2600000 INR,"sales force technical architect  |  company IT   |  location  Mumbai( for the timebeing work from home) |  Technical degree |  Exp 8+yrs |  Mandatory |  sales force projects having integrations using APIs as REST or SOAP or Postman |  Sales Cloud, Service Cloud, CPQ,",SalesForce|SalesCloud|Cpq|MarketingCloud|RestApi|
Principle Engineer| Full Time | Hyderabad,Bridge Gap Solutions,Hyderabad/Secunderabad,6-8years,Not Specified,"Principle Engineer with 6+ yrs of experience in in  Java Platform (1.5 & above) having proficiency in OOPs concepts, Collections, Generics, Streams, Multi-threading (Executor Framework), Functional Programming",DataStore|Java|J2EE|SpringFramework|RestApi|
"Looking for Back End Developer - Scala, Rest API in Scalatra",Kevin Global Gradient Technologies Private Limited,OtherIndia,3-6years,Not Specified,"Looking for Back End Developer - Scala, Rest API in Scalatra, Work form home - 6 months duration, Singapore client.",Scalatra|Scala|RestApi|
Automation Testers,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,5-8years,Not Specified,Automation Testing - 3 Positions |  Automation Testing with Selenium+TestNG with JAVA |  5+ years of experience,Selenium|Testng|Java|RestApi|QaEngineer|
Hiring _Automation Testing _Bangalore,Sun Technology Integrators Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,"We are looking for Sr. Automation Testing for Full Time. If you are interested in exploring this opportunity, revert to me with the following details with your latest resume.",AutomationTesting|Selenium|Java|RestApi|Jenkins|
Hiring API Automation Test Engineers- Rest Assured - Contracr- Bangalore,Techcom Solutions India Private Limited,Bengaluru/Bangalore,3-8years,Not Specified,At least 3 years of experience in API testing using ‘RestAssured’ |  Hands on experience on testNg and maven  |  Experience in Database testing (mysql and Oracle) |  Should have knowledge of CICD pipeline  |  Ability to create Function in JAVA/JAVAScript |  Loc:Blr,"""restassured""|ApiTesting|ApiAutomation|"
Test Automation Engineer,Ethics Manpower Services,Bengaluru/Bangalore|Gurgaon/Gurugram,4-6years,Not Specified,• Basic understanding of networking (CCNA level) |   • Good understanding of Python |   • Good understand of REST API/Open API |   • Good understanding of ROBOT Framework |   • Work flow automation / BPM would be advantageous – good to have only |,RestApi|Python|RobotFramework|
Test Automation Engineer,Freelancer Srividya Palaniandi,Bengaluru/Bangalore|Gurgaon/Gurugram,4-6years,Not Specified,• Basic understanding of networking (CCNA level) |  • Good understanding of Python |  • Good understand of REST API/Open API |  • Good understanding of ROBOT Framework |  • Work flow automation / BPM would be advantageous – good to have only |,RestApi|Python|RobotFramework|
Software Developer (Server Engineer),ASquare Groups,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-6years,Not Specified,"4 to 6 years’ experience in J2SE and J2EE development teams with a track record of delivering robust and scalable server architectures. |  Expertise in Core Java, Multi Threading & Spring Boot |  Core development experience in Web services |",Javadeveloper|Softwaredeveloper|softwareprogrammer|Java|JavaJ2ee|RestApi|
UI developer,Insigma Technologies Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,8-15years,Not Specified,UI developer,UI|MeanStack|RestApi|
