jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Python and Django Developer,Calibrage Info Systems Private Limited,Hyderabad/Secunderabad,3-6years,Not Specified,"•	As Python developer must have strong technical skills in Python, Django framework, MySQL, Mongo DB, REST APIs.",EDX|RabbitMQandRestAPIs|Python|Django|MySQL|
Web Application Lead Developer (ReactJS) in Bangalore,Sourcetal Hiretech,Bengaluru/Bangalore,10-12years,2100000 - 2200000 INR,"Dear Job Seeker, |   |  Currently, We are looking for the Tech Lead in Bangalore. |   |  Designation / Position: Tech Lead |",WebApplication|Reactjs|RestApis|Javascript|HTML|CSS|
Sr. Software Developer,Miracle Software Systems India Private Limited,Visakhapatnam,1-5years,200000 - 1000000 INR,"* Producing clean, efficient code based on specifications. Testing and deploying applications. |   *Working experience or familiarity with SQL/NoSQL databases, Spring Boot, REST APIs, ORM Frameworks and Microservices are highly recommended.",NoSQLDatabases|ORMFrameworks|Sql|SpringBoot|RestApis|MicroServices|Git|J2EE|
Sharepoint Developer- WK,Aurumdata Solutions India Private Limited,Hyderabad/Secunderabad,8-13years,Not Specified,"Development experience in SharePoint 2013, 2016 on premise. Ø SharePoint server object model and client object model. Ø Powershell, SharePoint Services, Authentication. Ø Rest APIs and JavaScript. Ø Development experience in C#, ASP.NET.",Sharepoint|RestApis|Javascript|C#|ASP.NET|Wcf|SqlServerDba|
ForgeRock consultant / ForgeRock Engineer with SME,Emastech Consultancy services (OPC) Private Limited,Bengaluru/Bangalore|Pune,6-12years,Not Specified,"hands-on experience with installing and configuring ForgeRock IAM suite: openAM, openDJ and openIDM.  This includes counters and lockout procedures, as well as replication settings for CTS store, adopting best industry practices in implementing this",ForgeRock|openIDM|openDJ|Sme|Iam|Openam|Saml|Jwt|RestApis|Sdk|
Django Backend Engineer,C P Careers Private Limited,Pune,2-5years,500000 - 1000000 INR,Candidate should have at least 2 years of hands on experience on a Django based web application.,Django|Sql|Nosql|RestApis|HTML|CSS|Javascript|Gcp|Bigquery|Firebase|
Mulesoft Archiitect,Cynosure Corporate Solutions,Bengaluru/Bangalore|Chennai,4-9years,800000 - 1200000 INR,"MuleSoft Consultant/Architect |   |   Experience in MuleSoft Development in both Mule 3.X and 4.X, Any point Studio, |  connectors, |  Scopes, Routers, Flows, caching and Exception Strategiespreferred. |   Proficient in MuleSoft AnyPoint API platform on designing",pointStudio|connectors|scopes|Caching|Designing|implementing|MuleAPIs|Strong|APIGateway.|Design|Test|Debug|manageAPIs|SOAPWeb|MuleSoftCloud|Premises|Runtimemanager|Ap|Routers|Flows|Api|build|Deploy|Raml|Mule|REST|Edi|As2|Van|Https|FTP|Sftp|
Php developer,Hiremount Solutions Private Limited,Chennai,1-4years,Not Specified,"=> Experience in Secure & Optimized PHP Laravel Framework Based Responsive Web Applications. |   |  => Strong in OOPS concepts and MVC Structure and design patterns. |   |  => Sound Knowledge of different CMS tools, eCommerce Solutions, Apache Web Server & 3rd p",PhpLaravel|OopsConcept|Mvc|RestApis|
Full Stack Developer,Agilisium consulting,Bengaluru/Bangalore,2-5years,Not Specified,"Full Stack Development ll front-end technologies ll PHP, MySQL, OOPs , MVC  ll Codeigniter/Laravel ll REST APIs, Microservices",FullStackDevelopment|front-endtechnologies|Codeigniter/Laravel|Php|MySQL|Oops|Mvc|RestApis|Microservices|
Quality Analyst,Rohini IT Consulting LLP,Chennai,6-10years,Not Specified,Involved in Functional and Non-Functional Testing of REST APIs testing using Postman and Swagger. Ability to comprehend requirements and derive testing approach. Experience in exploratory testing and sprint/iterative lifecycle.,Non-FunctionalTesting|RESTAPIstesting|APIIntegrationtest|iterativelifecycle|Qa|qualityanalyst|FunctionalTesting|Postman|Swagger|ExploratoryTesting|automationtesting|Sprint|Jira|Confluence|Java|Javascript|Python|Ci|Jenkins|Teamcity|
React Native Developer,Sourcetal Hiretech,Ahmedabad|Bengaluru/Bangalore,5-9years,Not Specified,"Urgently looking for React Native Developer for our prestigious client @ Bangalore, India.",LeveragenativeAPIs|deepintegrations|native|MaterialUI|ReactNative|Xcode|Gradle|AndroidStudio|RestApis|
Tech Lead (PHP) in Bangalore,Neugene International Inc,Bengaluru/Bangalore,7-10years,2400000 - 2500000 INR,"Dear Job Seeker, |   |  Currently, We are looking for the Tech Lead (PHP) in Bangalore. |   |  Designation / Position: Tech Lead (PHP) |",CI/CDPipeline|Php|Wordpress|Laravel|Codeigniter|HTML|CSS|MariaDb|Javascript|Ajax|Apache|Nginx|Maven|Sonar|Jenkins|Redis|Elk|RestApis|Docker|Kubernetes|Mysql|Postgres|
Job opportunity for back end development in Bangalore,Fin Infocom Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,Job opportunity for back end development in Bangalore,StrongJAVA|Springbootapplication|OpenAPIspec|Scala|Json|Postgres|MongoDB|RestApis|
Android Developer,Space Consultancy,Hyderabad/Secunderabad,1-2years,240000 - 400000 INR,Android |  	We are looking for an Android Developer who possesses a passion for pushing mobile technologies to the limits. This Android app developer will work with our team of talented engineers to design and build the next generation of our mobile app,RESTandJSON|AndroidSDK|Git|Jenkins|Apis|
Opening for Android Developer at Remote/New Delhi,C P Careers Private Limited,Delhi,7-12years,800000 - 2000000 INR,Android Developer |  Location :  Remote/New Delhi |  Experience :  7+  Years |  Salary:  Best in Industry |  Gender: Male/Female |,AndroidUI|REST/RESTfulAPIs|AndroidStudio|AndroidSDK|AndroidFramework|
Sr. Android Developer / Native Apps and Video (Chennai candidates preferred),Sourcetal Hiretech,Chennai,3-6years,Not Specified,Require a Sr. Android Developer for an exciting US based Start Up in the Sports Industry. Enthusiastic and passionate about Sports is a plus. Experience with video apps required |,JSONconceptsandRESTAPIs|UI/UXdesignersexperienceworkingwithVideoApps|AndroidSDK|Java|Ndk|C++|
SENIOR JAVA DEVELOPERS JOB,Sourcetal Hiretech,Bengaluru/Bangalore|Chennai,4-8years,1800000 - 2500000 INR,"Job Description |   |  As Sr. Java Engineer for Blume Global, you will: |   |  · Work with product team to understand product vision and requirements |   |  · Solve complex technical problems and perform the code reviews for the junior team members. |   |  · Produce deliver",ProductDevelopment|Wipro|hcl|Ctscan|cognizent|capgemini|Iit|Scm|SAASproduct|blueyounder|blackbuck|E2open|Design|orredesign|Microservices|Java|Spring|Boot|Oops|multithreading|Nit|Cloud|Gcp|AWS|Azure|CodeReview|REST|Json|Apis|Tomcat|Node.js|
Sr. Engineer (React JS Developer) in Bangalore,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore,7-10years,2100000 - 2200000 INR,"Dear Job Seeker, |    |  Currently, We are looking for the Sr. Engineer (React JS Developer) in Bangalore. |   |  Designation / Position: Sr. Engineer (React JS Developer)",FrontEndUILeadDeveloper|ReactHooks|ReactJs|Redux|RestApis|Javascript|HTML|CSS|
PHP Developer (Junior & Senior) in Bangalore,Scoop Technologies Private Limited,Bengaluru/Bangalore,2-5years,800000 - 1500000 INR,"Dear Job Seeker, |   |  Currently, We are looking for the PHP Developer (Junior & Senior) in Bangalore. |   |  Designation / Position: PHP Developers (Junior & Senior) |",Php|Wordpress|Codeigniter|Laravel|HTML|CSS|Javascript|Ajax|Mysql|MariaDb|Postgres|RestApis|Apache|Nginx|
Technical Lead,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore,9-14years,Not Specified,9+ years of experience and experience in handling team.,TechnicalLeader|Java|J2EE|Spring|SpringBoot|Microservices|RestApis|Angular|MySQL|MongoDB|Oracle|SQLServer|
Hiring Android Developer - RX Java,Moentek Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,"Android Developer,RX Java, Android Development,REST APIs,JSON",androiddeveloper|RXJava|AndroidDevelopment|RestApis|Json|androiddevelopment|
