jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"JAVA SELENIUM, REST API.REST ASSURED",Best infosystems Ltd,Bengaluru/Bangalore,4-5years,Not Specified,"JAVA SELENIUM, REST API.REST ASSURED",Selenium|Groovy|
Principal Engineer (GoLang) - I & II,Continuum Managed Solutions LLP,Bengaluru/Bangalore|Pune,4-12years,Not Specified,Principal Engineer (GoLang) - I & II,Java|DesignPatterns|Openstack|Golang|REST|
Technical Lead ASP.Net,ASquare Groups,Chennai,5-10years,Not Specified,"Excellent Job Opening For Technical Lead (ASP.Net) with strong knowledge in C#, ASP.Net & SQL Server, Rest API, Soap, Payment Gateway Integration, VAPT Test/fixes",XML-RPC|Asp.Net|DotNet|VB.NET|C#|SQLServer|Aspdotnet|RestApi|Soap|Json|REST|
Java Lead,Nanyata Software Solutions Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,"Looking for Java professionals with expertise in Java, Spring Boot, Hibernate, Rest API",Java|Springboot|Hibernate|RestApi|
Front end developer / Full stack engineer,Esn Technologies India Private Limited,Hyderabad/Secunderabad,2-7years,Not Specified,Build user friendly and modern SaaS applications using latest frameworks like Angular or React.,AngularReactRestAPIwebpacknodeTypeScriptJavaScript|
Senior Fullstack Developer,Global Technologies,Bengaluru/Bangalore,7-17years,Not Specified,8+ years of work experience in building Backends based on NodeJS. |  Should have developed REST based services running on Express server. |  Should demonstrate sufficient understanding of NoSql databases. Knowledge of multi-model databases will be an added,"""Node.JS""|Fullstack|REST|Nodejs|Nosql|"
JAVA9-JSP-REST,Best infosystems Ltd,Gurgaon/Gurugram,9-15years,Not Specified,"Java Server Pages (JSP), Frameworks and libraries - Java Servlets, Languages - Java 9, Architecture Concepts - REST, Architecture Concepts - Microservices |",Java9|Javaserver|Microservices|Rest|
Sr. Software Engineer - SharePoint,LN Global Career Services LLP,Ahmedabad,3-8years,400000 - 800000 INR,"Hands-on experience on the below mentioned key skills:  |    SharePoint OOTB, Web Parts, Search, BDC, MMS, UPS, C#, JSOM, REST, CSOM, SPFx, React, PnP, Fluent UI, Power Platform, M365, MS Graph and Migration of data between different SharePoint versions.",Sharepoint|SharepointDeveloper|C#|Javascript|REST|
Hiring API Automation Test Engineers- Rest Assured - Contracr- Bangalore,Techcom Solutions India Private Limited,Bengaluru/Bangalore,3-8years,Not Specified,At least 3 years of experience in API testing using ‘RestAssured’ |  Hands on experience on testNg and maven  |  Experience in Database testing (mysql and Oracle) |  Should have knowledge of CICD pipeline  |  Ability to create Function in JAVA/JAVAScript |  Loc:Blr,"""restassured""|ApiTesting|ApiAutomation|"
JAVA9-MICROSERVICES-REST,Best infosystems Ltd,Gurgaon/Gurugram,6-10years,Not Specified,"JSP & Servlets HTML 5 JSF, preferred PrimeFaces CSS / CSS preprocessors Responsive and mobile web design skills Cross-Browser Development (preferred but not essential)  |",Java9|Javaserver|Microservices|Rest|
Sales force Technical Architect for IT company in Energy sector at Mumbai,Visishta Consulting,MumbaiCity,8-10years,1800000 - 2600000 INR,"sales force technical architect  |  company IT   |  location  Mumbai( for the timebeing work from home) |  Technical degree |  Exp 8+yrs |  Mandatory |  sales force projects having integrations using APIs as REST or SOAP or Postman |  Sales Cloud, Service Cloud, CPQ,",SalesForce|SalesCloud|Cpq|MarketingCloud|RestApi|
Opening for Java Professional @LTI_Mumbai/Chennai,Larsen & Toubro Infotech Limited,Chennai|Mumbai|MumbaiCity|NaviMumbai|Thane,5-10years,Not Specified,"PFB the JD :  |  • Strong Experience in Java8  |  • Rich Expertise in Java frameworks like Spring MVC, Springboot, Hibernate, RestAPI and Microservices  |  • Exposure to CI & CD tools  |  • Experience in working with global teams in Agile/Scrum methodology  |",Java|Spring|SpringBoot|WebServices|REST|Soap|Microservices|
Rest AP Developers,Fin Infocom Private Limited,Hyderabad/Secunderabad,2-4years,Not Specified,We are actively looking for Rest API who are well-versed in REST fundamentals and API design best practices,JSONorXML|REST/RESTful|HttpProtocol|WebServices|Soap|
Immediate C2H OPENING FOR Mule Developer at Pune. EXPERIENCE : 4+ YEARS Notice period : Max 30 days,BR Raysoft Global Private Limited,Pune,3-13years,Not Specified,"Immediate C2H OPENING FOR Mule Developer at Pune. |  EXPERIENCE : 4+ YEARS |  Notice period : Max 30 days |  Mandatory skills: |  1.	Ability to design API resources using OpenAPI 2.0/3.0 and RAML, |  2.	Ability to develop REST/SOAP APIs including subscribe/unsubscr",Mule|Api|REST|Soap|
"Looking for Back End Developer - Scala, Rest API in Scalatra",Kevin Global Gradient Technologies Private Limited,OtherIndia,3-6years,Not Specified,"Looking for Back End Developer - Scala, Rest API in Scalatra, Work form home - 6 months duration, Singapore client.",Scalatra|Scala|RestApi|
Automation Testers,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,5-8years,Not Specified,Automation Testing - 3 Positions |  Automation Testing with Selenium+TestNG with JAVA |  5+ years of experience,Selenium|Testng|Java|RestApi|QaEngineer|
Principle Engineer| Full Time | Hyderabad,Bridge Gap Solutions,Hyderabad/Secunderabad,6-8years,Not Specified,"Principle Engineer with 6+ yrs of experience in in  Java Platform (1.5 & above) having proficiency in OOPs concepts, Collections, Generics, Streams, Multi-threading (Executor Framework), Functional Programming",DataStore|Java|J2EE|SpringFramework|RestApi|
Fullstack Developer,Global Technologies,Bengaluru/Bangalore,2-7years,Not Specified,2+ years of work experience in building Backends based on NodeJS |  Should have developed REST based services running on Express server |  Should demonstrate sufficient understanding of NoSql databases. Knowledge of multi-model databases will be an added a,"Backend|""Node.JS""|Fullstack|Nodejs|REST|Nosql|"
Automation Testing (Selenium with Java)- CTS-Bangalore 3-9yrs,Orcapod Consulting Services Private Limited,Bengaluru/Bangalore,3-8years,Not Specified,"Dear Candidate, |    |   Greetings of the Day!! |    |   This is regarding a job opportunity for Automation Testing _Cognizant technology solutions ( CTS )Bangalore.",Java|Selenium|ApiTesting|Testng|REST|Sql|
Hot Vacancies for PHP,Shell Info Technologies Private Limited,Bengaluru/Bangalore,6-8years,Not Specified,Hiring Alert!! |    |    |   We have vacancies for Product based company |    |    |   PFB JD Details: |    |    |   Role : PHP  |    |    |   Experience:6 to 8 |    |    |   Location : Bangalore |    |    |   Notice Period :1Month Max |,Phpdeveloper|REST|Soap|HTML|CSS|Javascript|
Hiring _Automation Testing _Bangalore,Sun Technology Integrators Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,"We are looking for Sr. Automation Testing for Full Time. If you are interested in exploring this opportunity, revert to me with the following details with your latest resume.",AutomationTesting|Selenium|Java|RestApi|Jenkins|
Test Automation Engineer,Ethics Manpower Services,Bengaluru/Bangalore|Gurgaon/Gurugram,4-6years,Not Specified,• Basic understanding of networking (CCNA level) |   • Good understanding of Python |   • Good understand of REST API/Open API |   • Good understanding of ROBOT Framework |   • Work flow automation / BPM would be advantageous – good to have only |,RestApi|Python|RobotFramework|
Test Automation Engineer,Provance Business Consulting Private Limited,Bengaluru/Bangalore|Gurgaon/Gurugram,4-6years,Not Specified,• Basic understanding of networking (CCNA level) |  • Good understanding of Python |  • Good understand of REST API/Open API |  • Good understanding of ROBOT Framework |  • Work flow automation / BPM would be advantageous – good to have only |,RestApi|Python|RobotFramework|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"JAVA SELENIUM, REST API.REST ASSURED",Best infosystems Ltd,Bengaluru/Bangalore,4-5years,Not Specified,"JAVA SELENIUM, REST API.REST ASSURED",Selenium|Groovy|
Principal Engineer (GoLang) - I & II,Continuum Managed Solutions LLP,Bengaluru/Bangalore|Pune,4-12years,Not Specified,Principal Engineer (GoLang) - I & II,Java|DesignPatterns|Openstack|Golang|REST|
Technical Lead ASP.Net,ASquare Groups,Chennai,5-10years,Not Specified,"Excellent Job Opening For Technical Lead (ASP.Net) with strong knowledge in C#, ASP.Net & SQL Server, Rest API, Soap, Payment Gateway Integration, VAPT Test/fixes",XML-RPC|Asp.Net|DotNet|VB.NET|C#|SQLServer|Aspdotnet|RestApi|Soap|Json|REST|
Java Lead,Nanyata Software Solutions Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,"Looking for Java professionals with expertise in Java, Spring Boot, Hibernate, Rest API",Java|Springboot|Hibernate|RestApi|
Front end developer / Full stack engineer,Esn Technologies India Private Limited,Hyderabad/Secunderabad,2-7years,Not Specified,Build user friendly and modern SaaS applications using latest frameworks like Angular or React.,AngularReactRestAPIwebpacknodeTypeScriptJavaScript|
Senior Fullstack Developer,Global Technologies,Bengaluru/Bangalore,7-17years,Not Specified,8+ years of work experience in building Backends based on NodeJS. |  Should have developed REST based services running on Express server. |  Should demonstrate sufficient understanding of NoSql databases. Knowledge of multi-model databases will be an added,"""Node.JS""|Fullstack|REST|Nodejs|Nosql|"
JAVA9-JSP-REST,Best infosystems Ltd,Gurgaon/Gurugram,9-15years,Not Specified,"Java Server Pages (JSP), Frameworks and libraries - Java Servlets, Languages - Java 9, Architecture Concepts - REST, Architecture Concepts - Microservices |",Java9|Javaserver|Microservices|Rest|
