jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Facility Manager Required In Canada , Australia",Cloud Visa Immigration LLP,Australia|Canada,3-5years,4010000 - 5520000 INR,"overseeing and agreeing contracts and providers for services including security, parking, cleaning, catering. |  supervising multi-disciplinary teams of staff including cleaning, maintenance and security. |  managing budgets and ensuring cost-effectivenes.",FacilityManagement|ManagedServices|FacilityServices|Facilities|Housekeeping|FMS|Amc|AdminIncharge|Administration|
Restaurant Manager Required In Dubai,Cloud Visa Immigration LLP,Gulf,4-9years,4000000 - 5000000 INR,Call & Whats App to Ms.Pooja-9311529770 |   We are looking for a Restaurant Manager to lead all aspects of our business. You will deliver a high-quality menu and motivate our staff to provide excellent customer service.,RestaurantManagerAssistantRestaurantManager|CafeManager|ShiftManager|Hotel|HotelManager|OutletManager|
"Restaurant General Manager To Be Based in Canada, Australia",Esther Jeevitha (Proprietor of Morgan Techno India),Australia|Canada,2-7years,4550000 - 5050000 INR,|  Call & what's to Pooja-9311529770 |  Restaurant Manager to lead all aspects of our business. You will deliver a high-quality menu and motivate our staff to provide excellent customer service.,AssistantRestaurantManager|CafeManager|ShiftManager|HotelManager|RestaurantManager|OutletManager|
Hotel Manager,Travel Food Services Pvt. Ltd,Chennai,1-6years,250000 - 450000 INR,Requirement for the post of Hotel Manager.,HotelManager|HotelManagement|Restaurant|Resort|Bhm|Hospitality|RestaurantManager|
Restaurant Manager,Travel Food Services Pvt. Ltd,Bengaluru/Bangalore,8-15years,450000 - 550000 INR,Candidate with 8+years experience in Restaurant domain (preferred Indian/Multi-Cuisine Exposure),InterpersonalCommunicationSkills|
Restaurant Manager,Flight To Sucess Immigration Services Llp,Chennai,4-6years,300000 - 500000 INR,Required Restaurant Manager for Chennai Outlet,AssistantRestaurantManager|Hotel|HotelManager|ShiftManager|TeamHandling|F&bManagement|RestaurantManager|OutletManager|
Restaurant Manager  settle in Germany or Hongkong no ielts  9643599936,Adal Immigrations LLP,Germany|HongKong,0-5years,Not Specified,"Restaurant Manager are responsible for leading and managing restaurants. They may be responsible for different tasks such as restaurant marketing strategies, recruiting and hiring restaurant staff, training, overseeing food quality, developing menus",AssistantRestaurantManager|CafeManager|ShiftManager|Hotel|HotelManager|RestaurantManager|OutletManager|
Restaurant Manager Required Under Work Permit Visa,A V Immigration And Careers Consultancy Private Limited,Australia|Canada,2-7years,1500000 - 5000000 INR,"Will have the overall responsibility for directing the daily operations of a restaurant in the absence of Restaurant General Manager's, ensuring compliance with company standards in all areas of operation, including product preparation and delivery.",FoodQuality|CustomerService|HotelManagement|Hospitality|Bhm|Restaurant|Resort|RestaurantManager|
Restaurant Manager - Australia,A V Immigration And Careers Consultancy Private Limited,Australia,9-14years,1700000 - 3200000 INR,"CAFE AND RESTAURANT MANAGERS organise and control the operations of cafes, restaurants and related establishments to provide dining and catering services.",RestaurantManagement|Reservations|greetguests|RestaurantManager|
Restaurant Manager - Australia,Flight To Sucess Immigration Services Llp,Australia,3-8years,1700000 - 3200000 INR,"CAFE AND RESTAURANT MANAGERS organise and control the operations of cafes, restaurants and related establishments to provide dining and catering services.",RestaurantManagement|Reservations|greetguests|RestaurantManager|
