jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Ruby on Rails Developer,Aarav Consultancy,Mumbai|MumbaiCity|NaviMumbai|Thane,1-11years,Not Specified,Urgent opening for Ruby on Rails Developer for Mumbai Location,RorDeveloper|RubyRailsDeveloper|
Ruby Rails Developer,Define Labs,Noida|Pune,1-5years,100000 - 1500000 INR,We are looking for relevant experience in ROR (P.S : Python experience is not required) |   Experience in creating JSON based web services from ROR apps |   Experience in MVC architecture & Restful Web Services,TTD|RubyOnRails|Rails|Ruby|Git|Apache|PostgreSQL|WebTechnologies|RestfulWebServices|MvcArchitecture|
Technical support CAll Ruby@9972020040,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-3years,160000 - 360000 INR,"Excellent Soft Skills |    |   ·         Hardware/ networking/ Laptop/ desktop/ OS/ VPO/ Blackberry /or System, Product, Process Knowledge |    |   ·         Process Expert - Knowledge & Delivery in BPO/ Call Center/ Call Centre",Hardware|VPO|Product|ProcessKnowledge|ProcessExpert|Bpo|CallCenter|Technicalsupport|TechnicalSupportExecutive|Networking|Laptop|Desktop|Os|Blackberry|
Junior Ruby on Rails Developer,Encora Innovation Labs India Private Limited,Hyderabad/Secunderabad,3-7years,Not Specified,We are looking for candidates with proven exposure into Ruby on Rails.,"""ContinuousIntegration""|""reactjs""|RubyOnRails|Ruby|Sql|html|css|Git|Maven|Angular|"
Ruby on Rails,Avionic Consulting Solutions,Bengaluru/Bangalore,5-9years,Not Specified,"Experience with Ruby on Rails, along RSpec and Resque  |",RubyRails|object-orientedprogramming|RSpec|Resque|RubyOnRails|Ror|RubyRailsDeveloper|Javascript|Html5|Css3|
Ruby on Rails,White Horse Manpower Consultancy Private Limited,Ahmedabad,2-5years,Not Specified,Hands on experience in programming language ROR(ruby on rails) |  Contribute to the architecture and evolution of the Cloud platform. |  Find creative and elegant solutions to complex problems. |  Dealt with database performance issues and query optimizati,RubyOnRails|Ror|
Ruby on Rails Developer - US,White Horse Manpower Consultancy Private Limited,Hyderabad/Secunderabad,4-7years,Not Specified,|   |  We are looking for a 'Software Engineer' with experience developing large-scale Ruby on Rails applications.,"""rubyonrails""|""applicationdeveloper""|Sql|Html5|CSS|Javascript|Reactjs|Vuejs|AWS|Heroku|"
Internet Support Process for Bpo Call Ruby,White Horse Manpower Private Limited,Bengaluru/Bangalore,0-4years,Not Specified,Inbound Customer Care Job(Call Center / Call Centre / BPO) and Handling customers and providing solution,CustomerService|CallCentre|CallCenter|Bpo|Bangalore|csr|TSR|scsr|stsr|
HR Recruiter for Recruitment Company Call Ruby@8884572014,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-2years,100000 - 250000 INR,". Call the candidates and Conduct interviews.2. Coordinate with Human Resources for appropriate staffing levels, Schedule and conduct shift meetings3. Responsible to meet corporate requirement goals the MNC BPO's of Industry",Recruitment|Interviews|Staffing|Recruiter|Sourcing|Hiring|Screening|InterviewScheduling|
Ruby on Rails Developer,White Horse Manpower Private Limited,Hyderabad/Secunderabad,4-7years,Not Specified,We are looking for a 'Software Engineer' with experience developing large-scale Ruby on Rails applications.,"""rubyonrails""|""applicationdeveloper""|Sql|Html5|CSS|Javascript|Reactjs|Vuejs|AWS|Heroku|"
Technical Support voice process Bpo CAll Ruby@9886188040,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,2-6years,160000 - 400000 INR,"·         Excellent Soft Skills·         Hardware/ networking/ Laptop/ desktop/ OS/ VPO/ Blackberry /or System, Product, Process Knowledge·         Process Expert - Knowledge & Delivery in BPO/ Call Center/ Call Centre",CustomerSupport|CustomerService|CustomerCare|TechnicalSupport|TechnicalSupportExecutive|
Windows 10 Exchange Server Technician Call Ruby 8553281886,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,3-8years,300000 - 500000 INR,"1, Engineering graduate, Good communication, Analytical skills, knowledge on windows architecture, 2, Knowledge on Server Technologies, Hands-on on AD, DNS, DHCP, File Server, Hyper-V, VMWare, Antivirus Infrastructure",Technician|AD|Hyper-V|AntivirusInfrastructure|WindowsArchitecture|Sql|Dns|DHCP|FileServer|Vmware|Server|ExchangeServer|
