jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Business Development / Sales and Marketing / Sales Engineer / Marketing Engineer / Sales,Mahathi Infra Services Private Limited,Hyderabad/Secunderabad,2-5years,Not Specified,"We are looking for a young, active, enthusiastic person to join our Business Development Team in H.O. Hyderabad the position in discussion is that of a Engineer- Business Development",MarketingEngineer|IndustrialSales|SeniorSalesEngineer|BusinessDevelopment|Marketing|Sales|MarketDevelopment|ClientAcquisition|SalesEngineer|
Sales & Marketing Executive Role-,Manisha Jain (Proprietor M/S Mahima Enterprises),Hyderabad/Secunderabad,2-3years,180000 - 200000 INR,"Mahima Enterprises is a business that distributes to furnishing stores, architects, interior designers, custom builders across Andhra Pradesh and Telangana. Looking for a Master’s/Bachelor's Degree in Marketing and a minimum 2-3 years of full cycle.",MarketingExecutive|SalesRepresentative|Marketing|Businessdevelopment|Sales|
"MBA Fresher  MBA  MBA Marketing  Sales ,Sales Officer , Marketing, Agency Manager, unit Manager,",Inspire People Consultancy,Delhi|Surat,0-5years,Not Specified,"MBA Fresher  MBA  MBA Marketing  Sales ,Sales Officer , Marketing, Agency Manager, unit Manager,",Sales|Marketing|Businessdevelopment|SalesMarketing|Insurance|Telesales|DirectSales|MarketDevelopment|InstitutionalSales|CorporateSales|
Manager Sales & Marketing --Hyderabad,Buddhi Consultant,Hyderabad/Secunderabad,3-12years,Not Specified,"Title : Deputy Manager to Manager |  Domain : BD-Sales // APIs & Intermediates /NCE Business-CDMO/Commercial |  Pre-requisite : Candidate to have experience ( 6-8 years) in Sales & Marketing of Intermediates, APIs, CRAMS/CDMO |",Intermediates|CRAMS|CDMO|Api|
Vice President Sales & Marketing,Ultra Media & Entertainment Private Limited,Delhi,20-30years,Not Specified,"Multiple Openings for the Position, Vice President Sales & Marketing, with Our Client located at Delhi/ NCR.",VicePresident|VicePresidentSales&Marketing|steelpipes|tubemarket|ERWBlack|Galvanize|HollowSectionpipes|Tubes|TradeMarketing|OemSales|
Assistant Manager – Sales and Marketing,VHB Medisciences Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,3-8years,Not Specified,Urgent Opening for Assistant Manager – Sales and Marketing - Ultra Media & Entertainment,Sales|Marketing|Sales&Marketing|Selling|Fmcg|Linkedin|Retail|
"""Sales/marketing Coordinator for Pharmaceutical Company based at Kandivali",Sanchit Bansal (Proprietor of Powergen Earthmovers),MumbaiCity,1-11years,Not Specified,Coordination- Sales and Marketing- Freshers can also apply,Coordination|Coordinator|MarketingCoordinator|MarketingCoordination|SalesCoordination|SalesCoordinator|
Sales and Marketing,Orissa Doot Private Limited,Meerut|Saharanpur,1-3years,Not Specified,"Sales and Marketing Job for sales of ESCORTS Backhoe Loaders (JCB), Cranes (hydra), Safe Cranes and Road Rollers",SalesAndMarketing|Marketing|BusinessDevelopment|Sales&Marketing|Branding|Selling|Advertising|
Sales & Marketing,Saavaj Resort,Bhubaneswar,0-2years,Not Specified,"Opening for Sales & Marketing, leading FMCG/IT client of Orissa Doot Pvt.Ltd. in Odisha location",Sales&Marketing|Bde|Marketing|DirectSales|Bdm|
"Sales Manager - Hotel sales, Marketing Executive",Positive Metering Pumps India Private Limited,Gir,1-4years,140000 - 300000 INR,"One should be capable of responding to emails, calls and direct sales. Resort will provide food and stay for you.",HotelSales|HotelBookings|BanquetSales|Marketing|BusinessDevelopment|RoomSales|OTA|
