jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Corporate Sales Manager,Q Visas Immigration,Canada,2-7years,4010000 - 5000000 INR,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business, business development, project management",AssistantSalesManager|MarketingManager|BusinessDevelopmentManager|CorporateSalesManager|SalesManager|SalesDevelopmentManager|
Hiring For Sales Manager | Canada,Q Visas Immigration,Australia|Canada,2-7years,4010000 - 6010000 INR,Determines annual unit and gross-profit plans by implementing marketing strategies,AssistantSalesManager|MarketingManager|UnitManager|BusinessDevelopmentManager|AgencyManager|SalesManager|SalesDevelopmentManager|
Sales Manager Business development manager Sales Manager  Business Development Executive,I Tech Solutions,Delhi|Mumbai,1-11years,100000 - 650000 INR,"Huge Work from Home Opportunities for a client based in delhi, Salary upto 6.5 lacs",BusinessDevelopmentManager|Relationshipmanager|BD|Sales|AssistantSalesManager|
Corporate sales managers Req in Canada & Australia,I2canz Outsourcing Private Limited,Australia|Canada,2-8years,3540000 - 4530000 INR,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business and wholesale and retail sales.",CorporateSalesManager|AssistantSalesManager|MarketingManager|BusinessDevelopmentManager|UnitManager|AgencyManager|SalesManager|SalesDevelopmentManager|
Business development officers & Marketing Head in Canada / Australia Under PR,I2canz Outsourcing Private Limited,Australia|Canada,2-10years,4029999 - 5040000 INR,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business and wholesale and retail sales. They are employed by commercial",Sales|AreaSalesManager|MarketingManager|BusinessDevelopmentManager|ManagerOperations|sales&businessdevelopmentmanager|SalesManager|salesexecutive|
Sales Manager required in canada,Cloud Visa Immigration LLP,Canada|NewZealand,3-8years,6000000 - 7000000 INR,call & whats app to Pooja-9311529770 |   |  Sales Manager who will be responsible for supervising and organizing our sales team.,AssistantSalesManager|BusinessDevelopmentManager|SalesManager|SalesDevelopmentManager|
Sales Manager Required in Canada,Vinfinity Immigration LLP,Canada|Singapore,3-5years,3800000 - 5200000 INR,"Sales managers lead a sales team by providing guidance, training and mentorship, setting sales quotas and goals, creating sales plans, analyzing data, assigning sales territories and building their team.",BusinessDevelopmentManager|MarketingManager|SalesManager|SalesDevelopmentManager|
"Designation – Executive operations (CSA) / Sr Executivie  Consultant needs to handle Queries, Reques",2COMS Consulting Private Limited,Kolkata,0-1years,Not Specified,"Designation – Executive operations (CSA) / Sr Executivie |   |  Consultant needs to handle Queries, Requests and Complaints from customers tactfully, provide excellent customer experience at every interaction and ensuring end to end resolution by taking co",BPOExecutive|EnglishLanguage|MarketingManager|BusinessDevelopmentManager|UnitManager|AssistantSalesManager|AgencyManager|SalesManager|SalesDevelopmentManager|
"MBA Fresher, Sales Agency manager manager sales office ,unit manager, Unit Manager , Insurance,",Vinfinity Immigration LLP,Kolhapur|Akola,0-5years,Not Specified,"MBA Fresher, Sales Agency manager manager sales office ,unit manager, Unit Manager , Insurance,",Freshers|Graduates|GraduateFresher|Undergraduates|AssistantSalesManager|BusinessDevelopmentManager|UnitManager|AgencyManager|SalesManager|SalesDevelopmentManager|
Business development officers & Marketing Head required for Canada,Cloud Visa Immigration LLP,Canada|Singapore,2-10years,3650000 - 5060000 INR,"Business development officers and marketing researchers and consultants conduct research, formulate policies and manage programs to stimulate industrial and commercial business investment or tourism in urban and rural areas, or to promote commercial",Sales|AreaSalesManager|MarketingManager|BusinessDevelopmentManager|ManagerOperations|Marketing|SalesandBusinessDevelopmentManager|SalesManager|SalesExecutive|
Hiring For Sales Manager | Canada,Adal Immigrations LLP,Australia|Canada,2-7years,4050000 - 5050000 INR,Build and maintaining client relations |  Work with internal departments such as the Marketing or Product teams to engage audiences and clients more deeply |  Meet and exceed KPIs and sales targets |  Possess deep knowledge of business product offering,BusinessDevelopmentManager|AssistantSalesManager|MarketingManager|UnitManager|SalesManager|SalesDevelopmentManager|
Sales Manager Hiring for Abroad/Canada/Australia/Germany/New Zealand,first india hr solution,Australia|Canada,2-7years,1600000 - 5500000 INR,Create and execute a strategic sales plan that expands customer base and extends global reach.,BusinessDevelopmentManager|AssistantSalesManager|MarketingManager|UnitManager|SalesManager|SalesDevelopmentManager|
Sr Project Manager - Gold Loan ( Gurgaon ) Sales / Business Development Job call me 9619022384,first india hr solution,Ahmedabad|Gurgaon/Gurugram,3-6years,Not Specified,Sr Project Manager - Gold Loan ( Gurgaon ) Sales / Business Development Job call me 9619022384,AssistantSalesManager|MarketingManager|BusinessDevelopmentManager|UnitManager|AgencyManager|SalesManager|SalesDevelopmentManager|
Relationship Manager – HDFC Bank Tele Channel (Hyderabad) call me 9619022384,Adal Immigrations LLP,Hyderabad/Secunderabad,1-1years,Not Specified,Relationship Manager – HDFC Bank Tele Channel (Hyderabad) call me 9619022384,AssistantSalesManager|MarketingManager|AgencyManager|UnitManager|BusinessDevelopmentManager|SalesManager|SalesDevelopmentManager|
Sales Manager/PR Visa/Canada/Australia/Hongkong,first india hr solution,Canada|NewZealand,2-7years,2000000 - 5000000 INR,Create and execute a strategic sales plan that expands customer base and extends global reach.,AssistantSalesManager|MarketingManager|BusinessDevelopmentManager|UnitManager|AgencyManager|SalesManager|SalesDevelopmentManager|
Sales Manager - Bangalore (Pitch Rupeek's benefit & explain Rupeek’s offerings) 9619022384,Ozone HR Services,Bengaluru/Bangalore,0-1years,Not Specified,Sales Manager - Bangalore (Pitch Rupeek's benefit & explain Rupeek’s offerings) 9619022384,AssistantSalesManager|MarketingManager|AgencyManager|UnitManager|BusinessDevelopmentManager|SalesManager|SalesDevelopmentManager|
"""Agency Manager""   ""Agency Development Manager""  ""Agency Sales Manager""  ""Agency Sales""",Pear Visa Immigration Services Private Limited,Bhopal|Bhubaneswar,1-10years,Not Specified,ANY LOCATION Enable achievement of key business outcomes • Build a quality Agency by focusing on quality of hire and skilling  • Ensure adherence to all statutory and compliance requirements  |,"""AgencyManager""|BusinessDevelopmentManager|Lifeinsurance|Seniorsalesmanager.|AgencyDevelopmentManager|BusinessDevelopment|SalesManager|SalesDevelopmentManager|"
"Sales & Marketing Officer, Business Development Manager required CANADA & AUSTRALIA",Pear Visa Immigration Services Private Limited,Australia|Canada,2-7years,5000000 - 8520000 INR,Contribute in the implementation of marketing strategies |  Support the marketing manager in overseeing the dept optns |  Plan advertising & promotional campaigns for products |  Liaise with stakeholders and vendors to promote success |  Conduct market research,MarketingManager|BusinessDevelopmentManager|Sales&Marketing|SalesSupportManager|MarketingOfficer|sales&BDO|salessales&businessdevelopmentofficer|Sales|SalesCoordinator|
Corporate Sales Manager Required For CANADA & AUSTRALIA,Nexplace Info Private Limited,Australia|Canada,2-7years,1510000 - 4550000 INR,"Corporate sales managers plan, organise, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business and wholesale and retail sales.",AreaManager|Sales&Marketing|corporatesales|businessdevelopmentmanagement|retailssales|SalesCoordination|projectsalesmanager|MarketingManager|MarketingCoordinator|wholesales|SalesManagement|SalesDevelopmentManager|salesexecutive|
Agency Manager,Square Yards Consulting Private Limited,Chennai|Coimbatore,1-3years,330000 - 330000 INR,Agent recruitment :  |   |  - Develop various sources of agent hiring & build a team of agent & agent pipe line |   |  - Conduct activity to enhance existing agent footfall to generate fresh referral for new agent hiring |   |  - Recruit quality agents as per the,AgencyManager|AgencySales|Lifeinsurance|BusinessDevelopmentManager|Seniorsalesmanager.|UnitManager|SalesManager|SalesDevelopmentManager|
Inside Sales Lead Generation Representative - Internet/ Solutions Selling Environment,Perfect Personnel,Chennai,1-2years,180000 - 300000 INR,Responsible for the development of the lead generation program and nurture outbound / inbound sales lead campaigns.,SalesProfessional|insidesalesBusinessDevelopmentManager|AssistantSalesManager|MarketingManager|LeadGeneration|Telemarketing|SalesManager|SalesDevelopmentManager|
SALES ASSOCIATE- BUSINESS DEVELOPMENT EXECUTIVE- SALES MANAGER -RELATIONSHIP MANAGER -,Ozone HR Services,Gurgaon/Gurugram|Hyderabad/Secunderabad,1-2years,Not Specified,Square Yards is Hiring for Multiple Sales Profile,"""SalesExecutive""|""fieldsales""BD|"
Business Development Manager,Impactica Solutions (Opc) Private Limited,Mumbai|MumbaiCity|Thane,3-10years,Not Specified,"•	Establish positioning, identify target audiences, and develop marketing plans with specific objectives across different channels and segments |  •	Lead the execution of marketing programs from start to finish, leveraging internal support and driving c",BusinessDevelopmentManager|AssistantSalesManager|SalesOfficer|SalesManager|SalesDevelopmentManager|
