jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Distribution Sales / Distribution sales Head  /Distribution Management,Goodrich Gasket Private Limited,Chennai,5-10years,Not Specified,To develop and grow Goodrich Gasket's distributor sales in line with the company’s objectives.,DistributionSales|ChannelSales|DistributorsSales|ChannelSales|Businessdevelopment|DistributionHead|Marketing|Selling|
Sales Order Management,Golden Opportunities Private Limited,Bengaluru/Bangalore,8-15years,Not Specified,Looking for candidates with minimum 8+ years of experience in complete process knowledge on O2C Invoicing billing and Dispute Management,OrderManagement|salesorderreconciliation|ordermodification|
Work from home for house wife/student/freelancers for everyone and earn up-to 5k per week,Global Multilingual Private limited,Ahmedabad|Kolkata,0-3years,210000 - 370000 INR,Most Important: Computer / Laptop Or Android Phone Is Compulsory . |      Basic Computer Knowledge. |      Payments -Weekly/Monthly |      Age Limit 18 to 45 |      No Work Pressure |      No Time Bound |  Part Time Jobs |,DataEntry|Dataentryoperator/freshers|housewifes|graduate/postgraduate/ba/bca/bba/bcom/mba/mca/mtech/workingprofession/IT/nurses|ComputerOperator|
Hiring IT sales manager ( software and Hardware product),Eteam Info Services Private Limited,Thailand|Vietnam,1-5years,Not Specified,Engage with unmanaged/managed accounts on Microsoft CRM to generate revenue post executing the compliance process flow sales IT product,EnterpriseTechnologySales|EnterpriseAccountManagement|ItSales|softwaresalesmanagement|salesnetworking|
Operation Analyst,HDFC Life Insurance,Hyderabad/Secunderabad,3-8years,Not Specified,"Role: Operations Analyst |  Proficient in Excel  |  Experience in Facilitation |  Project Management |  Data Management |  Strong Communication skills (optional, but preferred) |  Analysis of survey data |  Learning & Development experience",ProjectManagement|operationanalyst|Excel|DataManagement|
"any sales and marketing can apply for this post , Fresher MBA can apply for unit/ agency manager,",Os Consultancy,Mumbai|MumbaiCity|NaviMumbai|Thane,0-5years,Not Specified,"any sales and marketing can apply for this post , Fresher MBA can apply for unit/ agency manager,",SalesOfficer|Marketing|Relationshipmanager|Selling|Sales|Insurance|DirectSales|AccountManager|BD|Bde|Bdm|
Deputy Manager – Distribution Planning & Program Management (Sales Mobility),Candid Guard Services Private Limited,Mumbai,2-8years,Not Specified,Looking for Deputy Manager – Distribution Planning & Program Management,DistributionPlanning|ProgramManagement|SalesManager|Brd|
Work From Home/Freelancing/Home based,Candid Guard Services Private Limited,Chennai|Hyderabad/Secunderabad,0-3years,220000 - 340000 INR,Most Important: Computer / Laptop Or Android Phone Is Compulsory . |      Basic Computer Knowledge. |      Payments -Weekly/Monthly |      Age Limit 18 to 45 |      No Work Pressure |      No Time Bound |  Part Time Jobs |,DataEntry|Dataentryoperator/freshers|housewifes|graduate/postgraduate/ba/bca/bba/bcom/mba/mca/mtech/workingprofession/IT/nurses|ComputerOperator|
Part time and home-based work for everyone and earn upto 6k per week,Candid Guard Services Private Limited,Bengaluru/Bangalore|Chennai,0-3years,220000 - 450000 INR,"Urgently required Data Entry Operator,computer Operator  |       Computer / Laptop Or Android Phone Is Compulsory .  |       Basic Computer Knowledge.  |       Freshers are Welcome  |       No Target  |       No Work Pressure  |       No Time Bound  |       Part Time Jobs",Freshers|Bca|Bcom|Bba|btech|Mba|Nurse|workingprofessional|housewives|Graduate|PostGraduate|Mca|
"Area Sales Manager (Courier,Transportation,Freight,Logistics industry)",Candid Guard Services Private Limited,Ahmedabad|Chennai,4-6years,520000 - 720000 INR,Position: Area Sales Manager |   |    Area Sales Manager report to RSM/ ARSM.,CommunicationSkills|B2CSalesMarket|SurveyArea|SalesManagement|FieldSales|CustomerRetention|B2bSales|SalesManagement|CorporateSales|EnterpriseSales|Salesmarketing|Corporatemarketing|CorporateSelling|
