jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Sales Professional  Sales Representative  Sales Representative  Sales Executives  Sales Executive ,",Hi Tides Consulting,Bengaluru/Bangalore,1-2years,140000 - 240000 INR,1.	MBA Freshers – 2 positions – 1 male & 1 female (Preferably with science background in graduation).  Smart with excellent communication skills.,ModemDeveloper|WiFiNetworks|MobileTechnology|MobileSoftware|Modem|
Customer Sales Representative,Coral Bling Services Private Limited,Pune,1-2years,150000 - 200000 INR,Outbound Calls  |  Domestic BPO |  Call Center |  Outbound Sales |  Tele calling |  Tele sales,VoiceProcess|CallCenter|Outbound|TelesalesCalling|VoiceCalling|TelemarketingCalling|Bpo|ColdCalling|OutboundSales|
Sales Exec/ Sales Representative,Organic Chamba LLP,OtherIndia,2-7years,80000 - 120000 INR,"To promote, distribute, sell company products in Food and beauty categories to whole sale, retail and institutions. Earn more commission on sales than a fixed salary. More the sale more is the earning, SKY is THE LIMIT, no upper ceiling.",Aconfidentpersonwhobelievesinhimself/herselfandiscapableofselling.|
Sales Representative (FMCG),Orissa Doot Private Limited,Bhubaneswar,0-2years,Not Specified,Opening for Sales Representative (FMCG) in Odisha location,SalesRepresentative|Fmcg|Marketing|BusinessDevelopment|
Technical Sales Representative,Freelancer - Purushottam Munjajirao Dhutraj,Chennai|Delhi,1-11years,2210000 - 3940000 INR,Technical sales representatives promote and sell technical or scientific products for an organization.,TechnicalSalesRepresentative|TechnicalMarketing|IndustrialSales|BusinessDevelopment|Marketing|Tech|TechnicalSales|SalesEngineer|PreSales|
Sales Enablement Representative,Regalix India Private Limited,Hyderabad/Secunderabad,0-1years,300000 - 400000 INR,"A food delivery expert across US (Synonymous to Swiggy and Zomato in India), looking to onboard new merchants on their platform to increase market penetration. Domain experience required (But not restricted to)- Travel, Entertainment, Insurance.",SalesRepresentative|ColdCalling|
Sales Representative,Ritustones Private Limited,Delhi,1-5years,Not Specified,"Visit new leads and sell/pitch our product to them in person, in your territory. Tell the prospective clients about the company and its products.",Customerservice|MeetingSalesGoals|ClosingSkills|TerritoryManagement|prospectingskills|Negotiation|self-confidence|ProductKnowledge|PresentationSkills|ClientRelationships|MotivationForSales|
WE R H irning for voice process,Skylar Consultancy,Bengaluru/Bangalore,3-4years,150000 - 250000 INR,Banking Sales Process,SalesRepresentative|
Inside Sales Representative JD,MyAccounts Online Softwares Private Limited,Hyderabad/Secunderabad,1-3years,Not Specified,We are looking for an Inside Sales Representative to act as the liaison between our Marketing and Sales teams and also handle low value sales from the office itself. Your role will be to seek generate leads using various channels.,ProvenworkexperienceasaInsideSalesExecutiveorsimilarrole.Hands-onexperiencewithmultiplesalestechniques(includingtelecalling/Emailinganddigitalselling).Trackrecordofachievingsalesquotas|
Sales Executive - Field Sales - Yashwanthpur Industrial Suburb -Bangalore,Quick Solutions,Bengaluru/Bangalore,1-3years,200000 - 350000 INR,Only Male candidates required. Graduation is must. Min 1-2yrs for Sales Business development experience is must. Driving License with Vehicle is mandate. Experience in the B2B domain. Maintaining and Increasing sales of your company's products,SalesOfficer|Marketing|Selling|Bde|BD|Sales|SalesExec/SalesRepresentative|LeadGeneration|
Hardware Sales Executive,Team Management Services,Pune,5-7years,Not Specified,Deal in day-to-day customer selling for various hardware products,DirectSales|Hardware|IT|SalesExecutive|Desktop|Laptop|
Sales Executive,Dsoft Innovations LLP,Hyderabad/Secunderabad,0-5years,150000 - 300000 INR,"Good communication skills, MS office proficiency, Able to read or write in English, Hindi and Local language, willing to travel, should be able to manage and close calls independently. candidates required preferable from Hotel industry/FMCG",Sales|BD|Marketing|DirectSales|SalesExecutive|
Inside Sales Representative,Freelancer - Purushottam Munjajirao Dhutraj,Ahmedabad,1-8years,100000 - 300000 INR,Job Opening for the role of Inside Sales Representative profile in Ahmedabad,InsideSales|OutsideSales|Telemarketing|Telesales|TeleMarketingExecutive|Telephonicsales|VoiceCalling|insidesalesexecutive|TelesalesExecutive|CustomerCareExecutives|Bpo|
Sales Executive Sales Manager Sales Engineer Sales Representative,SnapHunt Pte Ltd,Bengaluru/Bangalore|Kolkata,2-12years,1939999 - 3720000 INR,Sales Executives drive a company's product and/or service sales by actively seeking out prospects and pursuing sales opportunities.,Marketing|DirectSales|Businessdevelopment|Selling|Sales|Insurance|Advisor|BusinessDevelopmentManager|MarketingManager|AssistantSalesManager|AgencyManager|UnitManager|SalesExecutive|SalesManager|SalesDevelopmentManager|
