jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
SAS Programmer,Neugene International Inc,Bengaluru/Bangalore,3-5years,Not Specified,"•	Perform, plan co-ordinate and implement the following for complex studies: (i) the programming, testing, and documentation of statistical programs for use in creating statistical tables, figures, and listing and (ii) the programming of analysis dat",ADAM|Listing|figures|Efficacy|SASProgrammingEnvironment|ShellDevelopment|Validation|Sdtm|Tables|Macro|
Hiring Digital marketing Analytic - SAS,Junaati Technologies Private Limited,Hyderabad/Secunderabad,1-4years,440000 - 700000 INR,The candidate will be part of Digital marketing Analytics team and will be responsible for taking project requirements & project execution and driving thought leadership & Innovation.,"""SAS""|""Digital""|""adobe""|""Omniture""|""Market""|"
SAS Administrator,2COMS Consulting Private Limited,Bengaluru/Bangalore,8-13years,Not Specified,We are looking for SAS Administrator @Bangalore,Skills:SASAdmin|
SAS Enterprise Miner,Golden Opportunities Private Limited,NaviMumbai,3-5years,Not Specified,Immediate requirement for SAS Enterprise Miner (L3) for Wipro at Belapur Navi Mumbai Location |   |  Role:  SAS Enterprise Miner (L3) |  Experience  : 4+ years |,saseminerL3|SasCertification|SasMacros|
Clinical SAS Programmer,J J Electrical Industries,Bengaluru/Bangalore|Mumbai,4-12years,Not Specified,Candidates must have minimum of 4 years of statistical programming in clinical domain,ClinicalSASProgrammer|ADAM|SasProgrammer|SAS|Sdtm|
SAS AML Technical Analyst,Junaati Technologies Private Limited,Bengaluru/Bangalore,6-15years,Not Specified,•	SAS AML environment Admin & Programming knowledge (BASE SAS & Advance SAS)  & SAS AML 7.1 - Mandatory |    •	Oracle 12c -  PL/ SQL – Mandatory |    •	AML domain knowledge  |    •	Basic Unix command |     |,SAS|Aml|
"We are looking for SAS Admin,putty,base sas",Acute Informatics Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,10-14years,Not Specified,"Tot exp:10 |  location:Any location |   |  We are looking for SAS Admin,putty,base sas |",WearelookingforSASAdmin|Putty|BaseSas|
SAS Developer,Macropace Technologies,Bengaluru/Bangalore,5-8years,Not Specified,Urgent Opening for the post of SAS Developer at Bangalore,SASEnterpriseGRC|SasDi|
SAS Developer,Macropace Technologies,Bengaluru/Bangalore,2-7years,Not Specified,Sas Developer,SASDeveloper|
"sas lead,sas techi]cal lead",Blucognition Private Limited,Bengaluru/Bangalore,8-11years,Not Specified,SAS Technical lead,Lead|TeamLead|
Manager Analytics QuadPay,Clinasia Labs Private Limited,Bengaluru/Bangalore|Pune,5-7years,Not Specified,Looking for Manager Analytics QuadPa,AnalyticalReports|StatisticalAnalysis|SAS|Sql|Python|
Senior Clinical SAS Programmer-SDTM/CDISC Expert,2COMS Consulting Private Limited,Hyderabad/Secunderabad,6-12years,Not Specified,Seeking a Senior Clinical SAS Programmer,ClinicalSASProgrammer|ClinicalTrials|Mapping|ClinicalSasProgramming|
Hiring sas Phython Developer in a Leading MNC,Encora Innovation Labs India Private Limited,Delhi,2-5years,200000 - 800000 INR,"need Phython developer who have sas, sql skill set |",Python|Scripting|Bash|Php|
SaaS Architect - Golang,Star Tech,Bengaluru/Bangalore,5-10years,Not Specified,"Minimum of 5 years of architect or tech lead experience with customer-facing, largescale, web-based applications. Overall 7+ years of experience.",SASArchitect|SaaSArchitect|AWS|Gcp|Golang|Microservices|SAS|
