jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Recruiter,Exertia Consulting,Bengaluru/Bangalore,1-4years,Not Specified,Looking for Recruiter,Sourcing|ScreeningResumes|Recruiter|RecruitmentExecutive|
Urgent Openings for HR Recruiter Day Shift call Rina,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-2years,Not Specified,Call the candidates and Conduct interviews.,HrRecruiter|Hiring|Staffing|Recruitment|Sourcing|Screening|InterviewScheduling|
HR Executive - Banking Sector ( Female ),Aspire Group of Services,Lucknow,0-1years,140000 - 270000 INR,Roles and Responsibilities |   |   |  The candidate will be part of the Human Resources (HR) function and will be responsible for a wide variety of tasks within an organizational structure. |  The position reports to the Head Human Resources of India Operations,ScreeningResumes|Recruitment|Staffing|Hiring|Hr|Resourcing|
Recruitment Executive,Corient Business Solutions Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,1-3years,100000 - 200000 INR,"We are looking for an experienced and highly motivated Recruiter to join our company, you will be responsible for finding, sourcing, and hiring talent with the goal to full-fill company's hiring needs.",Screening|Sourcing|Recruitment|BulkHiring|Staffing|Recruiter|HrRecruitment|
Spot Offers for HR Recruiter / Sourcing Specialist for BPO Hiring,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-2years,Not Specified,"Source and recruit candidates by using databases, social media,Call the candidates and Conduct interviews.",Recruitment|HrRecruiter|SourcingSpecialist|BPOHiring|Hiring|Staffing|Screening|InterviewScheduling|
hr recruiter,Provance Business Consulting Private Limited,Bengaluru/Bangalore,4-5years,Not Specified,Opportunity for HR RECRUITER .exp : 4 to 5,Sourcing|Screening|interviewscheduling|feedbackanalysis|offerdocumentation|Postofferfollowup|
OPENING FOR RECRUITER /SR RECRUITER  FOR MUMBAI LOCATION,Ambe Consultancy Services Private Limited,MumbaiCity|NaviMumbai,8-15years,Not Specified,"RECRUITER ,HEADHUNTER FOR UNDERGROUND TUNNEL PROJECT ,METRO RAILWAY EPC PROJECTS",RECRUITER|HEADHUNTING|Sourcing|SCREENINGGlobalsourcing|
Technical Recruiter | Work From Home | Call to Schedule your Interview,Techno-comp Computer Services Private Limited,Hyderabad/Secunderabad,3-10years,Not Specified,"We are looking for an experienced Tech Recruiter to join our team and help us recruit top IT talent. If you have at least 3 years of relevant experience as a technical recruiter and you want to take your career to the next level, you might be the per",SourcingScreening|
Opening for US IT Recruiter Immediate Joining,White Horse Manpower Private Limited,Bengaluru/Bangalore,0-3years,200000 - 400000 INR,We are currently looking for US IT Recruiter for KPOs and BPOs in Bangalore.Work timings will be rotational • 6 months and above experience of US IT Recruitment.• Hands-on experience in End-to-End Recruitment process.,UsStaffing|UsRecruitment|Hiring|Sourcing|Screening|InterviewScheduling|UsItRecruiter|
HR Recruiter for Recruitment Company Call Ruby@8884572014,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-2years,100000 - 250000 INR,". Call the candidates and Conduct interviews.2. Coordinate with Human Resources for appropriate staffing levels, Schedule and conduct shift meetings3. Responsible to meet corporate requirement goals the MNC BPO's of Industry",Recruitment|Interviews|Staffing|Recruiter|Sourcing|Hiring|Screening|InterviewScheduling|
Hiring Graduate /MBA freshers For HR Recruiter / HR Executive,Aspire Group of Services,Lucknow,0-1years,130000 - 280000 INR,Key skills required: |      |     Proven customer support experience or experience as a client service representative |     Excellent communications skills |     Ability to listen and active problem solving skills |     Good interpersonal skills |     Ability to handle pressure,HrExecutive|Hr|Staffing|Hiring|Resourcing|Screening|
IT Recruiter Hiring @FCS Software Solutions (Night Shift),FCS Software Solutions Limited,Noida,0-3years,Not Specified,"Hi, |              |           FCS Software Solutions is hiring for Technical Recruiters  |           US staffing (Night shift)  |           Experience : 0.6 Months - 3 Years |               |",ItRecruiter|Hiring|TalentAcquisition|Staffing|Recruitment|Sourcing|Screening|InterviewScheduling|
IT Recruiter,Madhees Techno Consulting Private Limited,Hyderabad/Secunderabad,1-3years,Not Specified,"Job Description : |   We are hiring technical recruiters to join the team of recruiters. The best one would be responsible for calling IT candidates about career opportunities, matching candidates with open positions, and filling job needs for our client",ItRecruiter|Screening|Sourcing|
Team Lead - Sourcing,Randstad Offshore Services Private Limited,Hyderabad/Secunderabad,4-6years,700000 - 1000000 INR,This is a Team Lead role. Looking for someone who can join immediately.,Screening|Sourcing|Recruitment|TeamHandling|
RECRUITERS,Provance Business Consulting Private Limited,Bengaluru/Bangalore,0-2years,Not Specified,Recruiters  |  Location-Bangalore |  Exp-0to 2,ScreeningResumes|SourcingProfiles|
HR Executive - Fresher/Experience - Lucknow,Aspire Group of Services,Lucknow,0-1years,110000 - 229999 INR,Partnering with hiring managers to determine staffing needs. |   Screening resumes. |   Performing in-person and phone interviews with candidates |   Must be a Graduate. |   Minimum 0 -1 years of experience as HR Executive |    |,Screening|RecruitmentHR|Staffing|Hiring|
US IT Recruiter,Spin Analytics and Strategy (OPC) Private Limited,Hyderabad/Secunderabad,3-6years,Not Specified,3 yrs of experience in 'US Recruitment' in either IT or Engineering field |  Must be willing to work in night shifts |  Must have Sound knowledge on IT and Technical concepts |  Qualified candidate should have understanding of US staffing hiring process (for,Screening|W2|UsStaffing|UsRecruitment|C2C|UsItRecruiter|
Junior US IT Recruiter,Turning Point,Pune,1-4years,Not Specified,Looking for Junior US IT Recruiter,Sourcing|Screening|ColdCalling|InterviewScheduling|Hr|Recruiter|UsItRecruiter|
URGENTLY REQUIREMENT IN MNC COMPANY,Career Mantra Management Services,Pune|Nagpur,0-1years,130000 - 220000 INR,"Candidate should have knowledge of computers, MS Office (Excel & Word ). |  All Company Production Report Entry in SAP. |  Monitoring packing material stock and make PR of required material",Administration|FrontDesk|Telephone|Screening|TravelArrangements|FrontOffice|ComputerOperator|
Technical Recruiter,Turning Point,Hyderabad/Secunderabad,1-3years,Not Specified,"|  We are looking for a deadline-focused Technical Recruiter to be responsible for the sourcing, screening, and hiring of technical specialists to fill IT positions. |",Sourcing|Screening|Technologyhiring|Hiring|
Senior US IT Recruiter,White Horse Manpower Consultancy Private Limited,Pune,5-15years,Not Specified,Looking for Junior US IT Recruiter,Sourcing|Screening|ColdCalling|InterviewScheduling|Hr|Recruiter|UsItRecruiter|
HR Executive for White Horse Manpower P Ltd immediate Joining Direct Walkin Bangalore Call Ruby,Hi Tides Consulting,Bengaluru/Bangalore,0-3years,Not Specified,"Hi, |       We are looking for Some Dynamic Personalities for our HR in international BPO Department,  |       |      Day Shift |      1. Call the candidates and Conduct interviews. |      2. Coordinate with Human Resources for appropriate staffing levels, Schedule and conduct",HrRecruiter|Recruiter|Recruitment|HrExecutive|HumanResource|Hr|Sourcing|Screening|Hiring|Staffing|RecruitmentExecutive|
"HR Recruiter (Location : Sahnewal, Ludhiana)",Aspire Group of Services,Ludhiana,1-2years,Not Specified,1.	Design and update job descriptions |  2.	Screen incoming resumes  |  3.	Interview candidates (via phone and in-person) |  4.	Conducting background checks |  5.	Achieving Hiring Targets |  6.	Handling joining & exit formalities of employees |  7.	Maintain records  |,HrRecruiter|HrExecutive|Recruitment|Hr|ScreeningResumes|InterviewScheduling|jobdesciptions|Induction|JoiningFormalities|ExitManagement|
