jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Urgent opening for QA testing engineer Salesforce : Hyderabad: Contract role,Varite India Private Limited,Hyderabad/Secunderabad,4-10years,Not Specified,"The candidate should have 4+ yrs of experience.  |      Skills required: Selenium, automation testing, java. BDD framework, salesforce testing, cucumber, salesforce",Salesforce|Selenium|SalesforceTesting|
Automation Testing,Quess IT Staffing (Formerly known as Magna Infotech),Chennai|Cochin/Kochi/Ernakulam,4-9years,Not Specified,automation testing,automationtesting|Java|Selenium|
SDET - Software Development Engineer Test - Bangalore and Pune,Infuse Consulting India Private Limited,Bengaluru/Bangalore|Pune,1-3years,Not Specified,SDET - for Bangalore and Pune. Java and Selenium is a must,Sdet|JavaScript|Selenium|
Urgent opening for QA testing engineer Salesforce : Hyderabad: Contract role,Varite India Private Limited,Hyderabad/Secunderabad,4-10years,Not Specified,"The candidate should have 4+ yrs of experience.  |       Skills required: Selenium, automation testing, java. BDD framework, salesforce testing, cucumber, salesforce",Selenium|SalesforceTesting|AutomationTesting|
Automation Engineer/Tester,Provance Business Consulting Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,No of position- 2 (5+yrs) and 1 position(3+ Yrs) |  Shift Job- 5.30 Pm to 1.30 Am |  Should be open to work from office(Bangalore- domlur) |  Only Male profiles |,Skillsselenium|automationtesting|Api|
SDET,Sun Technology Integrators Private Limited,Mumbai,1-3years,350000 - 450000 INR,|   |  We are looking to hire SDET Fresher with extensive exposure on Java to join our team.,Java|automationtesting|selenium|Restassured|
Senior Automation QA (Selenium),Varite India Private Limited,Bengaluru/Bangalore|Mumbai,3-4years,Not Specified,Job brief |  We are looking for a Sr. Automation QA with 3-4 years of experience in automated testing. You will be responsible for finding and reporting bugs and glitches using Automation techniques. |    |,Manualtest|QATools|QAMethodologies|AutomationTester|ManualTesting|AutomationTesting|TestCase|
Openings for Automation Tester _ Bangalore,Cloud Kinetics Solutions Pte Ltd,Bengaluru/Bangalore,5-9years,Not Specified,"Looking for Sr.Automation Test Engineer. Selenium with Java, well versed with Webservices- REST/SOAP, API Testing must",AutomationTestEngineer|AutomationTesting|Selenium|
Urgent opening for QA testing engineer Salesforce : Hyderabad: Contract role,Varite India Private Limited,Hyderabad/Secunderabad,4-10years,Not Specified,"The candidate should have 4+ yrs of experience.  |     Skills required: Selenium, automation testing, java. BDD framework, salesforce testing, cucumber, salesforce",Salesforce|Selenium|SalesforceTesting|
Sr. Automation tester with  UFT and Selenium experience,Collabera Solutions Private Limited,Remote,6-10years,Not Specified,Sr. Automation tester with 6+ years of UFT+ Selenium experience,selenium|Uft|AutomationTester|
Urgent opening for QA testing engineer Salesforce : Hyderabad: Contract role,Best infosystems Ltd,Hyderabad/Secunderabad,4-10years,Not Specified,"The candidate should have 4+ yrs of experience.  |    Skills required: Selenium, automation testing, java. BDD framework, salesforce testing, cucumber, salesforce",Salesforce|Selenium|SalesforceTesting|
Automation Testing,Labridge Consulting,Bengaluru/Bangalore|Hyderabad/Secunderabad,6-11years,1090000 - 1889999 INR,We are looking immediate to 15 days joiners for Automation testing with Selenium WebdriverIO,Selenium|Webdriver|
"JAVA SELENIUM, REST API.REST ASSURED",Infuse Consulting India Private Limited,Bengaluru/Bangalore,4-5years,Not Specified,"JAVA SELENIUM, REST API.REST ASSURED",Selenium|Groovy|
QA Architect,Sun Technology Integrators Private Limited,Hyderabad/Secunderabad|Noida,10-15years,Not Specified,Designation:QA Architect |  Experience:10+ Years |  Location: Hyderabad /  Noida |  Notice Period: less than 15 Days |   |,QAArchitect|Uft|Jenkins|Selenium|Appium|Protractor|
Sr. Automation Test Engineer - Bangalore / Pune,Millennium Ims Private Limited,Bengaluru/Bangalore|Pune,3-5years,Not Specified,Sr. Automation Test Engineer  - Bangalore / Pune |,AutomationTesting|JavaCode|Selenium|Javascript|Cucumber|
Hiring _Senior Mobile Automation test Engineer_ Bangalore,Larsen & Toubro Infotech Limited,Bengaluru/Bangalore,6-10years,Not Specified,"We are looking for Sr. Mobile Automation Testing for Full Time. If you are interested in exploring this opportunity, revert to me with the following details with your latest resume.",MobileAutomation|SeleniumAutomation|Java|
TPO Connect,Larsen & Toubro Infotech Limited,Bengaluru/Bangalore|OtherIndia,8-12years,Not Specified,"TPO Connect - 3 Positions |  Qualifications, Skills & Experience: |  •	8+ years professional work experience in QA and Automation |  •	3+ years’ experience with API Testing |  •	5+ years’ experience developing automation code in Selenium with Java and Test NG |",ApiTesting|Selenium|Java|Testng|
Automation Testing - Selenium,Larsen & Toubro Infotech Limited,Chennai|Hyderabad/Secunderabad,4-12years,Not Specified,"Java, Selenium Framework, Hands on expertise in Selenium and Java development |",SeleniumCucumber|SeleniumRestAPI|SeleniumProtractor|SeleniumJava|Selenium|AutomationTesting|Automation|
Automation Testing - Selenium,Varite India Private Limited,Bengaluru/Bangalore,4-12years,Not Specified,"Java, Selenium Framework, Hands on expertise in Selenium and Java development |",SeleniumCucumber|SeleniumRestAPI|SeleniumProtractor|SeleniumJava|Selenium|AutomationTesting|Automation|
Automation Testing - Selenium,ThinkApps Solutions Private Limited,Mumbai|Pune,4-12years,Not Specified,"Java, Selenium Framework, Hands on expertise in Selenium and Java development |",SeleniumCucumber|SeleniumRestAPI|SeleniumProtractor|SeleniumJava|Selenium|AutomationTesting|Automation|
Salesforce testing- contract role,Sellcraft Global Solutions Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,4-12years,Not Specified,- Having experience of 4+yrs in Salesforce testing. |   - Having experience in Selenium. |   - Having good knowledge in Automation testing. |   - Having good communication skills.,selenium|AutomationTesting|ManualTesting|BddFramework|Cucumber|
Selenium with C#-    Bangalore/Noida/Mumbai/Chennai/Pune/Hyderabad,Eteam Info Services Private Limited,Mumbai|Pune,3-8years,Not Specified,Selenium with C#- Bangalore/Noida/Mumbai/Chennai/Pune/Hyderabad |,Selenium|Automation|C#|
Automation Testing,Techcom Solutions India Private Limited,Delhi|Mumbai,1-5years,Not Specified,Urgent Opening For Automation Testing +1 Years only (c2H) |,AutomationTesting|LoadRunner|Selenium|Api|
