jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
We are hiring for work from home Senior HR - Pan India,Vedha Enterprises,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-5years,400000 - 600000 INR,Roles and Responsibilities |  Our Ideal Candidate would be the one with 3 - 5 years of direct technical recruitment experience. |  Recruit and manage a pipeline of candidates,StronginterpersonalskillsandextensiveexperienceinscreeningprofilesSelf-starterwithabilitytoworkinafast-pacedenvironment|
Hiring for the Airport Work .,Quotient Consultancy,Bengaluru/Bangalore|Guwahati,0-2years,350000 - 750000 INR,We are hiring for the Air Ticketing Profile...,planningandorganising|self-management|Teamwork|ProblemSolving|
Hiring For The Online Work From Home Executives.,Mahbakth Aspi Kotwal (Proprietor of MAK Kotwal Reality ),Chennai|Coimbatore,0-1years,550000 - 750000 INR,"Work from home is an arrangement that allows you to work outside the traditional office setting. It is also called remote work or working remotely. Thanks to new technologies, it is no longer required to be physically present in the office to be...",communication|Teamwork|ProblemSolving|Technology|Learning|self-management|planningandorganising|
Branch Credit Mgr ( Home Loan Self Emp Underwriting) Delhi / Mumbai ),Supreme Consulting Services,Delhi|Mumbai,4-9years,560000 - 770000 INR,"Branch Credit Mgr ( Home Loan Self Emp Underwriting) Delhi / Mumbai ) |   Oversee the under writing of the loans in the Hub region.Evolve underwriting Contact Person : Divya 022 40697703 , [HIDDEN TEXT]",Underwriting|HomeLoan|CreditManager|
Risk and Control Self-Assessment (RCSA) / Pre-Audit Program Manager,Supreme Consulting Services,Chennai|Delhi,4-7years,480000 - 800000 INR,We are a global leader in the technology arena and there's nothing that can stop us from growing together.,Compliance|Rcsa|GovernanceRiskCompliance|ITGrcManagement|Grc-resource.com|GovernanceRiskManagement|Grc|InformationSecurity|SapConsultant|Erp|
Real Estate Sales Manager,Supreme Consulting Services,Mumbai,1-10years,Not Specified,Position: |   |  Sales Advisor and Closing Manager,CustomerService|MeetingSalesGoals|ClosingSkills|Negotiation|SelfConfidence|ProductKnowledge|PresentationSkills|ClientRelationship|
WORK FROM HOME\DATA ENTRY JOBS WITHOUT INVESTMENT hr sandeep 9599234526,Supreme Consulting Services,Bengaluru/Bangalore|Chennai,0-5years,Not Specified,WORK FROM HOME\DATA ENTRY JOB WITHOUT ANY INVESTMENT.  hr sandeep 9599234526,Bpo|SelfEmployed|homebasedjobs|Cce|ComputerOperating|HRAdmin|Executive|12thpass|DataEntry|PartTime|Recruitment|Sales|homebasedworkhomebased|BackOffice|CustomerCare|Fresher|WorkFromHome|Operations|Dat|computeroperator|
WORK FROM HOME\DATA ENTRY JOBS WITHOUT INVESTMENT hr mahima 7065575825,Supreme Consulting Services,Bengaluru/Bangalore|Chennai,0-5years,Not Specified,WORK FROM HOME\DATA ENTRY JOB WITHOUT ANY INVESTMENT.   hr mahima 7065575825,Bpo|SelfEmployed|homebasedjobs|Cce|ComputerOperating|HRAdmin|Executive|12thpass|DataEntry|PartTime|Recruitment|Sales|homebasedworkhomebased|BackOffice|CustomerCare|Fresher|WorkFromHome|Operations|Dat|computeroperator|
WORK FROM HOME\DATA ENTRY JOBS WITHOUT INVESTMENT hr sanjana 9625108422,Supreme Consulting Services,Bengaluru/Bangalore|Chennai,0-5years,Not Specified,WORK FROM HOME\DATA ENTRY JOB WITHOUT ANY INVESTMENT.   hr  sanjana 9625108422,Bpo|SelfEmployed|homebasedjobs|Cce|ComputerOperating|HRAdmin|Executive|12thpass|DataEntry|PartTime|Recruitment|Sales|homebasedworkhomebased|BackOffice|CustomerCare|Fresher|WorkFromHome|Operations|Dat|computeroperator|
WORK FROM HOME\DATA ENTRY JOBS WITHOUT INVESTMENT hr diya 8287543513,Supreme Consulting Services,Bengaluru/Bangalore|Kolkata,0-5years,Not Specified,WORK FROM HOME\DATA ENTRY JOB WITHOUT ANY INVESTMENT.  hr  diya 8287543513,Bpo|SelfEmployed|homebasedjobs|Cce|ComputerOperating|HRAdmin|Executive|12thpass|DataEntry|PartTime|Recruitment|Sales|homebasedworkhomebased|BackOffice|CustomerCare|Fresher|WorkFromHome|Operations|Dat|computeroperator|
