jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Urgent job opening for corporate selling  in Telecom Sector,Quess Corp Limited,MumbaiCity|NaviMumbai,2-5years,210000 - 450000 INR,•       Cross-sell multi-product lines in existing and new customer |  •       Strong experience in corporate selling |  •       Develop new business through upsell and cross-sell with existing clients |  •       Should be able to articulate the thoughts in c,corporateselling•|
Sales Executive,Space Consultancy,Bengaluru/Bangalore,2-3years,220000 - 320000 INR,|   |  •	To maintain relationships with the Existing as well as the New Clients.  |  •	To Ensure adherence to company’s law and policies and maintain high confidentiality.  |  •	 Maintaining a high level of Integrity at workplace.  |,SalesExecutives|Sales|Selling|AccountManager|Relationshipmanager|
Sales Officer,Incube Placements,Bellary|Jaipur,0-3years,Not Specified,sales officer,SalesOfficer|Marketing|Selling|Sales|
Assistant Manager – Sales and Marketing,Ultra Media & Entertainment Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,3-8years,Not Specified,Urgent Opening for Assistant Manager – Sales and Marketing - Ultra Media & Entertainment,Sales|Marketing|Sales&Marketing|Selling|Fmcg|Linkedin|Retail|
Sales Executive - Field Sales - Yashwanthpur Industrial Suburb -Bangalore,Quick Solutions,Bengaluru/Bangalore,1-3years,200000 - 350000 INR,Only Male candidates required. Graduation is must. Min 1-2yrs for Sales Business development experience is must. Driving License with Vehicle is mandate. Experience in the B2B domain. Maintaining and Increasing sales of your company's products,SalesOfficer|Marketing|Selling|Bde|BD|Sales|SalesExec/SalesRepresentative|LeadGeneration|
Female Sales Executive in Jewelry Showroom,Aspire Group of Services,Lucknow,0-1years,180000 - 240000 INR,listen to customer requirements and present appropriately to make a sale,Selling|SalesExecutive|
Delivery Boy Job -Surat Below 10th and biker or License mandatory (call me urgent =9619022384),first india hr solution,Surat,0-1years,Not Specified,Delivery Boy Job -Surat Below 10th and biker or License mandatory (call me urgent =9619022384),DeliveryFieldBoys|SalesOfficer|Selling|
Hiring Sales and Customer Support Reps,Wantro,Bengaluru/Bangalore|Gurgaon/Gurugram,3-13years,200000 - 700000 INR,"Hiring virtual assistants, sales reps & customer support reps. |   |  Requirement: |   |  You need to be a good communicator, fluent with English, and a good problem solver. |   |  Your job will be to communicate with our prospects to build a relationship with them.",SalesRepresentative|Sales|Selling|
Media Sales professional for various position,I Tech Media Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,0-2years,100000 - 250000 INR,"Opening for Media Sales professional for various position |  Exp:0 to 2 Years  |  Freshers can also Apply. |  Location : Vidyavihar East, Mumbai. |  Media/space presentation to corporate clients & agencies (for print, web and digital editions). |",MediaSales|AdSales|SpaceSelling|ConceptSelling|AdvertisementSales|GraduateFresher|
SALES EXECUTIVE (reports to Sales Manager)-male,K21 Consulting,Chennai,2-6years,200000 - 300000 INR,This sales profile will be engaged in cold calling by visiting various industries for selling the Services concept. (B2B selling) We are basically a work wear manufacturer and supplying uniforms and specialty work wear for various industries,SalesOfficer|Selling|Sales|Marketing|DirectSales|
urgent opening in Pitch Rupeek's benefit & explain Rupeek’s offerings( call me 9619022384),first india hr solution,Bengaluru/Bangalore|Mumbai|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,urgent opening in Pitch Rupeek's benefit & explain Rupeek’s offerings( call me 9619022384),SalesOfficer|Sales|Selling|Marketing|Relationshipmanager|
Agency Manager (Health Insurance) Mumbai call me urgent: 9619022384,first india hr solution,Mumbai|MumbaiCity|NaviMumbai,0-1years,Not Specified,Agency Manager (Health Insurance) Mumbai call me urgent: 9619022384,SalesOfficer|Marketing|Relationshipmanager|Selling|Sales|
Executive-Sales/Senior Executive- Sales/Assistant Manager-Sales ||Corporate/B2B Sales| Hyderabad,Monster.com - India,Hyderabad/Secunderabad,1-7years,Not Specified,Reporting to the Sales Manager/Branch Manager the incumbent will be responsible for acquisition of new business and sales management for the assigned territory / accounts. The job involves planning and execution of sales plans,"""corporatesales""|""SMBsales""|""SMEsales""|""clientAcquisition""|""B2Bsales""|""spaceselling""|""conceptselling""|""adsales""|""directsales""|"
Sales Officer,Orissa Doot Private Limited,Bhubaneswar,0-3years,Not Specified,Opening For Sales Officer In Bhubaneswar,SalesOfficer|Sales|Bde|Selling|
Inside Sales Lead Generation Representative - Internet/ Solutions Selling Environment,Consultica Solutions LLP,Chennai,1-2years,180000 - 300000 INR,Responsible for the development of the lead generation program and nurture outbound / inbound sales lead campaigns.,SalesProfessional|insidesalesBusinessDevelopmentManager|AssistantSalesManager|MarketingManager|LeadGeneration|Telemarketing|SalesManager|SalesDevelopmentManager|
Sales and Marketing Executive,Antra Inc,Siliguri,1-3years,Not Specified,Sales and Marketing Executive - Siliguri,SellingSkills|
