jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Senior Accountant,Green Window Consultancy,Hyderabad/Secunderabad,5-8years,Not Specified,"We are looking for a  Senior Accountant who has 6+ years of experience in handling General accounting as per IGAAP and IFRS. Who will be responsible to keep track of records and review of Balance sheet Reconciliations, General Accounting activities,",IGAAP|IFRS|GeneralAccounting|Month-endclosure|Balancesheet|accountingsystem|
Senior Accountant,Aspire Group of Services,Chennai|Mumbai,7-10years,1060000 - 1580000 INR,we want an accountant...........,Accountant|AccountsExecutive|AccountsManager|Accountassistant|AccountsOfficer|FinanceExecutive|Tally|SeniorAccountant|
Senior Accountant,Atz Properties,Jamshedpur,3-5years,180000 - 360000 INR,"Senior Accountant responsibilities include reconciling account balances and bank statements, maintaining general ledger and preparing month-end close procedures. Exp:- 3+ yrs with Experience in ERP / TALLY. Knowledge in stock maintenance 1+ yrs exp.",Accounting|Taxation|ROCFiling|I.TAX|Gst|TdsReturn|
Senior Accountant,Aspire Group of Services,Lucknow,0-1years,140000 - 280000 INR,Producing error-free accounting reports and present their results .Analyzing financial information & summarizing financial status.,TallyErp|Accounting|FinanceManager|FinanceAccounts|
Senior Accountant,HTC Global Services (India) Private Limited,Bengaluru/Bangalore,3-5years,200000 - 300000 INR,Urgent requirement for Senior Accountant,Accountant|Accountassistant|SeniorAccountant|
Senior Accountant,Marvell India Private Limited,Faizabad,0-1years,120000 - 250000 INR,Direct and Indirect taxation Vendor Invoice and billing management Team accounting and compliance Team management,Accountant|
Senior Accountant,KMK & Associates LLP,Chennai,3-7years,200000 - 690000 INR,We are currently hiring GL Accountant Role. |     |    •	Excellent communication and interpersonal skills. |    •	Experience working in finances related field is a plus. |    •	Working knowledge of US GAAP and SOX is a plus. |     |,USGAAP|NetSuite|SAP|
Urgent Requirement- Senior Accountant/ Accountant,Umesh Pandya (Proprietor of Systemize),Bengaluru/Bangalore|Hyderabad/Secunderabad,2-4years,350000 - 550000 INR,We are urgently looking for a Dynamic & Pro Active Candidate in Accounts,Accountant|AccountsExecutive|Accountassistant|FinanceExecutive|
Senior accountant,ABP Empower,Bengaluru/Bangalore,8-10years,Not Specified,Minimum 8-10 years of work experience in Indian Payroll Accounting.,Accountant|Accounting|PayrollAccounting|Payroll|Ledgers|SeniorAccountant|
Senior Accountant (CA/CPA/CMA),Lakshya,Ahmedabad,2-7years,Not Specified,"In this role you will be responsible for day to day accounting, good excel knowledge, bookkeeping activities, reconciling account balances and bank statements, maintaining general ledger and preparing month-end close procedures.",CharteredAccountant|certifiedpublicaccountant|Icwa|CostAccountant|SeniorAccountant|
Looking for senior accountant,Advance Jobs Private Limited,Vapi,7-10years,Not Specified,Looking for senior accountant role,SeniorAccountant|
Senior Accountant @ Parwanoo,NVS Brokerage Pvt. Ltd,Baddi,5-15years,360000 - 420000 INR,"Urgent opening for Senior Accountant in Fast Moving Consumer Goods Company @ Parwanoo(H.P) location |   |  Experience - 5 to 10 Years in Accounts(Preferred Local Candidate Only) |   |  Salary - 30,000 to 35,000 per month |   |  Qualification - B.Com/M.Com","Accountant|AccountsOfficer|Gst|Tds|""BalanceSheetFinalisation""|SeniorAccountant|Tally|"
Senior Accountant  Accountant,Freelancer - Purushottam Munjajirao Dhutraj,Mohali|Panchkula,1-3years,160000 - 290000 INR,We are urgently Accountant. Fresher and experience both can apply.,Accountant|Accounting|AccountsExecutive|AccountsPayable|Finance|AccountantCashier|AccountsAssistant|Account|Banking|Tally|
Senior Accountant,Ziatech solutions,Delhi|Noida,5-10years,360000 - 720000 INR,URGENT HIRING A SENIOR ACCOUNTANT AND ITS A GOLDEN OPPORTUNITY OR GRAB NEW KNOWLEDGE .,Accountant|E-commerce|onlineportalaccounting|MISreporting|AccountsPayable|GeneralAccounting|BankReconciliation|balancesheet|cashvoucher|tally|
required accounts executive /senior accountant,Sharp Facility,Mumbai|MumbaiCity|NaviMumbai|Thane,2-7years,220000 - 530000 INR,Position: Accounts Executive/senior accountant |    Exp-2-10 yrs |    Education: bcom/mba/mcom/ icwa/inter ca  |    salary-20-40k |    job locations- mumbai/navi mumbai / thane |     |    contact -7021684442/9167875089 |     |     |     |,Accountant|AccountAssistant|AccountExecutive|JuniorAccountant|SR.Accountant|JR.Accountant|
