jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Job Opening for Servicenow Professionals,Team Ace HR LLP,Bengaluru/Bangalore,4-12years,Not Specified,Hiring for Servicenow Professionals,Servicenow|
Sr. ServiceNow Developer,Star Jobs Private Limited,Noida,4-12years,Not Specified,Evening Shift – 6:00 PM to 3:00 AM |   • Min. 6 years of service now experience |   • Experience integrating two separate ServiceNow systems. |   • Experience integrating JIRA,ServicenowDevelopment|UIActions|UIScripts|UIPolicy|ServiceNowDeveloper|Servicenow|JIRA|
ServiceNow Support/ Admin,Computer Generated Solutions India PVt. Ltd.,Hyderabad/Secunderabad,3-8years,400000 - 1200000 INR,The ideal candidate: |   |  · Is ITIL v3 Certified |   |  · Able to rely on his/her strong analytical and problem-solving skills |   |  · ServiceNow experience: |   |  · Admin Certified (Implementation) |   |  · Integrations |   |  · ITOM |   |  · Implementation |   |  · Manage instance |   |  · CMDB ex,"""servicenowadmin""|""CMDB""|""ITOM""|""ITSM""|""ITILCertified""|"
ServiceNow Engagement Manager/Architect,Venhan Technologies Private Limited,Hyderabad/Secunderabad,3-8years,Not Specified,we are recruiting ServiceNow- Engagement Manager,Servicenow|
Servicenow Professionals,Larsen & Toubro Infotech Limited,Chennai|Hyderabad/Secunderabad,4-12years,Not Specified,Looking for Servicenow Professionals.  |   |,ServiceNowITSMDeveloper|FlowDesigner|CMDBArchitect|AutoServiceMapping|discovery|SecurityOps|ITBM|Serviceportal|FSM|Servicenow|ServiceNow|Apm|ServiceCatalog|Grc|Csm|
"Sr. Servicenow lead 7 to 10 Years in Bangalore, Mumbai, Pune and Chennai",Atos Global It Solutions And Services Private Limited,Bengaluru/Bangalore|Chennai,7-10years,Not Specified,"Sr. Servicenow lead 7 to 10 Years in Bangalore, Mumbai, Pune and Chennai",Servicenow|
Senior ServiceNow Developer for Banglore,iWork Solutions,Bengaluru/Bangalore,10-16years,Not Specified,"Desired Qualifications |   |  •	Certification in ServiceNow Administration and / or ServiceNow Certified Application Developer |   |  •	Working knowledge of ServiceNow CSM, ITSM, ITOM, ITBM modules |   |  •	Thorough understanding of Customer support/ITIL/ITSM processe",ServiceNowCSM|ITOM|ITBM|Servicenow|Itsm|Itsm|
ServiceNow Developer,Computer Generated Solutions India PVt. Ltd.,Hyderabad/Secunderabad,3-8years,500000 - 1300000 INR,The ideal candidate: |   |  · Is ITIL v3 Certified |   |  · Able to rely on his/her strong analytical and problem-solving skills |   |  · ServiceNow experience: |   |  · Admin Certified (Implementation) |   |  · Integrations |   |  · ITOM |   |  · Implementation |   |  · Manage instance |   |  · CMDB ex,"""Servicenow""|""CMDB""|""ITOM""|""ITSM""|"
Servicenow Professionals,Larsen & Toubro Infotech Limited,Mumbai|Pune,4-12years,Not Specified,Looking for Servicenow Professionals.  |    |,ServiceNowITSMDeveloper|FlowDesigner|CMDBArchitect|AutoServiceMapping|discovery|SecurityOps|ITBM|Serviceportal|FSM|Servicenow|ServiceNow|Apm|ServiceCatalog|Grc|Csm|
Application Architect: ServiceNow,Best infosystems Ltd,Bengaluru/Bangalore,12-20years,Not Specified,Minimum 12+ years’ experience preferably in IT space |,ApplicationArchitectServiceNow|ApplicationArchitect|Servicenow|
Servicenow Professionals,Larsen & Toubro Infotech Limited,Bengaluru/Bangalore,4-12years,Not Specified,Looking for Servicenow Professionals.  |     |,ServiceNowITSMDeveloper|FlowDesigner|CMDBArchitect|AutoServiceMapping|discovery|SecurityOps|ITBM|Serviceportal|FSM|Servicenow|ServiceNow|Apm|ServiceCatalog|Grc|Csm|
"Servicenow Developer 4 to 12 Years in Bangalore, Mumbai, Pune",Atos Global It Solutions And Services Private Limited,Bengaluru/Bangalore|Mumbai,4-8years,Not Specified,"Servicenow Developer 4 to 12 Years in Bangalore, Mumbai, Pune",Servicenow|Snow|
TECHNICAL LEAD - CMDB,Best infosystems Ltd,Bengaluru/Bangalore,7-10years,Not Specified,This requirement is for CMDB Developer role Candidate must have prior experience in consulting role Client Management working on SRs CRs Aware of Agile methodologies,ServerDesign|ServiceManagement|TechnicalLead|Cmdb|Servicenow|Servicenow|
UAM Engineer,Best infosystems Ltd,Hyderabad/Secunderabad,4-6years,Not Specified,"|   |  Windows Support ,Active Directory,SLA Management,Servicenow",WindowsTechsupport|Servicenow|
SERVICENOW - SENIOR ENGINEER,Venhan Technologies Private Limited,Bengaluru/Bangalore,2-5years,Not Specified,Experience in ServiceNow Service Portal design and implementation  |,SERVICENOW-SENIORENGINEER|Servicenow|ServiceNow|
ServiceNow Solution Specialist,Applicantz Inc,Hyderabad/Secunderabad,5-12years,Not Specified,Hiring for Solution Specialist - Salesforce,SalesforceCrm|SolutionArchitect|Solutionconsultant|
ServiceNow Developer - remote part time,Staffing Solutions - Bullz,Remote,2-12years,1500000 - 2500000 INR,Work with one of the Fortune 1000 technology companies that work in cutting-edge technology. It has been listed as Forbes's best place to work.,EventManagement|ItManagement|aiops|ItOperations|Servicenow|
Software Developer,Velocity Technology Solutions,Bengaluru/Bangalore|Chennai,4-12years,Not Specified,Detailed JD :- |  Architect ServiceNow solutions and design web-based solutions. |  Improve performance and configuration by utilizing ServiceNow best practices. |  Collaborate effectively with other ServiceNow administrators to develop global solutions. |  Perf,SnowDeveloper|Servicenow|ServiceNow|
Senior Consultant - ServiceNow Administrator,Best infosystems Ltd,Pune,5-10years,Not Specified,The candidate should have a minimum of 5 years of relevant experience as a ServiceNow Administrator and Development |   |    |,ServiceNowAdministrator|ServiceNowDeveloper|ServicenowAdmin|Servicenow|
