jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Hot Vacancies for ""Magento""",Shell Info Technologies Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,Hiring Alert!! |    |   Role : Magento |    |   Experience:5-8Years |    |   Location : Bangalore |    |   Notice :Max 1 Month |    |   Interested pls share updated Cv's on this mail [HIDDEN TEXT] |,MagentoDeveloper|Magento|RestApi|Git|jQuery|Php|Xml|Node.js|Grunt|Gulp|Bootstrap|
"Hot Vacancies for ""Legal Technology Business Analyst """,Shell Info Technologies Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,Hiring Alert!! |    |   Hot Vacancies for 'Legal Technology Business Analyst '. |    |   Experience:5+Years |    |   Location : Hyderabad |    |   Client : MNC |    |   Notice period: Max 15Days. |    |   Interested pls share updated resumes on this mail [HIDDEN TEXT] |    |,"""legaltechnology""businessanalyst|"
"Hot Vacancies for ""SAP ABAP BOPF"" & FPM Or Odata""",Shell Info Technologies Private Limited,Bengaluru/Bangalore,3-10years,Not Specified,Hot Vacancies for 'SAP ABAP BOPF' & FP |   Exp : 3-10Yrs |   Location :Bng |   Client :Product Based (Permanent ) |   Notice Period : Immediate -15Days Max. |    |   Interested Pls share updated resume on this mail id earliest [HIDDEN TEXT],SapAbap|Bopf|Fpm|Odata|
"Hot Vacancies for ""Node JS"" & SCP.",Shell Info Technologies Private Limited,Bengaluru/Bangalore,3-12years,Not Specified,Hiring Alert! |   Hot Vacancies for 'Node JS' |   Exp : 3-12Yrs |   Location : Bangalore |   Client : Product based (Peramanent) |   Notice Period :  Immediate -15Days Max. |    |   Interested Pls share updated resume on this mail id earliest - [HIDDEN TEXT],Node.js|NodeJS|Scp|
"Hot Vacancies for OOABAP, Webdynpro & Odata",Shell Info Technologies Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,"Hiring Alert!! |    |   We have vacancies for Product based company |    |   Skills required:OOABAP, Webdynpro,Odata |    |   Experience:5 to 8 |    |   Location : Bangalore |    |   Notice Period : 1Month Max |",Ooabap|Webdynpro|Odata|
"Hot Vacancies for ""SAP ABAP CDS, OData &HANA""",Shell Info Technologies Private Limited,Bengaluru/Bangalore,3-10years,Not Specified,"Hot Vacancies for  'SAP ABAP CDS, OData |   Exp : 3-10Yrs |   Location : Bangalore |   Client : Product Based (Permanent ) |   Notice Period :Immediate-15Days . |    |   Interested Pls share updated resume on this mail id earliest [HIDDEN TEXT]",CDS|SapAbap|Odata|Hana|
"Hot Vacancies for ""SAP UI5"" (Node JS / SCP / HANA)",Shell Info Technologies Private Limited,Bengaluru/Bangalore,3-12years,Not Specified,Hiring Alert!! |    |   Hot Vacancies for ''SAP UI5' (Node JS / SCP / HANA) |   Exp:3-12Years |   Location :Bangalore |   Company : Product based |    |   Interested Please share updated Profiles on this mail id : [HIDDEN TEXT] |    |    |,SapUi5|Node.js|Hana|Scp|
Hot Vacancies for ASP.net with VB.net,Shell Info Technologies Private Limited,Hyderabad/Secunderabad,3-8years,Not Specified,"•	Technical Skills (Mandatory)  |   o	ASP.Net Webforms with VB.Net and C# |   o	ASP.Net WEB-API |   o	Ajax, JavaScript, JQuery |   o	HTML, XML |   o	Understanding of unit testing frameworks  |   o	SQL Server 2008 R2 and above |   o	Knowledge on SQL programming, writing stored",Asp.Net|VB.Net|Mvc|
Hot Vacancies for PHP,Shell Info Technologies Private Limited,Bengaluru/Bangalore,6-8years,Not Specified,Hiring Alert!! |    |    |   We have vacancies for Product based company |    |    |   PFB JD Details: |    |    |   Role : PHP  |    |    |   Experience:6 to 8 |    |    |   Location : Bangalore |    |    |   Notice Period :1Month Max |,Phpdeveloper|REST|Soap|HTML|CSS|Javascript|
"Hot Vacancies for ""ASP.net with VB.Net""",Shell Info Technologies Private Limited,Hyderabad/Secunderabad,3-8years,Not Specified,"•	Technical Skills (Mandatory)  |   o	ASP.Net Webforms with VB.Net and C# |   o	ASP.Net WEB-API |   o	Ajax, JavaScript, JQuery |   o	HTML, XML |   o	Understanding of unit testing frameworks  |   o	SQL Server 2008 R2 and above |   o	Knowledge on SQL programming, writing stored",Asp.Net|VB.Net|
Hot Vacancies for ASP .NET with VB.Net,Shell Info Technologies Private Limited,Hyderabad/Secunderabad,3-5years,Not Specified,"•	Technical Skills (Mandatory)  |   o	ASP.Net Webforms with VB.Net and C# |   o	ASP.Net WEB-API |   o	Ajax, JavaScript, JQuery |   o	HTML, XML |   o	Understanding of unit testing frameworks  |   o	SQL Server 2008 R2 and above |   o	Knowledge on SQL programming, writing stored",Asp.Net|VB.Net|
