jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Argon Welder,Sigma Consultancy Services,Sonipat/Sonepat,2-8years,Not Specified,Argon Welders required for Leading Oil processing Plant manufacturing and suppliers based in Kundali,ArgonWelder|
"Ground Staff, Passenger Service, Airport, Air Ticketing, Airport Staff (+91 9758960248)",Sigma Consultancy Services,Hyderabad/Secunderabad|Visakhapatnam,0-5years,Not Specified,"Job Title : Aircraft Safety officer |   |  Department : Flighty Safety Department |   |  Location : Mumbai, Delhi, Chennai, Hyderabad, Bangalore |   |  Experience:0-3 years (Fresher can also apply Age Limit: 18 to 29) |   |  Pay Scale: 20000 to 35000/Month |   |",GroundStaff|GuestRelationExecutive|Airhostess|Hostess|Aviation|Aircraft|AirCargo|AirTicketingExecutive|OperationsManager|Backend|AdminExecutive|CustomerSupport|FrontOffice|AircraftMaintenance|AviationManagement|Desk|
Sr Manager - Design (CRT-Transformer),Sigma Consultancy Services,Silvassa,5-14years,700000 - 1300000 INR,Should have experince in designing of CRT Transformer,CRT|Transformer|Castreisintransformer|TenderDesign|
"full stack developer Backend Developer, frontend developer",Sigma Consultancy Services,Remote,3-8years,800000 - 1780000 INR,we are looking for full stack developer for hongkong based company Customindz,Nestjs|express.js|Node.js|
Helper Activities  grinder Man Fabrication Fitter,Sigma Consultancy Services,Gurgaon/Gurugram,1-5years,100000 - 180000 INR,full time company role or contractual,HelperActivities|
Sales Manager - Real Estate,Sigma Consultancy Services,Gurgaon/Gurugram,2-12years,500000 - 1510000 INR,Applicant will be responsible for direct and channel sales in real estate,ChannelSales|DirectSales|Sales|RealEstate|Marketing|
Sales Manager - AWP,Sigma Consultancy Services,Chennai|Mumbai,2-6years,400000 - 600000 INR,Should have experience in Sales of AWP machines preferably in Rental Sales,AWP|Machines|AWPMachines|RentalSales|Product|
"Ground Staff, Passenger Service, Airport, Air Ticketing, Airport Staff +91 9759148905",Sigma Consultancy Services,Kolkata|Kozhikode/Calicut,0-5years,Not Specified,"Job Title : Aircraft Safety officer |   |  Department : Flighty Safety Department |   |  Location : Mumbai, Delhi, Chennai, Hyderabad, Bangalore |   |  Experience:0-3 years (Fresher can also apply Age Limit: 18 to 29) |   |  Pay Scale: 20000 to 35000/Month |   |",GroundStaff|GuestRelationExecutive|Sr.CabinCrew|Aviation|Airhostess|FlightAttendant|FlightSupervisor|FlightOperationsOfficer|AircraftMaintenance|AerospaceEngineer|AirportRepresentative|AviationEngineer|AirTicketingExecutive|AirCargo|
Ground Staff /freshers/Airline managemant/work from home/Air cargo @9759690279,Sigma Consultancy Services,Bengaluru/Bangalore|Chennai,0-5years,Not Specified,"Job description |   Roles and Responsibilities |    |   Greeting and welcoming passengers, and responding to questions. |   Checking in baggage. |   Making reservations. |   Selling airline tickets. |   Stocking aircraft with refreshments. |   Cleaning aircraft after flights. |",GroundStaff|GuestRelationExecutive|Airhostess|Hostess|Sr.CabinCrew|AirTicketing|AirHostess|AirCargo|AirlineProcess|Aviation|AircraftMaintenance|flightplanning|BackOffice|AdminExecutive|AirportManagement|Staff|OperationsExecutive|
Sr Manager - Finance & Accounts,Sigma Consultancy Services,Gurgaon/Gurugram,5-10years,700000 - 1500000 INR,'Candidate should have working knowledge ofGST and IND-AS |  Should be computer savvy and working knowledge of MS Office and Oracle11i ERP',Gst|Mis|Finance|Accounting|Taxation|Auditing|GeneralLedger|Oracle|Erp|
