jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Solution Integrator,Bangalore,Mumbai",Brain Management Consultants India Private Limited,Bengaluru/Bangalore|Mumbai,12-19years,Not Specified,"Solution Integrator,Bangalore,Mumbai",SolutionIntegrator|systemsintegrators|solutionstrategy|governancemodels|SLAframework|
Technical Voice Support,DXC Technology India,Bengaluru/Bangalore,0-5years,Not Specified,1.	Person is required to provide 24X7 support on Service Desk responsibilities |  2.	Resource is required to have good communication skills – both verbal and written |  3.	Any Graduates and undergraduates |  4.     Fresher can also apply  |,TroubleshootingHardware/Networking/OSrelatedqueries/TrackingSLAperformance|
Project Manger _ AMS (Application Maintenance & Support) / ASM projects ( Immd Joiners ),Larsen & Toubro Infotech Limited,Pune,8-15years,Not Specified,Experience as Project MAnager in AMS (Application Maintenance & Support) / ASM projects; experience Dot net technology AMS projects preferred;,ApplicationSupportManager|SlaManagement|Itil|ApplicationMaintenance|ServiceLevelManagement|
Team Leader/ Assistant Manager Operations(International Chat)- PuneCALL-8766285530),Jobs Expert Private Limited,Pune,2-10years,400000 - 700000 INR,"TOP BPO- Pune |  Team Leader/ Assistant Manager Operations |  International Banking/ Chat Process |  CTC:7L |  Shifts-24/7 |  Skills- 2+yr exp as a TL/ AM ops n International Chat/ Banking Process |  Must have worked on Attrition, Shrinkage, SLA, CSAT |   |  8766285530 |",TeamManagement|AssistantManager|AssistantManagerOperations|KPI|TeamLeaderOperations|CustomerSatisfaction|shrinkage|Attrition|AHT|NPS|Kra|PeopleManagement|CSAT|SLA|TeamLeading|
Data Analyst | Business Analytics | Data Science - Fresher Graduate   -  7065337388,Structured Learning Assistance Consultants India Private Limited,Delhi|Noida,0-5years,Not Specified,DATA ANALYST – RESEARCH ANALYTICS – Business Analytics | MIS Executive -  |       call @ 7065337388,MisExecutive|DataAnalyst|ResearchAnalytics|Wfm|DataAnalysis|reportingperformance|EOD|VBA&MSAccess|SLA|Sql|SAS|Tableau|PowerBi|
Data Analyst | Business Analytics | MIS Executive  | Fresher - call  -9717266846 | 8745833047,Structured Learning Assistance Consultants India Private Limited,Delhi|Lucknow,0-5years,Not Specified,DATA ANALYST – RESEARCH ANALYTICS – Business Analytics | MIS Executive -  |      call @ 9717266846 | 8745833047,MisExecutive|DataAnalyst|ResearchAnalytics|Wfm|DataAnalysis|reportingperformance|EOD|VBA&MSAccess|SLA|Sql|SAS|Tableau|PowerBi|
Assistant Manager Operations- Banking / Content Moderation,Jobs Expert Private Limited,Bengaluru/Bangalore|Pune,2-10years,400000 - 700000 INR,"AM Operations |  Process- Banking/ Content Moderation |  Loc: Bang/ Pune |  Min 2+yrs exp as a Team Leader/ Assistant Manager |  CTC : 7L |  Qual-Grads |  Shift- 24*7 |  Req: Good comms, banking domain/ Content Moderation is must |   |  CALL LIPIKA |  8766285530/ 8467054123",TeamManagement|AssistantManagerOperations|TeamHandling|BankingProcess|Bfsi|CustomerSatisfaction|shrinkage|AttritionManagement|TeamLeaderoperations|ContentModeration|netpromoterscore|CSAT|TeamCoach|SLA|
Team Leader Operations- Banking Process(CALL-8766285530),Jobs Expert Private Limited,Vadodara,2-8years,300000 - 600000 INR,"Team Leader/ Assistant Manager Operations |  Loc: Baroda |  Req 1+yrs exp as a Team Leader/ Assistant Manager Operations in a BPO |  Must have worked on Attrition, Shrinkage , SLA, C-Sat |  Must have handled a team span of 30+people |  CALL |  8766285530/ 8860618858",TeamManagement|AssistantManager|AssistantManagerOperations|TeamHandling|TeamLeaderOperations|CustomerSatisfaction|shrinkage|Attrition|InternationalProcess|CSAT|netpromoterscore|TeamCoach|SLA|TeamManager|TeamLeader|
Team Leader Operations- Banking Process|| CTC- 6.5LPA ||,Jobs Expert Private Limited,Pune,1-8years,300000 - 600000 INR,Designation- Team Leader Operations |  Process: Banking |  Skills: 1yr exp as a Team Leader/ Assistant Manager into Banking domain |  Must have worked in International Process |  Only Graduates can apply |  CTC: 6.5L |  24*7SHIFTS |  CALL LIPIKA |  8766285530/ 8860618858 |,TeamManagement|AssistantManagerOperations|BankingOperations|Banking|TeamLeaderOperations|CustomerSatisfaction|shrinkage|Attrition|TeamManagerOperations|Utilisation|occupancy|InternationalProcess|CSAT|PeopleManagement|TeamCoach|SLA|
Team Leader Operations- Banking/ Chat Process(CALL-8766285530),Jobs Expert Private Limited,Pune,1-10years,350000 - 600000 INR,Team Leader Operations- Banking/ Chat Process |  Location- Pune |  Skills: 1+yr exp as a Team Leader into BFSI/ Chat domain |  Must be well-versed with the operational matrices |  Only Graduates |  24*7SHIFTS || CTC: 7L || |  CALL LIPIKA |  8766288530/ 8467054123,TeamManagement|AssistantManagerOperations|TeamHandling|BankingProcess|Bfsi|Banking|TeamLeaderOperations|CustomerSatisfaction|ShrinkageControl|AHT|ChatProcess|NPS|TeamManagerOperations|AttritionManagement|TeamCoach|SLA|TeamLeader|
